Time,Mb,Bc,Bcp,Bn,Cc,Mc,Ccp,Mp,Pc,Pcp,PCc,PCcp,PCn,Bnp,PCnp,In,Mr,Rc,Rn,parameter_0000096,parameter_0000097,vmP,kdmp,vsC,vmC,kdmc,vsB,vmB,kdmb,ksP,V1P,V2P,k4,k3,kdn,ksC,V1C,V2C,kdnC,KmB,Kp,Kdp,VdPC,vdCC,Kd,V1PC,V2PC,k2,k1,V3PC,V4PC,k7,k8,vdPCC,vdPCN,ksB,V1B,V2B,k5,k6,vdBC,V3B,V4B,vdBN,vdIN,vsR,KAR,vmR,kmR,kdmr,ksR,k9,k10,vdRC,vdRN,KAP,KAC,KmP,KmC,h,m,n,cell,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32,reaction_33,reaction_34,reaction_35,reaction_36,reaction_37,reaction_38,reaction_39,reaction_40,reaction_41,reaction_42,reaction_43,reaction_44,reaction_45,reaction_46,reaction_47,reaction_48,reaction_49,reaction_50,reaction_51,reaction_52,reaction_53,reaction_54,reaction_55,reaction_56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0177171062247958,2.828655149486505e-05,1.2792369010090663e-07,7.542733312425707e-08,2.914560016282187e-19,5.645359737310093e-17,2.9816395735332246e-22,7.669390397919034e-17,1.4768689076146517e-19,1.1944204591126074e-21,3.1288797328747505e-41,4.693554375354744e-44,1.5740195774715152e-44,2.561271918213508e-10,7.02673722110227e-49,3.053032209669212e-56,4.112324170309602e-17,1.1133662426744765e-19,7.653063453467842e-23,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.005669473991934656,0.000354342124495916,3.936387537228957e-05,2.2599070262642338e-05,1.8065151159392298e-16,1.1290719474620186e-18,3.476612345465829e-19,1.3914318009821713e-21,4.741068818531299e-14,9.20326847750284e-17,1.3536765203276219e-20,1.409338122574618e-18,3.4422869020460625e-38,7.464524213617694e-41,2.190325375165547e-43,2.502474178468812e-41,1.405347444220454e-50,2.5584738020181326e-09,5.122543836427016e-12,3.476783800256286e-14,3.7551162882024217e-44,1.533878079583807e-18,1.1872348840760439e-51,0.0551383645749946,2.822679868655046e-16,5.624219625140624e-16,2.9537378152293037e-21,5.829120032564374e-21,2.3888409182252148e-23,5.9632791470664494e-24,9.387108750709488e-46,6.257759465749501e-43,3.279144036514393e-48,5.65731029897301e-07,1.2792363555269492e-06,1.0496844776985071e-07,2.561271916026804e-09,6.106064419338424e-58,1.6282838451569132e-55,1.5085466624851415e-09,2.5584705291282216e-07,1.0245087646613576e-09,5.963279147066449e-22,7.166522754675644e-21,1.405347444220454e-48,3.1480391549430303e-46,9.387108750709488e-44,2.528570036550026e-14,8.224648340619205e-19,1.6449296681238404e-16,6.990951089526324e-17,8.903868716014426e-20,1.6329371559225657e-18,2.226732485348953e-21,2.0408169209247581e-22,1.5306126906935684e-24
0.02,0.03490990336785338,0.00011118809144863487,9.805860249537804e-07,5.928563302316171e-07,5.0856987920517894e-17,6.160164397357879e-15,1.3176174693733597e-19,8.350330220556306e-15,2.5413443505888317e-17,5.176733480006814e-19,1.4638875890382057e-36,4.47695559478192e-39,1.5038059035073715e-39,3.93096742812915e-09,1.5557374891750787e-42,4.3091887485860295e-49,4.491607022386072e-15,1.9091746521850172e-17,3.352228303894643e-20,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.01117116907771308,0.0006981980673570675,0.00015471781833911987,8.871333062681526e-05,1.9712526071545214e-14,1.2320328794715758e-16,6.06643991099617e-17,6.148881523742345e-19,2.9289885691279753e-12,1.0020396264667566e-14,5.866964610674389e-18,2.4251397381364593e-16,1.0333753964825657e-33,3.492375957944029e-36,2.0892459442315629e-38,1.1705085488691618e-36,3.1114749783501576e-44,1.9611720499075608e-08,7.8619348562583e-11,2.147924950693849e-12,3.587608517313809e-39,1.6700660441112613e-16,8.914546655590498e-46,0.10435005969460269,3.080082198678892e-14,6.123575495074455e-14,5.082688701177663e-19,1.017139758410358e-18,1.0353466960013628e-20,2.6352349387467195e-21,8.95391118956384e-41,2.9277751780764116e-38,7.260108282817034e-42,2.2237618289726973e-06,9.805828198010824e-06,8.25048084681197e-07,3.9309673766208015e-08,8.618377497172059e-51,2.2982339992458826e-48,1.1857126604632343e-08,1.9611528191170883e-06,1.572386909441643e-08,2.6352349387467194e-19,3.106040088004088e-18,3.1114749783501574e-42,3.007611807014743e-41,8.95391118956384e-39,1.5621272368682537e-12,8.983214044772144e-17,1.7966428089544082e-14,7.635731938056322e-15,1.525998830426456e-17,2.8001228232046923e-16,3.8183493043700346e-19,8.939275477052381e-20,6.704456607789286e-22
0.03,0.051632615201630865,0.0002459628502731835,3.173152573316071e-06,1.966553255513957e-06,1.2290341215998088e-15,1.0089150343204049e-13,4.878041895126833e-18,1.363822195311241e-13,6.067437326583584e-16,1.8730946641104193e-17,1.4380448091305289e-33,7.05906001183377e-36,2.376773352810152e-36,1.9100554637147742e-08,5.912025598168117e-39,5.695716110825332e-45,7.365232811383757e-14,4.543984422110593e-16,1.2281632896068404e-18,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.016522436864521876,0.0010326523040326172,0.00034221055596294096,0.00019598365891634122,3.228528109825296e-13,2.01783006864081e-15,1.4660446778526526e-15,2.2764195510591887e-17,3.222776422275831e-11,1.636586634373489e-13,2.122840619325142e-16,5.7899998345131575e-15,5.959917824795116e-31,3.430723202697087e-33,3.294228005522426e-35,1.1494851379632991e-33,1.1824051196336233e-40,6.346305146632142e-08,3.8201109274295485e-10,2.3633693763356096e-11,5.6702346389108995e-36,2.727644390622482e-15,4.672912231365462e-42,0.14862168387053581,5.044575171600752e-13,1.0001362765611221e-12,1.2134874653167168e-17,2.4580682431996175e-17,3.746189328220839e-19,9.756083790253666e-20,1.411812002366754e-37,2.876089618261058e-35,2.758945279145121e-38,4.9192570054636695e-06,3.173119010680224e-05,2.7367486836555727e-06,1.9100553421043863e-07,1.1391432221650666e-46,3.037715259106844e-44,3.9331065110279144e-08,6.346103775076899e-06,7.640220395534625e-08,9.756083790253666e-18,1.1238567984662513e-16,1.1824051196336233e-38,4.753546705620305e-38,1.411812002366754e-35,1.7188140918804433e-11,1.4730465622767513e-15,2.9460931245529605e-13,1.2520895779352385e-13,3.6302748845300473e-16,6.664510485762194e-15,9.087968844221187e-18,3.2751021056182414e-18,2.4563265792136807e-20
0.04,0.06793072393712342,0.0004300993229744998,7.21632026145792e-06,4.582954690517056e-06,1.18128336642586e-14,7.278857028448097e-13,6.199235076829357e-17,9.81142658112003e-13,5.766726027635204e-15,2.33257253210572e-16,1.4923732377681728e-31,9.137776199002915e-34,3.0807961327522237e-34,5.797592008367117e-08,1.0177314277512543e-36,1.9272907888038045e-42,5.32022531757616e-13,4.306155821372762e-15,1.5464321832969668e-17,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.021737831659879494,0.0013586144787424684,0.0005982919753387331,0.00034224627650339303,2.3292342491033913e-12,1.4557714056896193e-14,1.4090855265517049e-14,2.8929763691870326e-16,1.7502894745089065e-10,1.1773711897344036e-12,2.643582203053147e-15,5.5030387540057287e-14,5.443740535193359e-29,3.560333768035402e-31,4.264295559534694e-33,1.1926662717614375e-31,2.0354628555025087e-38,1.443264052291584e-07,1.1595184016734234e-09,1.2835456146398648e-10,7.349811847520216e-34,1.9622853162240062e-14,1.4115294505546002e-39,0.18872439145527617,3.6394285142174256e-12,7.195046159464492e-12,1.1533452055270407e-16,2.3625667328517197e-16,4.66514506421144e-18,1.2398470153658714e-18,1.827555239800583e-35,2.9847464755363457e-33,4.749413329505853e-36,8.601986459489997e-06,7.216146681372898e-05,6.3778402955971975e-06,5.797590887964897e-07,3.854581577607609e-44,1.0278884206953626e-41,9.165909381034111e-08,1.4431599092506475e-05,2.3190354588647025e-07,1.2398470153658706e-16,1.3995435192634286e-15,2.0354628555025083e-36,6.161592265504448e-36,1.827555239800583e-33,9.334877197380834e-11,1.064045063515232e-14,2.1280901270276335e-12,9.044383039879471e-13,3.438738928365022e-15,6.315695204679961e-14,8.612311642745525e-17,4.123819155458579e-17,3.0928643665939334e-19
0.05,0.0838428227151131,0.0006612848223633061,1.3530793353825076e-05,8.803008270920756e-06,6.790857327274921e-14,3.3477200468756567e-12,4.434558314453927e-16,4.499816796164997e-12,3.278280843929046e-14,1.6353092848691969e-15,5.593130027982861e-30,4.0357425909066404e-32,1.3646190158100086e-32,1.36016846841541e-07,6.926339300441558e-35,2.3987933070006005e-40,2.4498979064432635e-12,2.4407114537071908e-14,1.0961002848393505e-16,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.026829703268836193,0.001676856454302262,0.0009196725505063961,0.0005255066545822765,1.0712704150002102e-11,6.695440093751313e-14,8.100426235317449e-14,2.069460546745163e-15,6.457746216768187e-10,5.399780155397996e-12,1.8533505228517465e-14,3.1283793341667807e-13,1.7787497471776528e-27,1.3343451359004835e-29,1.8833465424230986e-31,4.469045546323049e-30,1.3852678600883115e-36,2.7061586707650154e-07,2.7203369368308198e-09,4.735680558963338e-10,3.2555523240000204e-32,8.999633592329994e-14,1.2007954896217247e-37,0.22527082021804368,1.6738600234238193e-11,3.299865650471502e-11,6.556561687858092e-16,1.3581714654549843e-15,3.270618569738394e-17,8.869116628907853e-18,8.07148518181328e-34,1.1186260055965722e-31,3.2322916735393936e-34,1.3225696447266122e-05,0.0001353018310678622,1.2250600136336713e-05,1.360167851729602e-06,4.797586614001201e-42,1.2793564304003203e-39,1.7606016541841513e-07,2.7057925555657383e-05,5.440666473438656e-07,8.869116628907815e-16,9.811855709215019e-15,1.3852678600883113e-34,2.729238031620017e-34,8.071485181813282e-32,3.4441313156097e-10,4.899795812886527e-14,9.799591625713033e-12,4.164826440953548e-12,1.9481847618263955e-14,3.579710132103589e-13,4.881422907414382e-16,2.9229340929049336e-16,2.1922005696787012e-18
0.06,0.09940199319707081,0.0009373799903058836,2.2459790469062286e-05,1.4964216362852533e-05,2.823806160389292e-13,1.1579325446233529e-11,2.2028925040204293e-15,1.5520470161829093e-11,1.3482578553344833e-13,7.96193634889337e-15,1.1244016776279758e-28,9.397276739883097e-31,3.1871066860712026e-31,2.711893244536417e-07,2.1982198691302117e-33,1.2561237764025305e-38,8.48430195039377e-12,1.0008083186762733e-13,5.395157028816458e-16,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.03180863782306266,0.0019880398639414163,0.0013032905645442136,0.000743918305699566,3.70538414279473e-11,2.3158650892467057e-13,3.3683572489723645e-13,1.0280165018761927e-14,1.866064760124797e-09,1.8624564194194912e-11,9.023527862078914e-14,1.2866078937583802e-12,3.041277463438903e-26,2.6824692110408964e-28,4.385395811945445e-30,8.982464994279523e-29,4.3964397382604237e-35,4.4919580938124573e-07,5.423786489072834e-09,1.3684474907581842e-09,7.603435433967083e-31,3.104094032365819e-13,4.766743154633535e-36,0.2587546564020201,5.7896627229491625e-11,1.1381678118085839e-10,2.6965157106689665e-15,5.6476123207785835e-15,1.592387269778674e-16,4.4057850080408586e-17,1.8794553479766194e-32,2.2488033552559516e-30,1.025835938927432e-32,1.8747599806117672e-05,0.00022458109120978325,2.0824643422985768e-05,2.7118907930836434e-06,2.512247552805061e-40,6.699326807480164e-38,2.9928432725705067e-07,4.4909494359790646e-05,1.0847543560765565e-06,4.405785008040762e-15,4.777161809335641e-14,4.3964397382604234e-33,6.374213372142406e-33,1.8794553479766194e-30,9.95234538733225e-10,1.696860390078754e-13,3.3937207800855245e-11,1.4423313315669409e-11,7.984885921294921e-14,1.4678522007247113e-12,2.0016166373525467e-15,1.4387085410177196e-15,1.0790314057632917e-17
0.07,0.11463684863914461,0.0012563978917395462,3.427986167020893e-05,2.3382432502341237e-05,9.380028332495466e-13,3.2899011951467526e-11,8.501683616857921e-15,4.3973049047983054e-11,4.4300830400886387e-13,3.012845866089435e-14,1.4081082147908323e-27,1.3423712592246104e-29,4.5644139898872156e-30,4.833449396860228e-07,3.8562767315473623e-32,3.35972157799218e-37,2.4135077764680133e-11,3.278632381308813e-13,2.063477916091227e-15,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.03668379156452627,0.002292736972782892,0.0017462853074122822,0.0009957653403907005,1.0527683824469608e-10,6.579802390293506e-13,1.1188900595411595e-12,3.967452354533584e-14,4.5561512408016935e-09,5.276765885757966e-11,3.41455864823435e-13,4.227514630699026e-12,3.318711921647963e-25,3.359303892145127e-27,6.264399209714849e-29,1.124660806236711e-27,7.712553463094724e-34,6.855972334041786e-07,9.666898793720457e-09,3.3411775765879096e-09,1.0889258027563934e-29,8.794609809596612e-13,1.0665990759972004e-34,0.2895787653467932,1.644950597438083e-10,3.224690263046093e-10,8.860166080177277e-15,1.8760056664990933e-14,6.02569173217887e-16,1.7003367233715843e-16,2.684742518449221e-31,2.8162164295816646e-29,1.7995958080554358e-31,2.5127957834790925e-05,0.0003427594508802149,3.25394082035405e-05,4.833441609461751e-06,6.71944315598436e-39,1.791851508262496e-36,4.6764865004682473e-07,6.853622921584869e-05,1.9333704138960305e-06,1.7003367233714397e-14,1.8077075196531164e-13,7.712553463094725e-32,9.128827979774431e-32,2.684742518449221e-29,2.4299473284275704e-09,4.827015552936027e-13,9.654031105289551e-11,4.1029632199956224e-11,2.614651993382686e-13,4.808660825914338e-12,6.557264762617626e-15,5.502607776243235e-15,4.1269558321824545e-17
0.08,0.12957233510980487,0.0016164866468125127,4.921025398247335e-05,3.4353451945284095e-05,2.64347595351802e-12,8.094395779858897e-11,2.728231362146318e-14,1.0788901066347684e-10,1.2350804272974657e-12,9.480957653178437e-14,1.3032600872833118e-26,1.4409499159302097e-28,4.9107579639827363e-29,7.937034111000695e-07,4.818513350073604e-31,6.524694342522363e-36,5.945412141457405e-11,9.113241819105924e-13,6.562640086640039e-15,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.04146314723513756,0.0025914467021960976,0.002245974867946725,0.0012794479366718965,2.590206649554847e-10,1.6188791559717795e-12,3.1532516344068476e-12,1.2731746356681662e-13,9.834663805734326e-09,1.294668127961722e-10,1.0745085340265499e-12,1.1786055767436495e-11,2.6067112878281568e-24,3.1091691943140637e-26,6.724432941007645e-28,1.0406437666410565e-26,9.637026700147207e-33,9.84205079649467e-07,1.5874068222001392e-08,7.21208679087184e-09,1.1715525957811696e-28,2.1577802132695367e-12,1.6857099384375166e-33,0.3180755951079281,4.0471978891104575e-10,7.91186077914296e-10,2.4701608545949317e-14,5.286951907036041e-14,1.8961915306356873e-15,5.456462724292636e-16,2.8818998318604195e-30,2.6065201745666235e-28,2.248639563367682e-30,3.2329732936250254e-05,0.000492021831427102,4.780635229639307e-05,7.937013112219425e-06,1.3049388685044727e-37,3.479836982678594e-35,6.870690389056819e-07,9.837209880527674e-05,3.174788445996087e-06,5.4564627242911474e-14,5.688574591901667e-13,9.637026700147208e-31,9.821515927965472e-31,2.8818998318604195e-28,5.245154029724975e-09,1.1890824282914811e-12,2.378164856229483e-10,1.0107200640477588e-10,7.264342894938179e-13,1.3366088001314754e-11,1.8226483638211848e-14,1.7500373564373057e-14,1.312528017328008e-16
0.09,0.14423035675642804,0.002015914853725144,6.742102767546483e-05,4.815442860155864e-05,6.570282239592543e-12,1.784361966463362e-10,7.600734237238253e-14,2.3717723564613367e-10,3.0371781524666824e-12,2.5907937297500813e-13,8.896206381081655e-26,1.1173737600961347e-27,3.813234996647672e-28,1.2244223026975705e-06,4.0537543465573956e-30,7.483395977234206e-35,1.3122308991913668e-10,2.2343099050287508e-12,1.8121752149078145e-14,1.0,3.0,2.2,0.02,2.2,2.0,0.02,1.8,1.3,0.02,1.2,9.6,0.6,0.4,0.8,0.02,3.2,1.2,0.2,0.02,0.4,1.006,0.1,3.4,1.4,0.3,2.4,0.2,0.4,0.8,2.4,0.2,1.0,0.2,1.4,1.4,0.32,1.4,0.2,0.8,0.4,3.0,1.4,0.4,3.0,1.6,1.6,0.6,1.6,0.4,0.02,1.7,0.8,0.4,4.4,0.8,0.6,0.6,0.3,0.4,2.0,2.0,2.0,1.0,1.8,0.04615371416205697,0.0028846071351285607,0.0027998375359229795,0.0015934701115394919,5.709958292682759e-10,3.568723932926724e-12,7.837314798667552e-12,3.547009310710286e-13,1.9323741491719413e-08,2.846126827753604e-10,2.936232893714223e-12,2.8983012190449428e-11,1.5928509313379945e-23,2.1223553990652057e-25,5.2144108804486285e-27,7.101712164878733e-26,8.107508693114792e-32,1.3484205535092966e-06,2.448844605395141e-08,1.4170743760594238e-08,9.09718090651532e-28,4.743544712922673e-12,1.8347448446749033e-32,0.3445222440380561,8.921809828336874e-10,1.7392997266965728e-09,6.074356304933365e-14,1.3140564479185087e-13,5.181587459500162e-15,1.5201468474476506e-15,2.2347475201922694e-29,1.779241276216331e-27,1.8917520283934512e-29,4.0318297074502885e-05,0.0006740587909666461,6.701090772386738e-05,1.2244173053513822e-05,1.4966791954468413e-36,3.991144521191577e-34,9.63088572031173e-07,0.0001347512047039132,4.897629243125526e-06,1.5201468474464952e-13,1.5544762378460211e-12,8.10750869311479e-30,7.626469993295345e-30,2.2347475201922694e-27,1.0305995462250355e-08,2.6244617983827336e-12,5.248923595043517e-10,2.2307925286253235e-10,1.7801992231633694e-12,3.276987860684429e-11,4.468619810057502e-14,4.8324672397538805e-14,3.624350429815629e-16
