s1_1_task1,s2_2_task1,s3_3_task1,time_task1
580000.0,0.0,1000.0,0.0
579920.9376949675,75.62372847229852,1001.3968064454298,0.15
579798.3825581474,186.93364851663947,1988.7763068195109,0.3
579533.9949630068,425.19494202320215,4428.385928773346,0.44999999999999996
578940.6376790372,959.4622828769587,9975.185440447764,0.6
577605.5951234555,2161.298605982211,22480.65720256964,0.75
574610.0864184708,4857.097118348389,50594.9958790803,0.8999999999999999
567935.9572900803,10859.409256870236,113496.51343230056,1.05
553298.0214813411,24003.854646125128,252742.08465205418,1.2
522285.9342283048,51755.59326584172,553870.1499258846,1.3499999999999999
461253.73992144363,105939.39483901822,1173344.8680506952,1.5
357606.353283302,196258.7981962496,2325715.7455276297,1.65
222223.157674905,308928.6896977922,4113165.7378608305,1.7999999999999998
102415.02742214549,396608.6161774272,6214329.863586417,1.95
35084.638184929405,426473.53701706015,7959193.332901908,2.1
9784.345117340468,413757.9779353511,8931948.867271418,2.25
2494.449291739744,385050.0930987219,9191492.340827007,2.4
635.3452249849282,353669.2468729333,8987286.887604535,2.55
170.35194650639966,323669.6119867499,8536190.35725988,2.6999999999999997
49.33840260649666,295926.37597161793,7975713.2281169025,2.85
15.591592392929604,270488.32581381575,7382712.697352758,3.0
5.384300944693553,247217.39548014812,6797261.039514478,3.15
2.02625069055949,225942.8734895161,6238903.233875895,3.3
0.8269845258740331,206497.3767206835,5716155.641475239,3.4499999999999997
0.36401005092803185,188724.8320336719,5231758.032927058,3.5999999999999996
0.17180513955748367,172481.69209538627,4785509.692441646,3.75
0.08646250566892391,157636.4784391333,4375781.0745173795,3.9
0.04615179228839751,144068.93193015966,4000310.870789141,4.05
0.02599893030920503,131669.10890075567,3656620.6157770567,4.2
0.015386626152391069,120336.51486771417,3342225.584729953,4.35
0.009526712775214543,109979.29927641134,3054737.8720663893,4.5
0.006146520007880444,100513.51458529916,2791912.7589716227,4.6499999999999995
0.0041193595796941256,91862.43760985545,2551665.4394799727,4.8
0.0028575137205887773,83955.9479166061,2332072.899618448,4.95
0.002045332448125026,76729.96001476308,2131368.169580386,5.1
0.0015082227710256824,70125.90487308834,1947931.299807644,5.25
0.001140473299236925,64090.25207183589,1780279.1762243663,5.3999999999999995
0.0008833954897797544,58574.080504610865,1627054.8033335416,5.55
0.0006997551537268313,53532.67942980111,1487017.2694975238,5.7
0.0005651185456452238,48925.185585959916,1359032.077713358,5.85
0.0004651463995008898,44714.25320827092,1242062.1309089495,6.0
0.00038921415161043826,40865.75076777649,1135159.4966710326,6.1499999999999995
0.00033062433622061457,37348.484674689105,1037457.7764502596,6.3
0.00028495159499555584,34133.94685745109,948165.1220777598,6.45
0.00024886420636249334,31196.081405984594,866557.7806589105,6.6
0.0002198910931875493,28511.07397550553,791974.2568256435,6.75
0.00019629301729110689,26057.161041555777,723810.0172133986,6.8999999999999995
0.00017691589017708632,23814.45332195184,661512.5857184303,7.05
0.00016091579922374196,21764.77295324456,604577.0227994161,7.199999999999999
0.00014756639040596918,19891.50612321239,552541.834398984,7.35
0.00013629568655096295,18179.4689140203,504985.24598612654,7.5
0.000126744912346097,16614.784544277292,461521.791862049,7.6499999999999995
0.00011864540067918091,15184.770645552362,421799.18394497974,7.8
0.00011170264164771316,13877.836285605339,385495.4518736003,7.949999999999999
0.00010567335273221428,12683.388103893705,352316.3357888207,8.1
0.00010044165873581298,11591.744606791715,321992.90540636017,8.25
9.592508982251771e-05,10594.057541195436,294279.3758922227,8.4
9.198346689604512e-05,9682.240174388455,268951.1157423403,8.549999999999999
8.848376441283221e-05,8848.901796471891,245802.82748377492,8.7
8.539310511902513e-05,8087.287809752159,224646.88343459237,8.85
8.2703271692465e-05,7391.224986045063,205311.80502830035,9.0
8.032901693661386e-05,6755.07141925503,187640.87263573054,9.15
7.817868830513139e-05,6173.6707905410985,171490.8551811676,9.299999999999999
7.62532232117561e-05,5642.310582956263,156730.84942623987,9.45
7.457220963702355e-05,5156.683919287738,143241.21989376613,9.6
7.308253798825089e-05,4712.854540530351,130912.62605024473,9.75
7.170825819261815e-05,4307.225005712668,119645.13897838593,9.9
7.045921003035545e-05,3936.507500336814,109347.43050185544,10.049999999999999
6.937701604845774e-05,3597.6971881394784,99936.03294855321,10.2
6.84202122647125e-05,3288.0478557040096,91334.66260978558,10.35
6.751658725044293e-05,3005.0496526971233,83473.601419116,10.5
6.66819832260814e-05,2746.408748205289,76289.13185338843,10.65
6.596662966694524e-05,2510.028751063692,69723.02082641875,10.799999999999999
6.534185586222942e-05,2293.9936944429965,63722.047035861,10.95
6.473789784999124e-05,2096.5525071625134,58237.56961384509,11.1
6.416551082820694e-05,1916.1048375561463,53225.1343488884,11.25
6.368624442826388e-05,1751.1880741236102,48644.113145660245,11.4
6.327950130714857e-05,1600.4654905707714,44457.37471690202,11.549999999999999
6.287907899352943e-05,1462.7154109964324,40630.98361919678,11.7
6.250174530824228e-05,1336.821307518541,37133.92519050239,11.85
6.216489342176651e-05,1221.7627508172873,33937.854172741514,12.0
6.186752522462354e-05,1116.6071483889166,31016.865218198123,12.15
6.159616057979158e-05,1020.5021582837394,28347.282161064082,12.299999999999999
6.13447132092705e-05,932.668805367605,25907.46680334174,12.45
6.111543719488528e-05,852.3951598935517,23677.64331906073,12.6
6.090860314423615e-05,779.0305670052771,21639.73796215505,12.75
6.072067376578386e-05,711.9803728893557,19777.232570970977,12.9
6.054862804118091e-05,650.701104833399,18075.030681309232,13.049999999999999
6.039144161363987e-05,594.6960661347365,16519.33516264558,13.2
6.024840948592359e-05,543.5113125337862,15097.53645221915,13.35
6.011824691067034e-05,496.7319690103723,13798.110243870355,13.5
5.999945190241798e-05,453.9788655520304,12610.524037249137,13.65
5.989094888408011e-05,414.90546858932805,11525.151899905784,13.799999999999999
5.979197030981049e-05,379.19507025556925,10533.196391110856,13.95
5.9701718160760064e-05,346.55822132789984,9626.617254663082,14.1
5.961935728564819e-05,316.73038511151447,8798.066249038939,14.25
5.9544156243334654e-05,289.46979325100517,8040.827586599406,14.399999999999999
5.947550294855453e-05,264.5554860895732,7348.763499106544,14.549999999999999
5.941283865605553e-05,241.78552395699188,6716.264551275873,14.7
5.935563267091195e-05,220.9753442753044,6138.204004830773,14.85
5.930339430555151e-05,201.9562709258504,5609.896412034637,15.0
