T,H,M,N,V,VEX
0.0,0.59600002,0.052000001,0.317,0.0,0.0
25.0,0.57410175,0.056474883,0.32717103,0.54766643,0.37685162
50.0,0.58113575,0.055222061,0.32385626,0.35793138,0.75286651
75.0,0.58823836,0.053929985,0.32074937,0.15658195,1.1272099
100.0,0.59520316,0.052689567,0.31770808,-0.040850971,1.4990505
125.0,0.60200095,0.051498998,0.31473508,-0.23433025,1.8675629
150.0,0.60862213,0.050357714,0.31183365,-0.42362931,2.2319288
175.0,0.61505902,0.049265094,0.30900684,-0.60852855,2.5913393
200.0,0.62130439,0.048220463,0.30625752,-0.78881383,2.9449964
225.0,0.62735176,0.047223125,0.30358851,-0.96427548,3.292115
250.0,0.63319516,0.046272356,0.3010025,-1.1347072,3.6319239
275.0,0.63882923,0.045367438,0.29850203,-1.2999054,3.9636693
300.0,0.6442489,0.04450766,0.29608962,-1.4596688,4.2866144
325.0,0.64944959,0.043692313,0.29376769,-1.6137977,4.6000419
350.0,0.65442717,0.042920716,0.2915386,-1.7620944,4.9032564
375.0,0.65917778,0.042192213,0.28940466,-1.9043627,5.1955843
400.0,0.66369784,0.041506168,0.28736809,-2.0404088,5.476377
425.0,0.66798413,0.040861987,0.28543109,-2.1700408,5.7450104
450.0,0.67203361,0.040259097,0.28359577,-2.2930698,6.0008883
475.0,0.67584366,0.039696977,0.28186423,-2.4093111,6.2434435
500.0,0.67941159,0.039175123,0.28023839,-2.5185833,6.472136
525.0,0.6827352,0.038693085,0.2787202,-2.6207113,6.6864591
550.0,0.68581235,0.038250439,0.27731153,-2.7155256,6.8859363
575.0,0.68864113,0.0378468,0.27601409,-2.8028648,7.0701251
600.0,0.69121969,0.037481822,0.27482954,-2.8825753,7.2386165
625.0,0.69354653,0.037155192,0.27375942,-2.9545135,7.391036
650.0,0.69562024,0.036866631,0.27280515,-3.0185466,7.5270462
675.0,0.69743949,0.036615901,0.27196804,-3.0745535,7.6463442
700.0,0.69900322,0.036402792,0.27124923,-3.1224258,7.7486653
725.0,0.70031053,0.036227133,0.27064976,-3.1620691,7.8337827
750.0,0.70136046,0.036088776,0.27017045,-3.1934042,7.9015069
775.0,0.70215255,0.035987619,0.26981205,-3.216367,7.9516878
800.0,0.70268613,0.035923582,0.26957506,-3.2309091,7.9842138
825.0,0.70296097,0.035896618,0.2694599,-3.2369998,7.9990129
850.0,0.70297682,0.035906717,0.26946676,-3.2346244,7.9960523
875.0,0.70273358,0.035953894,0.26959562,-3.2237854,7.9753385
900.0,0.70223141,0.036038201,0.26984638,-3.2045028,7.9369178
925.0,0.70147049,0.036159713,0.2702187,-3.1768131,7.8808746
950.0,0.70045125,0.036318544,0.27071208,-3.1407692,7.8073339
975.0,0.69917417,0.036514837,0.27132589,-3.0964406,7.7164593
1000.0,0.69764,0.036748774,0.27205926,-3.0439107,7.6084523
1025.0,0.69584948,0.03702056,0.27291131,-2.9832792,7.4835525
1050.0,0.69380361,0.037330441,0.27388084,-2.9146581,7.3420372
1075.0,0.69150358,0.037678692,0.27496663,-2.8381724,7.1842208
1100.0,0.6889506,0.038065627,0.27616727,-2.7539587,7.0104532
1125.0,0.6861462,0.038491599,0.27748129,-2.6621635,6.8211212
1150.0,0.683092,0.038956989,0.27890706,-2.5629432,6.6166444
1175.0,0.67978972,0.03946222,0.28044283,-2.4564617,6.3974771
1200.0,0.67624134,0.040007755,0.28208688,-2.3428903,6.1641059
1225.0,0.67244911,0.040594086,0.28383723,-2.2224059,5.9170489
1250.0,0.66841531,0.041221753,0.28569195,-2.0951905,5.6568542
1275.0,0.66414249,0.041891322,0.28764904,-1.9614301,5.3841
1300.0,0.65963358,0.042603407,0.28970632,-1.8213136,5.0993919
1325.0,0.65489149,0.043358646,0.29186171,-1.6750332,4.8033619
1350.0,0.64991969,0.044157714,0.29411298,-1.5227824,4.4966669
1375.0,0.64472175,0.045001306,0.29645783,-1.3647573,4.1799884
1400.0,0.6393016,0.04589016,0.29889393,-1.2011551,3.8540294
1425.0,0.63366371,0.04682501,0.3014189,-1.0321748,3.5195134
1450.0,0.62781274,0.047806617,0.30403027,-0.85801739,3.1771832
1475.0,0.62175387,0.048835739,0.30672547,-0.67888635,2.8277988
1500.0,0.61549288,0.049913131,0.30950183,-0.49498802,2.472136
1525.0,0.60903597,0.051039521,0.31235659,-0.3065328,2.1109843
1550.0,0.60239005,0.052215602,0.31528687,-0.11373608,1.7451459
1575.0,0.5955627,0.053442024,0.31828961,0.083180375,1.3754328
1600.0,0.58856219,0.054719351,0.32136154,0.28398687,1.0026659
1625.0,0.58139759,0.056048047,0.32449928,0.48844394,0.62767279
1650.0,0.57407892,0.057428449,0.32769904,0.69630045,0.25128606
1675.0,0.56661719,0.058860742,0.33095691,0.90729147,-0.12565854
1700.0,0.55902433,0.060344893,0.33426857,1.1211356,-0.50232416
1725.0,0.55131358,0.061880652,0.33762941,1.3375325,-0.87787449
1750.0,0.54349911,0.063467458,0.34103432,1.5561607,-1.2514757
1775.0,0.53559649,0.065104432,0.34447783,1.7766738,-1.6222984
1800.0,0.52762264,0.066790283,0.34795395,1.9986987,-1.9895191
1825.0,0.51959562,0.06852328,0.35145617,2.2218318,-2.3523226
1850.0,0.51153517,0.070301153,0.35497734,2.4456372,-2.7099035
1875.0,0.50346208,0.072121076,0.35850978,2.6696432,-3.0614674
1900.0,0.49539882,0.073979549,0.36204511,2.8933411,-3.4062343
1925.0,0.48736903,0.075872362,0.36557433,3.1161819,-3.7434385
1950.0,0.47939762,0.077794529,0.3690877,3.3375766,-4.0723314
1975.0,0.4715108,0.079740241,0.37257478,3.5568953,-4.3921824
2000.0,0.46373567,0.081702784,0.37602448,3.7734656,-4.702282
2025.0,0.45610037,0.083674558,0.37942508,3.9865768,-5.0019412
2050.0,0.44863358,0.085647024,0.38276416,4.1954799,-5.2904949
2075.0,0.44136459,0.087610744,0.38602883,4.3993917,-5.5673022
2100.0,0.43432271,0.089555368,0.38920572,4.5975003,-5.831749
2125.0,0.42753735,0.091469742,0.39228106,4.7889705,-6.0832477
2150.0,0.42103741,0.093341954,0.39524087,4.97295,-6.3212399
2175.0,0.41485119,0.095159501,0.39807105,5.1485806,-6.545198
2200.0,0.40900603,0.096909374,0.40075761,5.3150048,-6.7546234
2225.0,0.403528,0.098578319,0.4032867,5.4713759,-6.9490523
2250.0,0.39844164,0.10015296,0.40564486,5.6168714,-7.1280522
