data_set_T,data_set_H,data_set_HI,data_set_M,data_set_MI,data_set_N,data_set_NI,data_set_NS,data_set_NSI,data_set_SB1,data_set_SB2,data_set_SB3,data_set_SB4,data_set_SB5,data_set_SB6,data_set_SB7,data_set_SB8,data_set_SB9,data_set_SB10,data_set_SS1,data_set_SS2,data_set_SS3,data_set_SS4,data_set_SS5,data_set_SS6,data_set_SS7,data_set_SS8,data_set_SS9,data_set_SS10,data_set_TNEWB1,data_set_TNEWB2,data_set_TNEWB3,data_set_TNEWB4,data_set_TNEWB5,data_set_TNEWB6,data_set_TNEWB7,data_set_TNEWB8,data_set_TNEWB9,data_set_TNEWB10,data_set_TNEWS1,data_set_TNEWS2,data_set_TNEWS3,data_set_TNEWS4,data_set_TNEWS5,data_set_TNEWS6,data_set_TNEWS7,data_set_TNEWS8,data_set_TNEWS9,data_set_TNEWS10,data_set_V,data_set_VI,data_set_X1,data_set_X2,data_set_X3,data_set_X4,data_set_X5,data_set_X6,data_set_X7,data_set_X8,data_set_X9,data_set_X10,data_set_Y1,data_set_Y2,data_set_Y3,data_set_Y4,data_set_Y5,data_set_Y6,data_set_Y7,data_set_Y8,data_set_Y9,data_set_Y10,data_set_Z1,data_set_Z2,data_set_Z3,data_set_Z4,data_set_Z5,data_set_Z6,data_set_Z7,data_set_Z8,data_set_Z9,data_set_Z10
0.0,0.85219997,0.85219997,9.9999997e-06,0.0,0.000208,0.000208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-55.037998,-55.037998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.89643192,0.81872153,0.018170172,0.039321978,0.027693164,0.049328197,0.0036457311,0.0058992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-58.001614,-53.949291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.93421751,0.78077805,0.014844703,0.043601945,0.023541363,0.060959104,0.0057628714,0.012156772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-58.991333,-53.425343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.95009255,0.75528878,0.013903752,0.045928132,0.021201577,0.06570904,0.0073773535,0.018262966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.312794,-53.160488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.95596933,0.74033171,0.013613367,0.047189161,0.020373752,0.068121381,0.0087395897,0.023974136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.416512,-53.022121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.95804179,0.73198664,0.013521182,0.047870707,0.020102682,0.069407769,0.0099328039,0.029193049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.449913,-52.948776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.95875406,0.72742689,0.013491651,0.048238326,0.020015314,0.070099533,0.010992348,0.033899289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.460663,-52.909622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.95899493,0.72495764,0.013482165,0.048436351,0.019987227,0.070471898,0.011937861,0.038110543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.464119,-52.888645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.95907545,0.72362602,0.013479114,0.048542846,0.019978197,0.070672192,0.012783122,0.041861713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.465233,-52.877399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,0.95910215,0.72290999,0.013478132,0.048599944,0.019975293,0.070779711,0.013539246,0.045193993,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,3.9584607e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2765.8708,37627.285,5380.9624,6352.9868,279.28345,3767.02,11242.94,12286.07,1726.1552,5338.0649,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,-59.465591,-52.87138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
