value_component_input_values_variable_VEC,value_component_input_values_variable_PPD,value_component_input_values_variable_RVS,value_component_input_values_variable_DFP,value_component_input_values_variable_VPF,value_component_input_values_variable_BFN,value_component_input_values_variable_PVS
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
14.8548,4.4805e-06,2.77751,-4.078e-07,0.0123238,2.79521,3.71612
