Time,A,C9,C9X,X,AC9X,AC9,C3,C3_star,C3_starX,C9_starX,C9_star,AC9_star,AC9_starX,k1,kb1,k2,k3,k4,k5,k6,k7,k8,k8b,k9,k9b,k10,k10b,k11,k11b,k12,k12b,k13,k13b,k14,k14b,k15,k15b,k16,k16prod,k17,k17prod,k18,k18prod,k19,k20,k21,k22,k22prod,k23,k24,k25,k26,k27,k28,cytosol,v1,v2,v3,v9,v10,v13,v15,v4,v5,v8,v11,v12,v14,v6,v7,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28
0.0,20.0,20.0,0.0,40.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.8,0.02,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,19.992007235189256,19.984012906547616,0.007994324609590495,39.992002358253956,3.1961098544660224e-06,0.007989568699264538,199.99979728351275,0.00020259546119115029,1.2102605366297512e-07,5.387465919788919e-13,4.031516572613892e-09,1.6189321266987392e-12,2.200887890364581e-16,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7982421043617043,0.01998399265110313,0.0005592692420824621,0.7991926969614201,0.0003195156541525649,0.00031932557988532283,2.430647345913043e-05,8.097340622503828e-07,3.2373007106917554e-10,1.6103432376429476e-10,1.6122788153272267e-10,6.474411734000004e-14,2.1519242650647473e-14,4.0315124863395025e-11,1.1332513400442991e-12,7.992764810744318e-06,1.5987093452383278e-05,7.997641746040896e-06,7.994324609590496e-06,3.1961098544660226e-09,7.989568699264537e-06,2.0271648726311042e-07,2.025954611911503e-07,1.210260536629751e-10,5.387465919788918e-16,4.031516572613892e-12,1.6189321266987393e-15,2.200887890364581e-19
0.02,19.984028921688644,19.968051588732955,0.01597731670084542,39.984009426099334,1.2769032818885422e-05,0.015958309265547293,199.99958914361167,0.0004103682256545579,4.881626803983413e-07,4.316142135781746e-12,1.6250534743848503e-08,1.2993043318346474e-11,3.557909887804345e-15,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7964884099914658,0.01996801056872517,0.0011170793537876524,0.7983867856280353,0.0006380644190654325,0.0006373054147994592,4.922401284555011e-05,1.6388507800494037e-06,1.3097566115498666e-09,6.482030082961146e-10,6.497572182350574e-10,5.195104086045947e-13,1.7215202755438239e-13,1.6250501360668438e-10,9.095111638880554e-12,1.597107831135744e-05,3.194841126704512e-05,1.599057390066355e-05,1.5977316700845422e-05,1.2769032818885422e-08,1.5958309265547293e-05,4.108563883276073e-07,4.103682256545579e-07,4.881626803983413e-10,4.3161421357817465e-15,1.6250534743848502e-11,1.2993043318346475e-14,3.557909887804345e-18
0.03,19.9760650307818,19.95211599015667,0.023949003766593067,39.9760211931271,2.8695577020876452e-05,0.02390627359699206,199.99937559469438,0.0006232977910104409,1.1075146002698969e-06,1.464323105773469e-11,3.6843896883264314e-08,4.415106095621689e-11,1.7738711941696174e-14,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.794738905682443,0.01995205369912126,0.001673433927268019,0.7975822626664667,0.0009556490043850285,0.0009539441556257152,7.474978959458782e-05,2.48722196452975e-06,2.980145504859276e-09,1.467577054159392e-09,1.4728577594117062e-09,1.7649660097728314e-12,5.832544005459743e-13,3.6843781855640846e-10,3.090564618080334e-11,2.3934969218198515e-05,4.788400984332905e-05,2.3978806872895775e-05,2.3949003766593066e-05,2.8695577020876452e-08,2.3906273596992058e-05,6.244053056270182e-07,6.232977910104409e-07,1.1075146002698969e-09,1.464323105773469e-14,3.6843896883264317e-11,4.415106095621689e-14,1.7738711941696175e-17
0.04,19.96811553385122,19.936206054632134,0.031909413187404284,39.968037648974956,5.09526521190655e-05,0.03183351339116904,199.9991566511062,0.0008413637432885423,1.9851505385322543e-06,3.489874503531296e-11,6.599679134517637e-08,1.053877159916449e-10,5.5909213416290673e-14,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7929935802720003,0.01993612198874552,0.0022283365410164266,0.7967791247560722,0.0012722721090652738,0.0012692464330750623,0.00010088098815417835,3.354720190619399e-06,5.356712797763985e-09,2.6251243372887435e-09,2.6377273424505183e-09,4.212084291280127e-12,1.3881334243614624e-12,6.59965130535715e-10,7.377109011900348e-11,3.1884466148782153e-05,6.379394536786681e-05,3.19623510250458e-05,3.190941318740428e-05,5.0952652119065504e-08,3.1833513391169046e-05,8.433488938031086e-07,8.413637432885423e-07,1.9851505385322543e-09,3.4898745035312955e-14,6.599679134517638e-11,1.053877159916449e-13,5.590921341629067e-17
0.05,19.960180402372508,19.920321726173956,0.03985857223723283,39.96005878332521,7.951726411576519e-05,0.03974008015595048,199.9989323271429,0.0010645457523309782,3.127104759217302e-06,6.853076743292952e-11,1.0389279427425513e-07,2.0726859584440714e-10,1.368760493168365e-13,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7912524226398704,0.019920215384239902,0.002781790760624811,0.7959773685884244,0.0015879364218217213,0.0015832168584607512,0.00012761480541729591,4.241218775732997e-06,8.461026705461935e-09,4.1267109728569715e-09,4.151493635595715e-09,8.282328397830468e-12,2.7220853572169322e-12,1.0389223965667268e-09,1.450872425583963e-10,3.98195976274926e-05,7.967827382604487e-05,3.994121667479089e-05,3.9858572237232836e-05,7.95172641157652e-08,3.974008015595048e-05,1.0676728570968574e-06,1.0645457523309782e-06,3.127104759217302e-09,6.853076743292952e-14,1.0389279427425513e-10,2.0726859584440713e-13,1.3687604931683649e-16
0.06,19.952259607874524,19.90446294891897,0.047796508122324007,39.95208458588996,0.0001143664821859198,0.0476260252824128,199.99870263707112,0.0012928235426688229,4.539386205899631e-06,1.1905739370566984e-10,1.507141772074551e-07,3.6062808590493634e-10,2.850214852819308e-13,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7895154216960608,0.019904333832357228,0.0033338001438850177,0.795176990863801,0.0019026446240905039,0.001895860028594392,0.0001549484472077983,5.1465916609083495e-06,1.2314409345768767e-08,5.978113971870206e-09,6.02122649869135e-09,1.4407558770636326e-11,4.7224259063767084e-12,1.5071319955252328e-09,2.5243802260417124e-10,4.774039212547543e-05,9.553705108103147e-05,4.791541411003353e-05,4.779650812232401e-05,1.143664821859198e-07,4.7626025282412795e-05,1.297362928892598e-06,1.292823542668823e-06,4.539386205899631e-09,1.1905739370566984e-13,1.507141772074551e-10,3.6062808590493633e-13,2.8502148528193083e-16
0.07,19.944353121944804,19.888629667136815,0.055723247976053915,39.94411504641299,0.00015547744311186703,0.05549140003511429,199.99846759512533,0.0015261768973179803,6.227977317719018e-06,1.9006594583852002e-10,2.066418725395357e-07,5.765658119692339e-10,5.304414203498789e-13,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7877825663824168,0.019888477279971555,0.0038843682401058293,0.7943779882916393,0.002216399389646019,0.002207180525161044,0.00018287912872562336,6.070713423459439e-06,1.6937938546684318e-08,8.185020370219895e-09,8.253936664179584e-09,2.302988068370725e-11,7.52844053848477e-12,2.0664028924447175e-09,4.0359297601555085e-10,5.564687805519747e-05,0.00011137033286318446,5.588495358701401e-05,5.572324797605392e-05,1.5547744311186703e-07,5.549140003511429e-05,1.5324048746601093e-06,1.5261768973179802e-06,6.2279773177190175e-09,1.9006594583852002e-13,2.066418725395357e-10,5.765658119692339e-13,5.304414203498789e-16
0.08,19.936460916238957,19.872821825248536,0.06363881884980412,39.93615015467326,0.00020282735894823852,0.06333625553490406,199.99822721550328,0.0017645856647167208,8.198831957233308e-06,2.8521205508984675e-10,2.718554095180829e-07,8.664429487632317e-10,9.091116496066631e-13,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7860538456754055,0.019872645674096346,0.004433498588907122,0.7935803575913435,0.0025292033839177355,0.0025171829136146377,0.0002114040753687754,7.01345930206063e-06,2.2352449714745355e-08,1.075302519857447e-08,1.0856573242819258e-08,3.460148659061668e-11,1.1281326813317179e-11,2.7185299981280623e-09,6.065046880760682e-10,6.353908376104458e-05,0.0001271781747514654,6.384984532674387e-05,6.363881884980411e-05,2.0282735894823853e-07,6.333625553490406e-05,1.7727844967285744e-06,1.7645856647167208e-06,8.198831957233307e-09,2.8521205508984676e-13,2.7185540951808293e-10,8.664429487632317e-13,9.091116496066631e-16
0.09,19.92858296248216,19.857039367829366,0.07154324771167432,39.928189900485414,0.0002563935182512705,0.07116064275648985,199.9979815123653,0.002008029759505876,1.0457875106617215e-05,4.082189919581165e-10,3.4653290869564257e-07,1.2418789005911352e-09,1.463010421065083e-12,0.002,0.1,5e-06,0.00035,0.0002,0.0002,5e-05,0.0035,0.002,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.1,0.002,0.1,0.003,0.001,0.001,0.02,0.001,0.02,0.001,0.04,0.001,0.001,0.001,0.001,0.2,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.7843292485864746,0.019856838961887238,0.004981194720047171,0.7927840954923941,0.0028410592639034776,0.0028258717430299,0.0002405205228150234,7.974705197256222e-06,2.8578537672119574e-08,1.3687631750283624e-08,1.3836023566175233e-08,4.958451356578783e-11,1.6124151054089816e-11,3.465294113336865e-09,8.693064569035784e-10,7.141703751784023e-05,0.00014296063217063282,7.181009951458261e-05,7.154324771167432e-05,2.563935182512705e-07,7.116064275648985e-05,2.0184876347029146e-06,2.0080297595058758e-06,1.0457875106617215e-08,4.082189919581165e-13,3.465329086956426e-10,1.2418789005911352e-12,1.463010421065083e-15
