_1_task1,z_i_1_task1
0.0,0.1
0.5,0.1359395064758212
1.0,0.46799024777575854
1.5,3.0859398777709792
2.0,7.949375115300528
2.5,10.461426394922954
3.0,12.361824211241965
3.5,13.912174839359087
4.0,15.159737608661136
4.5,16.14417964856436
5.0,16.90140720678015
5.5,17.463261566299483
6.0,17.857517075623516
6.5,18.108192669270174
7.0,18.236003238550197
7.5,18.258830279402453
8.0,18.19215170538642
8.5,18.049410219263446
9.0,17.84231857587646
9.5,17.58110995005738
10.0,17.274742539673504
10.5,16.931068044699494
11.0,16.556971662858366
11.5,16.158490040851948
12.0,15.740911662513195
12.5,15.308863374762792
13.0,14.866385565106254
13.5,14.416998170408558
14.0,13.96375877024159
14.5,13.509314160134709
15.0,13.055946111045754
15.5,12.605612250639092
16.0,12.159982593538976
16.5,11.720471632786792
17.0,11.288268489747686
17.5,10.864363182190457
18.0,10.449566893450044
18.5,10.044536317383015
19.0,9.64979161938261
19.5,9.265732332208467
20.0,8.892652688356721
20.5,8.530754938552324
21.0,8.180161201955068
21.5,7.84092407310955
22.0,7.513036083438954
22.5,7.196438098605241
23.0,6.891026798735263
23.5,6.5966613152423275
24.0,6.3131691342073895
24.5,6.040351256777359
25.0,5.777986927114913
25.5,5.525837542825407
26.0,5.28365043156611
26.5,5.051162240554461
27.0,4.82810069264059
27.5,4.614187875406268
28.0,4.409141856227731
28.5,4.2126790817983935
29.0,4.024515617558921
29.5,3.8443685597330113
30.0,3.6719572047613402
30.5,3.507004044809574
31.0,3.349235611852384
31.5,3.1983831842155617
32.0,3.054183371373106
32.5,2.9163785964907487
33.0,2.784717479781362
33.5,2.6589551440372405
34.0,2.538853444028774
34.5,2.4241811359060326
35.0,2.3147139845694453
35.5,2.2102348397712612
36.0,2.1105336374681585
36.5,2.0154074162632267
37.0,1.9246602401621826
37.5,1.8381031483959656
38.0,1.755554057071959
38.5,1.6768376439625723
39.0,1.6017852220556985
39.5,1.5302346055212672
40.0,1.4620299435205262
40.5,1.3970215609445156
41.0,1.335065810073506
41.5,1.276024907974639
42.0,1.2197666535406517
42.5,1.1661644611785567
43.0,1.1150970342421849
43.5,1.0664481883687151
44.0,1.0201067308757752
44.5,0.9759662224085142
45.0,0.9339248724597815
45.5,0.8938853011933738
46.0,0.8557543959528999
46.5,0.8194432122780525
47.0,0.7848668042610771
47.5,0.7519439407075507
48.0,0.7205970660942942
48.5,0.6907521299837994
49.0,0.6623384377522944
49.5,0.6352885152924275
50.0,0.6095379929646508
50.5,0.5850254177610066
51.0,0.5616921944132082
51.5,0.5394824185655904
52.0,0.5183427798108678
52.5,0.49822240923462296
53.0,0.4790728873922265
