Time,z_i,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,R0,a0,a1,k,u,lambda,d,beta,gamma,alpha,phi,eta,pa,ca,r,ba,p_i,ci,bi,xi,COMpartment,Host_cell_proliferation,Host_cell_death,Infection_1,Infection_2,Infected_cell_death_1,Infected_cell_infection_progression_1,Infected_cell_infection_progression_2,CTL_induced_infected_cell_death_1,Infected_cell_death_2,CTL_induced_infected_cell_death_2,Infected_cell_death_3,Virus_particle_production,Viral_particle_degradation,Precursor_T_cell_differentiation_2,Infection_induced_CTL_proliferation_stimulation,CTL_cell_death,Naive_CTL_division_1,Naive_CTL_division_2,Naive_CTL_division_3,Naive_CTL_division_4,Naive_CTL_division_5,Naive_CTL_division_6,Naive_CTL_division_7,Naive_CTL_division_8,Precursor_T_cell_differentiation_1,NK_cell_production,NK_infection_induced_production,NK_cell_death,NK_induced_infected_cell_death_1,NK_induced_infected_cell_death_2
0.0,0.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.010000000000000002,0.0,0.0
0.5,0.1359395064758212,5.14226591170395,0.12300462005203444,0.00024708347653292563,0.5597706914833965,0.606563930498068,1.4219329467535462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,0.514226591170395,0.31191130230693787,1.5595565115346894,0.012300462005203445,0.0012300462005203445,0.05597706914833966,1.7490432185488967e-07,4.941669530658513e-05,3.513361358805736e-10,0.05597706914833966,0.00024708347653292563,0.606563930498068,0.0,2.716462698856939,0.14219329467535463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.20105730899973215,0.01359395064758212,0.016721187344119464,3.358840585821606e-05
1.0,0.46799024777575854,8.812337429919939,0.2929156138500737,0.0011397610770661267,1.2840012967067462,0.36816931624648463,6.915537405364077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,0.881233742991994,0.32444322461069275,1.6222161230534637,0.02929156138500737,0.002929156138500737,0.12840012967067463,2.0256688841953645e-06,0.00022795221541322536,7.882060361628847e-09,0.12840012967067463,0.0011397610770661267,0.36816931624648463,0.0,31.5200396406334,0.6915537405364077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.651380573263349,0.04679902477757586,0.1370816507030844,0.0005333970688613421
1.5,3.0859398777709792,12.373407397624081,0.28423046764795323,0.0015015465981035145,1.8818305368902932,0.22390447002316743,79.71148154108518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,1.2373407397624083,0.27704612257457595,1.3852306128728797,0.028423046764795325,0.0028423046764795325,0.18818305368902932,2.265643167533383e-05,0.0003003093196207029,1.1969050393780754e-07,0.18818305368902932,0.0015015465981035145,0.22390447002316743,0.0,353.02989377871046,7.971148154108518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,10.581021805412785,0.30859398777709796,0.877118134592313,0.004633682525418989
2.0,7.949375115300528,15.924916062874786,0.07701164212080071,0.00023601891163640626,2.2892188852430992,0.1360984636093061,274.24064273628267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,1.5924916062874788,0.21673566092644186,1.0836783046322092,0.007701164212080071,0.0007701164212080071,0.22892188852430995,2.111972223338496e-05,4.720378232728125e-05,6.472597802508595e-08,0.22892188852430995,0.00023601891163640626,0.1360984636093061,0.0,328.3589472768558,27.424064273628268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,7.3688476119171105,0.7949375115300529,0.6121944314635231,0.0018762028629027623
2.5,10.461426394922954,19.475707319743986,0.041705812303754614,4.594521410175761e-05,2.517647057633362,0.08258476694148671,396.4634984508186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,1.9475707319743987,0.1608396750021664,0.8041983750108319,0.004170581230375461,0.0004170581230375461,0.2517647057633362,1.6534832251679747e-05,9.189042820351522e-06,1.8215600319854706e-08,0.2517647057633362,4.594521410175761e-05,0.08258476694148671,0.0,256.57224170599386,39.64634984508186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.241395257580706,1.0461426394922955,0.436302285656201,0.0004806524755245134
3.0,12.361824211241965,23.00224048681329,0.0313747108432344,2.675983489450351e-05,2.6033698458142145,0.05010347203679093,498.7995622286211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,2.300224048681329,0.11524921130145897,0.5762460565072949,0.00313747108432344,0.000313747108432344,0.26033698458142146,1.5649692033654887e-05,5.351966978900703e-06,1.3347793930688528e-08,0.26033698458142146,2.675983489450351e-05,0.05010347203679093,0.0,242.77711732757643,49.87995622286211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.658153525969982,1.2361824211241965,0.38784866012261077,0.00033080037488771106
3.5,13.912174839359087,26.474027805037068,0.024931439588343044,1.8521146737127634e-05,2.5857207077278734,0.030397900400497405,589.2842153318439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,2.647402780503707,0.08047548604175157,0.4023774302087578,0.0024931439588343047,0.00024931439588343047,0.2585720707727874,1.4691703814909999e-05,3.704229347425527e-06,1.0914219422034199e-08,0.2585720707727874,1.8521146737127634e-05,0.030397900400497405,0.0,227.89057953214655,58.9284215331844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.165298591778954,1.3912174839359088,0.3468505465499472,0.00025766943163234475
4.0,15.159737608661136,29.863960650740285,0.020464569653485906,1.3801012471780977e-05,2.498732602680808,0.018443499652866246,667.7907038007348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,2.986396065074029,0.05507959478951397,0.2753979739475698,0.002046456965348591,0.00020464569653485908,0.2498732602680808,1.3666049371880513e-05,2.7602024943561954e-06,9.216187831693337e-09,0.2498732602680808,1.3801012471780977e-05,0.018443499652866246,0.0,211.9666161755392,66.77907038007349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.7253607113858607,1.5159737608661137,0.31023750622101565,0.00020921972780605944
4.5,16.14417964856436,33.15145301399028,0.017202723443999545,1.0819778677538767e-05,2.3689668335887464,0.011191327058499585,734.6638987771944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,3.3151453013990277,0.0371008753144047,0.1855043765720235,0.0017202723443999546,0.00017202723443999546,0.23689668335887465,1.263821987495455e-05,2.1639557355077535e-06,7.948900787146987e-09,0.23689668335887465,1.0819778677538767e-05,0.011191327058499585,0.0,196.0156160239963,73.46638987771944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.334782410102716,1.614417964856436,0.2777238577244985,0.000174676450727892
