data_set_value_component_environment_variable_time,data_set_value_component_uninfected_variable_s,data_set_value_component_uninfected_variable_r,data_set_value_component_uninfected_variable_T_max,data_set_value_component_uninfected_variable_mu_T,data_set_value_component_uninfected_variable_T,data_set_value_component_latently_infected_variable_k_1,data_set_value_component_latently_infected_variable_T_1,data_set_value_component_actively_infected_variable_k_2,data_set_value_component_actively_infected_variable_mu_b,data_set_value_component_actively_infected_variable_T_2,data_set_value_component_free_virus_particle_variable_mu_V,data_set_value_component_free_virus_particle_variable_N,data_set_value_component_free_virus_particle_variable_V,data_set_value_component_T_cell_population_variable_T_tot
0.0,10.0,0.03,1500.0,0.02,1000.0,2.4e-05,0.0,0.003,0.24,0.0,2.4,1400.0,0.001,1000.0
0.1,10.0,0.03,1500.0,0.02,999.9999978692106,2.4e-05,2.1293538754099076e-06,0.003,0.24,3.2855110412179323e-10,2.4,1400.0,0.0007846827173481626,999.999999998893
0.2,10.0,0.03,1500.0,0.02,999.9999961969314,2.4e-05,3.7977657067484673e-06,0.003,0.24,1.205956713854803e-09,2.4,1400.0,0.0006155048453578381,999.9999999959031
0.30000000000000004,10.0,0.03,1500.0,0.02,999.9999948891432,2.4e-05,5.09976480562278e-06,0.003,0.24,2.504160455193862e-09,2.4,1400.0,0.0004830250751644211,999.9999999914122
0.4,10.0,0.03,1500.0,0.02,999.9999938658302,2.4e-05,6.1157928474829536e-06,0.003,0.24,4.114795076329366e-09,2.4,1400.0,0.0003792083932811531,999.9999999857379
0.5,10.0,0.03,1500.0,0.02,999.9999930646754,2.4e-05,6.908511148400824e-06,0.003,0.24,5.953908684543044e-09,2.4,1400.0,0.00029779507890512853,999.9999999791405
0.6000000000000001,10.0,0.03,1500.0,0.02,999.9999924375912,2.4e-05,7.526270801256129e-06,0.003,0.24,7.95715868232156e-09,2.4,1400.0,0.00023395441252480046,999.9999999718192
0.7000000000000001,10.0,0.03,1500.0,0.02,999.9999919466541,2.4e-05,8.007198296441265e-06,0.003,0.24,1.0074215486668193e-08,2.4,1400.0,0.00018387671610695924,999.9999999639266
0.8,10.0,0.03,1500.0,0.02,999.9999915624561,2.4e-05,8.380865254660793e-06,0.003,0.24,1.2266462253063809e-08,2.4,1400.0,0.00014460651989935282,999.9999999555878
0.9,10.0,0.03,1500.0,0.02,999.9999912617405,2.4e-05,8.67065248789238e-06,0.003,0.24,1.4503747057665956e-08,2.4,1400.0,0.00011380663068187229,999.9999999468968
1.0,10.0,0.03,1500.0,0.02,999.9999910264725,2.4e-05,8.894691401839928e-06,0.003,0.24,1.6763086703239268e-08,2.4,1400.0,8.966406675222639e-05,999.999999937927
