R_1_task1,_1_task1
0.0,0.0
0.00029482276006470977,0.015
0.0012484776251369646,0.03
0.0029258084842526334,0.045
0.005363499685916529,0.06
0.008583130349412046,0.075
0.012596837627704032,0.09
0.017410359835940626,0.105
0.023024861782821482,0.12
0.02943813946210385,0.135
0.036645448473938524,0.15
0.044640092439791244,0.165
0.053413863748855345,0.18
0.0629573757148045,0.195
0.07326031997950883,0.21
0.08431167607727888,0.225
0.09609986400144242,0.24
0.10861287879269686,0.255
0.121838398374675,0.27
0.13576387123848502,0.285
0.15037658918717792,0.3
0.16566374567332123,0.315
0.1816124922250888,0.33
0.1982099846982331,0.345
0.215443401619991,0.36
0.23329999446007998,0.375
0.25176710184171175,0.39
0.27083217917803454,0.405
0.2904828132826293,0.42
0.3107067405505884,0.435
0.3314918603887555,0.45
0.3528262461038722,0.465
0.3746981562724006,0.48
0.39709603728968185,0.495
0.42000854233226226,0.51
0.44342454064229575,0.525
0.4673330919018482,0.54
0.49172347728418025,0.555
0.5165852049936767,0.57
0.5419079907196407,0.585
0.5676817782555796,0.6
0.5938967411943682,0.615
0.6205432684596255,0.63
0.6476119789603252,0.645
0.6750937210141557,0.66
0.7029795614755556,0.675
0.7312607956509348,0.69
0.7599289455125173,0.705
0.7889757519732902,0.72
0.8183931808439572,0.735
0.8481734198383931,0.75
0.8783088712373661,0.765
0.9087921599907101,0.78
0.9396161307051266,0.795
0.9707738462373434,0.81
1.0022585722889283,0.825
1.0340637830519133,0.84
1.066183167918613,0.855
1.0986106247664857,0.87
1.1313402562027461,0.885
1.164366361271234,0.9
1.197683443545087,0.915
1.2312862062731829,0.93
1.2651695499674542,0.945
1.2993285667887349,0.96
1.333758540771561,0.975
1.3684549472088798,0.99
1.403413449456738,1.005
1.4386298964544533,1.02
1.4741003197285032,1.035
1.5098209327179264,1.05
1.5457881281497232,1.065
1.5819984759066548,1.08
1.6184487224874766,1.095
1.6551357877618147,1.11
1.6920567624905969,1.125
1.7292089066666638,1.14
1.766589649367453,1.155
1.8041965892096674,1.17
1.842027486088792,1.185
1.8800802617650891,1.2
1.9183529980287986,1.215
1.9568439347284987,1.23
1.9955514705854303,1.245
2.034474172873851,1.26
2.073610757061961,1.275
2.112960090281705,1.29
2.152521190952335,1.305
2.192293227068747,1.32
2.232275516019881,1.335
2.272467541390743,1.35
2.3128689295636575,1.365
2.3534794496340505,1.38
2.394299015980067,1.395
2.4353276869164096,1.41
2.476565663672011,1.425
2.5180133089504726,1.44
2.559671130650988,1.455
2.601539771985774,1.47
2.6436200183381913,1.485
2.685912796349706,1.5
2.7284191730068468,1.515
2.771140370656283,1.53
2.814077766775759,1.545
2.857232868557995,1.56
2.9006073253973432,1.575
2.944202928505369,1.59
2.9880216104903017,1.605
3.0320654594351875,1.62
3.076336719871949,1.635
3.1208377822745748,1.65
3.165571173677204,1.665
3.2105395679586834,1.68
3.2557457857246717,1.695
3.301192800577391,1.71
3.3468837692403595,1.725
3.3928219862579976,1.74
3.4390108976291573,1.755
3.4854541061106885,1.77
3.532155372875774,1.785
3.579118619334526,1.8
3.626347929808352,1.815
3.6738475723962334,1.83
3.721621983600968,1.845
3.7696757678874824,1.86
3.818013706690123,1.875
3.8666407619072345,1.89
3.9155620795983905,1.905
3.9647829938842705,1.92
4.014309021431231,1.935
4.06414586494333,1.95
4.114299432833021,1.965
4.164775835261856,1.98
4.215581388475289,1.995
4.266722619339251,2.01
4.318206270047279,2.025
4.370039305687444,2.04
4.422228926912922,2.055
4.474782561548499,2.07
4.527707875007701,2.085
4.581012776884796,2.1
4.634705427046553,2.115
4.688794241914933,2.13
4.743287902955994,2.145
4.79819539033668,2.16
4.853525958997364,2.175
4.909289147816603,2.19
4.965494793869235,2.205
5.0221530408398865,2.22
5.079274347683869,2.235
5.136869497578676,2.25
5.194949635772212,2.265
5.25352626717492,2.28
5.312611240927118,2.295
5.3722167780968,2.31
5.432355483143737,2.325
5.4930403557078735,2.34
5.554284802722103,2.355
5.616102671493384,2.37
5.678508294750954,2.385
5.741516430904994,2.4
5.805142309069067,2.415
5.869401646709717,2.43
5.934310665737502,2.445
5.999886109036284,2.46
6.0661452673912795,2.475
6.1331060725772195,2.49
6.200787014768965,2.505
6.269207181666022,2.52
6.33838629255167,2.535
6.408344720292494,2.55
6.479103513938086,2.565
6.5506844233922985,2.58
6.623110023060028,2.595
6.696403662997291,2.61
6.770589450995601,2.625
6.845692322495827,2.64
6.9217380707883525,2.655
6.9987533780453255,2.67
7.076765847184949,2.685
7.155804113858894,2.7
7.235897933634655,2.715
7.3170780274343326,2.73
7.399376211046541,2.745
7.4828254388605515,2.76
7.567459846667306,2.775
7.653314795623725,2.79
7.740426961823239,2.805
7.828834584014205,2.82
7.918577201625294,2.835
8.009695797060674,2.85
8.102232877962598,2.865
8.196232536408191,2.88
8.291740509737199,2.895
8.38880425504725,2.91
8.487473313385168,2.925
8.5877990856423,2.94
8.68983486121763,2.955
8.793635986319048,2.97
8.89925994575007,2.985
9.006766446971548,3.0
9.116217506438355,3.015
9.227677796951696,3.03
9.341214745353017,3.045
9.456898238830396,3.06
9.574800945486373,3.075
9.694998426979646,3.09
9.817569253730673,3.105
9.942595123245376,3.12
10.070161087633224,3.135
10.200355995897178,3.15
10.333272135455944,3.165
10.469005546361716,3.18
10.607656203658173,3.195
10.749328180844817,3.21
10.894129801425919,3.225
11.042173782787579,3.24
11.193577468862165,3.255
11.348462989067425,3.27
11.506957441884198,3.285
11.669193084543588,3.3
11.83530759395199,3.315
12.005444323259711,3.33
12.179752357442528,3.345
12.358386796671137,3.36
12.541508979714262,3.375
12.729286711093927,3.39
12.921894264060658,3.405
13.119512570085545,3.42
13.322329788029721,3.435
13.530541360757649,3.45
13.744350244557655,3.465
13.96396714054717,3.48
14.189609791207818,3.495
14.42150347731121,3.51
14.659882015022724,3.525
14.90498745304573,3.54
15.157070244688262,3.555
15.416389387261978,3.57
15.683210573487878,3.585
15.957807416471887,3.6
16.240462522190022,3.615
16.531466868486554,3.63
16.8311195174847,3.645
17.139724701405473,3.66
17.45759451215088,3.675
17.785048513656314,3.69
18.122412336136897,3.705
18.470014907552397,3.72
18.828191546744446,3.735
19.197282592427495,3.75
19.5776299997563,3.765
19.969575032930695,3.78
20.37346220177912,3.795
20.789636522871245,3.81
21.2184371474113,3.825
21.66019856336813,3.84
22.11525205710784,3.855
22.583922210495103,3.87
23.06651810349763,3.885
23.563338131763764,3.9
24.074668249295975,3.915
24.60077726320533,3.93
25.141908007117635,3.945
25.698283621016998,3.96
26.27010305718619,3.975
26.857536076774906,3.99
27.460716596783826,4.005
28.079743565069926,4.02
28.71468060828837,4.035
29.365551196804205,4.05
30.032334352405275,4.065
30.7149615225336,4.08
31.413315164698826,4.095
32.12722734714496,4.11
32.856475752830605,4.125
33.60078463317645,4.14
34.35982201157401,4.155
35.1331983246869,4.17
35.92046726401684,4.185
36.72112245512208,4.2
37.53460203433784,4.215
38.36028675843646,4.23
39.19750321931065,4.245
40.04552426931665,4.26
40.90357151763474,4.275
41.770819249372124,4.29
42.646395443203936,4.305
43.52938921055008,4.32
44.4188506400396,4.335
45.31379922238273,4.35
46.2132261982622,4.365
47.116101906044136,4.38
48.021372919404484,4.395
48.92798415261119,4.41
49.83486888456456,4.425
50.74096135598175,4.44
51.64520022508118,4.455
52.54653787912782,4.47
53.44393590332475,4.485
