H_1_task1,_1_task1
0.0,0.0
0.0027131252511431664,0.015
0.011443555954839382,0.03
0.026716826694447138,0.045
0.04880099242854786,0.06
0.07783027955003503,0.075
0.11385896469681404,0.09
0.15689028715956507,0.105
0.20689365957597183,0.12
0.2638158730540714,0.135
0.327588643881069,0.15
0.398133822240077,0.165
0.4753671627240595,0.18
0.5592010409983135,0.195
0.649546451168925,0.21
0.7463145476753323,0.225
0.8494176484673438,0.24
0.958770080615232,0.255
1.0742887842661468,0.27
1.1958937390652031,0.285
1.3235082659637034,0.3
1.4570592151695052,0.315
1.5964771414699257,0.33
1.7416964029819757,0.345
1.892655043918866,0.36
2.0492949466544617,0.375
2.211561708439171,0.39
2.3794046455822246,0.405
2.552776693619744,0.42
2.731634348552667,0.435
2.9159375730446464,0.45
3.105649712430212,0.465
3.300737402568595,0.48
3.5011704732318947,0.495
3.706921870517516,0.51
3.91796756740797,0.525
4.134286432827819,0.54
4.355860166949251,0.555
4.58267321559847,0.57
4.8147127253472455,0.585
5.05196842029544,0.6
5.294432526747323,0.615
5.542099768413381,0.63
5.794967231916637,0.645
6.053034307713796,0.66
6.316302706767216,0.675
6.584776325487278,0.69
6.8584612054404515,0.705
7.1373655714864075,0.72
7.421499696733668,0.735
7.710875894280091,0.75
8.005508595830213,0.765
8.305414135239323,0.78
8.610610746620877,0.795
8.921118531741838,0.81
9.236959720540586,0.825
9.55815849205978,0.84
9.884740773156578,0.855
10.216734317554163,0.87
10.55416877330372,0.885
10.897075946794757,0.9
11.245489357029022,0.915
11.599444350648692,0.93
11.958978114024532,0.945
12.324129946189327,0.96
12.694941082623348,0.975
13.071454583662094,0.99
13.453715421365906,1.005
13.841770572641487,1.02
14.235669232597047,1.035
14.635462487253669,1.05
15.041203440380128,1.065
15.452947247934123,1.08
15.870751387676112,1.095
16.29467549863553,1.11
16.724781342300744,1.125
17.161132894213804,1.14
17.603796518468666,1.155
18.0528411884603,1.17
18.508338038041995,1.185
18.970360592364575,1.2
19.438984812723564,1.215
19.914289130893515,1.23
20.3963546605837,1.245
20.885265972565495,1.26
21.381109959997307,1.275
21.883976218706444,1.29
22.393957182940923,1.305
22.911148176231315,1.32
23.435647532648403,1.335
23.967557499440453,1.35
24.506983290118924,1.365
25.054033210196025,1.38
25.608818905019692,1.395
26.171455427451757,1.41
26.742061319461875,1.425
27.320759535232256,1.44
27.907676867138598,1.455
28.50294364660184,1.47
29.10669416432084,1.485
29.719066756562594,1.5
30.3402038914526,1.515
30.970252949794137,1.53
31.60936634118265,1.545
32.257700521865395,1.56
