Time,C,D,H,M,N,R,bH,bC,bM,alpha,k1,k2,k3,k4,k5,k6,dH,dC,dM,dD,H0,C0,M0,sigma,m,h,compartment,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8
0.0,4.0,0.0,0.0,400.0,100.0,0.0,0.0,6.46044,312.462,5.985172717826585e-30,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,0.0,0.0,6.46044,6.46044,312.462,312.462,1.639792,0.0,0.0
0.015,4.000000031164321,0.0275728349552392,0.0027131252511431664,400.0610570780926,99.97213234228462,0.00029482276006470977,0.0,6.46044,312.462,0.0040330781013145295,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,0.37615087671019765,0.0027131252511431664,6.460448631037006,6.460440050333807,320.91795995498524,312.5096950418374,2.0425304588417728,0.04069663660399056,3.651320918849418e-05
0.03,4.000000554836468,0.05916763554740915,0.011443555954839382,400.25779957500424,99.93958388682736,0.0012484776251369646,0.0,6.46044,312.462,0.006414341088652585,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,0.8075666895099269,0.011443555954839382,6.460518119045087,6.460440896121929,330.61628863864405,312.66338142701244,2.279848108034284,0.08733332901000414,0.0001546214569179628
0.045,4.000003025741313,0.092960510733522,0.026716826694447138,400.60249981756243,99.90411368078215,0.0029258084842526334,0.0,6.46044,312.462,0.008036110260821315,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,1.2698912627600694,0.026716826694447138,6.460726546486986,6.4604448869050515,341.0094535085502,312.932645744988,2.4410613760639928,0.1372230505044866,0.00036235552915772016
0.06,4.000010097703362,0.1280649341691435,0.04880099242854786,401.10166450692896,99.86657156614486,0.005363499685916529,0.0,6.46044,312.462,0.009237539150966386,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,1.7516166866732883,0.04880099242854786,6.461161058662473,6.460456308901677,351.8387540528816,313.3225707379101,2.5601295499409513,0.18906286991762752,0.0006642587091013903
0.075,4.0000256831754255,0.16395340415270776,0.07783027955003503,401.75880053901284,99.82746346549779,0.008583130349412046,0.0,6.46044,312.462,0.01017133004827357,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,2.2461575541867833,0.07783027955003503,6.461912247219244,6.460481481153462,362.9561487759029,313.8358958350526,2.652351349100136,0.24207999879755135,0.001063003527513983
0.09,4.000054948353139,0.20027750763225383,0.11385896469681404,402.575618499673,99.78712565473994,0.012596837627704032,0.0,6.46044,312.462,0.010920228034801825,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,2.749375295376,0.11385896469681404,6.463070941083299,6.460528747634638,374.2686016547845,314.4739572691121,2.7260219486190236,0.2957660129136994,0.001560093146515889
0.105,4.0001042707651875,0.23679221404628237,0.15689028715956507,403.55267789309397,99.74579742611768,0.017410359835940626,0.0,6.46044,312.462,0.011534302055478169,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,3.258532304017067,0.15689028715956507,6.464726227222192,6.460608408755562,385.71457065936033,315.23719209957983,2.7861643997383148,0.3497649883797646,0.0021562382449615745
0.12,4.000181174519227,0.273318152620218,0.20689365957597183,404.6897710453411,99.70365698559687,0.023024861782821482,0.0,6.46044,312.462,0.012046180260644034,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,3.771768966678636,0.20689365957597183,6.466964201597086,6.460732616777749,397.2522512434206,316.1254381009235,2.836054867682713,0.4038177449699236,0.002851583082078875
0.135,4.00029425218914,0.3097201860725578,0.2638158730540714,405.98617302055425,99.66084167446523,0.02943813946210385,0.0,6.46044,312.462,0.012478296240768108,0.0341,0.115375,0.766576,0.123848,0.00409948,0.000323097,1.0,1.61511,0.781155,1.34671,0.0,4.0,400.0,2.2,4.22686,0.511657,1.0,4.287806055032679,0.2638158730540714,6.469867187561473,6.460915249653202,408.852886054039,317.13812898587105,2.8779482339050135,0.45773017128615245,0.003645854696102638
