C_1_task1,_1_task1
4.0,0.0
4.000000031164321,0.015
4.000000554836468,0.03
4.000003025741313,0.045
4.000010097703362,0.06
4.0000256831754255,0.075
4.000054948353139,0.09
4.0001042707651875,0.105
4.000181174519227,0.12
4.00029425218914,0.135
4.000453079602055,0.15
4.000668127200246,0.165
4.0009506709772555,0.18
4.001312704819045,0.195
4.001766855530017,0.21
4.002326300936013,0.225
4.003004692606475,0.24
4.003816082886369,0.255
4.004774856114474,0.27
4.0058956646916,0.285
4.007193369723559,0.3
4.0086829872171865,0.315
4.010379635583206,0.33
4.012298487884144,0.345
4.014454735952607,0.36
4.0168635448797145,0.375
4.019540023550868,0.39
4.022499189632755,0.405
4.025755943288189,0.42
4.029325041887724,0.435
4.033221076856575,0.45
4.037458456167656,0.465
4.042051384922955,0.48
4.0470138597487955,0.495
4.052359639035593,0.51
4.058102227286365,0.525
4.064254910301368,0.54
4.070830707692889,0.555
4.077842363790738,0.57
4.085302384420011,0.585
4.093222998486183,0.6
4.101616156260374,0.615
4.110493561841908,0.63
4.119866643790751,0.645
4.129746558882426,0.66
4.140144220922644,0.675
4.151070279095442,0.69
4.162535125573679,0.705
4.174548920598968,0.72
4.187121577963122,0.735
4.200262777482481,0.75
4.213981992566324,0.765
4.228288465205266,0.78
4.243191218981209,0.795
4.258699066581042,0.81
4.2748206648338565,0.825
4.291564498262627,0.84
4.308938859022047,0.855
4.326951872425598,0.87
4.345611515990295,0.885
4.364925661124659,0.9
4.384902033052003,0.915
4.405548235335017,0.93
4.426871762363499,0.945
4.448880034093161,0.96
4.471580391568014,0.975
4.494980098085091,0.99
4.519086357687486,1.005
4.543906332338591,1.02
4.569447167144552,1.035
4.595715979387091,1.05
4.62271987795447,1.065
4.6504659764149565,1.08
4.678961417130474,1.095
4.708213374802387,1.11
4.73822906583761,1.125
4.769015763950121,1.14
4.8005808185543355,1.155
4.83293167500186,1.17
4.866075868130561,1.185
4.900021042903485,1.2
4.93477496763476,1.215
4.97034554679649,1.23
5.006740840354791,1.245
5.043969103884175,1.26
5.082038758281819,1.275
5.120958415326953,1.29
5.160736894226259,1.305
5.201383235030007,1.32
5.242906715018879,1.335
5.285316898064806,1.35
5.328623605941225,1.365
5.3728369348989435,1.38
5.417967277394501,1.395
5.464025336215951,1.41
5.511022139348587,1.425
5.558969099586394,1.44
5.607877994536811,1.455
5.657760961241226,1.47
5.708630529047165,1.485
5.76049963472374,1.5
5.8133816375770975,1.515
5.86729038129012,1.53
5.922240211044274,1.545
5.978245916756683,1.56
6.035322787502861,1.575
6.093486628182822,1.59
6.1527537760812425,1.605
6.213141171123418,1.62
6.274666377600348,1.635
6.337347563374459,1.65
6.401203483251387,1.665
6.466253535186412,1.68
6.532517777965454,1.695
6.600016978523424,1.71
6.668772770186836,1.725
6.738807459825036,1.74
6.810144109171162,1.755
6.88280657728965,1.77
6.9568195459914834,1.785
7.032208545915904,1.8
7.108999988467553,1.815
7.187221333710041,1.83
7.266900985772411,1.845
7.348068299750964,1.86
7.4307536589628285,1.875
7.514988510282412,1.89
7.600805400447446,1.905
7.688238013334633,1.92
7.7773212331904595,1.935
7.868091185958449,1.95
7.960585240073695,1.965
8.054842070139244,1.98
8.150901700552255,1.995
8.248805550101965,2.01
8.348596477620722,2.025
8.45031887550076,2.04
8.554018850136181,2.055
8.659744033779896,2.07
8.767543721927652,2.085
8.877468942201146,2.1
8.989572512607667,2.115
9.103909101207334,2.13
9.220535308742763,2.145
9.339510019819421,2.16
9.460894137555151,2.175
9.584750671535469,2.19
9.711144879610842,2.205
9.840144346548204,2.22
9.971819064694314,2.235
10.106241517125312,2.25
10.24348707762525,2.265
10.383633967598072,2.28
10.526763069148334,2.295
10.672958211399903,2.31
10.822306277721324,2.325
10.974897315808336,2.34
11.130824650623596,2.355
11.290185220924425,2.37
11.453080043134515,2.385
11.619613554171053,2.4
11.789894073819642,2.415
11.964033973821596,2.43
12.142149829686161,2.445
12.324362576577755,2.46
12.510797777405356,2.475
12.701586608432255,2.49
12.896864937130985,2.505
13.09677372062477,2.52
13.301459348459215,2.535
13.511073853778482,2.55
13.72577513033428,2.565
13.945727171458113,2.58
14.171101393325667,2.595
14.402076066445437,2.61
14.638836085524234,2.625
14.881573701434055,2.64
15.130488817063098,2.655
15.385789291542023,2.67
15.647691252845343,2.685
15.916420297793568,2.7
16.19221241621583,2.715
16.475312234277443,2.73
16.765974406212468,2.745
17.0644640542685,2.76
17.37105719745773,2.775
17.68604119235505,2.79
18.00971568451579,2.805
18.34239533303462,2.82
18.68440681623171,2.835
19.036090371540332,2.85
19.397800660929942,2.865
19.769907376568145,2.88
20.152795863776024,2.895
20.546867897597963,2.91
20.95254573916425,2.925
21.3702695280922,2.94
21.800497536447075,2.955
22.243708003005505,2.97
22.700399986514856,2.985
23.171094243540242,3.0
23.656334130898948,3.015
24.15668947400211,3.03
24.67275759584785,3.045
25.20515989551242,3.06
25.754545408188118,3.075
26.3215920002777,3.09
26.907007592360298,3.105
27.511531416329785,3.12
28.135936496808977,3.135
28.781034541348497,3.15
29.447671845740384,3.165
30.136732745710784,3.18
30.849141588424125,3.195
31.585864491201857,3.21
32.34791091769798,3.225
33.136335131275516,3.24
33.9522388836547,3.255
34.79677305078213,3.27
35.67113960080821,3.285
36.57659363329593,3.3
37.514445930267875,3.315
38.486065495811175,3.33
39.492880723118155,3.345
40.536382157040165,3.36
41.61812486025437,3.375
42.73973082411788,3.39
43.902887992191886,3.405
45.109352057840766,3.42
46.36095393376119,3.435
47.659599507872805,3.45
49.00727196760808,3.465
50.40603413261062,3.48
51.85801798824684,3.495
53.36543060948594,3.51
54.93056690306275,3.525
56.55580455959016,3.54
58.24360547870472,3.555
59.99651672468472,3.57
61.81714404909433,3.585
63.7081677805095,3.6
65.67235660352824,3.615
67.71255798398495,3.63
69.83169325683353,3.645
72.03271696983026,3.66
74.31865248652647,3.675
76.6925857124998,3.69
79.15764502119954,3.705
81.71696273551794,3.72
84.37371603040548,3.735
87.13110734981996,3.75
89.99231773991497,3.765
92.96047488083697,3.78
96.03870474617344,3.795
99.23009388677553,3.81
102.53760482167543,3.825
105.96409045177099,3.84
109.51231186604333,3.855
113.1848915152394,3.87
116.9841998732678,3.885
120.91241475562624,3.9
124.97149725878663,3.915
129.16313167684228,3.93
133.48861684227532,3.945
137.94893825312369,3.96
142.5447112633834,3.975
147.2761212284736,3.99
152.1428467076216,4.005
157.14406366741682,4.02
162.27844556304353,4.035
167.54410267664912,4.05
172.93853588421769,4.065
178.45860194130557,4.08
184.10049662962263,4.095
189.8597519961506,4.11
195.7311842895946,4.125
201.70892487772662,4.14
207.78638960653186,4.155
213.95627302026944,4.17
220.21057377514282,4.185
226.54056271685295,4.2
232.93686020506803,4.215
239.38942200895212,4.23
245.8876014371338,4.245
252.4201652417671,4.26
258.9753463802903,4.275
265.540913830977,4.29
272.1041915220248,4.305
278.65218806454703,4.32
285.1715908994486,4.335
291.64890831104395,4.35
298.07050222526254,4.365
304.4226714667118,4.38
310.6917747347597,4.395
316.8642496272342,4.41
322.9267642205203,4.425
328.8662085381699,4.44
334.66982593119974,4.455
340.3253628191967,4.47
345.82088130407055,4.485
351.14526254857753,4.5
356.28766898454023,4.515
361.2382412785963,4.53
365.98776980047853,4.545
370.5277026346706,4.56
374.8503516452231,4.575
378.94890396252197,4.59
382.8173034690655,4.605
386.45035865303964,4.62
389.8437984125955,4.635
392.9941924420157,4.65
395.8988839997234,4.665
398.55612054298274,4.68
400.96499736701776,4.695
403.1253017712768,4.71
405.0375919092871,4.725
406.7032501192046,4.74
408.12425881878653,4.755
409.30322458996153,4.77
410.24345869895086,4.785
410.9487689291801,4.8
411.42344708527565,4.815
411.6723422671229,4.83
411.70068197013836,4.845
411.5140399526992,4.86
411.1183930400433,4.875
410.51997863409946,4.89
409.72525636792494,4.905
408.7409402189263,4.92
407.5738937383344,4.935
406.23109657771647,4.95
404.7196513664714,4.965
403.04671493845814,4.98
401.2194617435255,4.995
399.2450899089514,5.01
397.1307702446854,5.025
394.883629748324,5.04
392.5107169531203,5.055
390.01901273035435,5.07
387.41532524746617,5.085
384.70647356035636,5.1
381.8990139349945,5.115
378.99943319320147,5.13
376.01410431763935,5.145
372.94908954288576,5.16
369.81035796215804,5.175
366.6036967160933,5.19
363.33470741698585,5.205
360.008803891488,5.22
356.6312143999185,5.235
353.2069758551064,5.25
349.7409335713131,5.265
346.2377426611423,5.28
342.70186876855166,5.295
339.1375899567014,5.31
335.5489989056138,5.325
331.9400022979267,5.34
328.31433491899037,5.355
324.67555132381636,5.37
321.02703441315435,5.385
317.3719973213167,5.4
313.71349423008877,5.415
310.05441749227464,5.43
306.3975051236055,5.445
302.7453458884434,5.46
299.100381331489,5.475
295.46492175311676,5.49
291.8411354828673,5.505
288.23106040355526,5.52
284.63660974656307,5.535
281.0595747937114,5.55
277.5016397241761,5.565
273.96437008167226,5.58
270.4492240633798,5.595
266.9575591268578,5.61
263.4906370953902,5.625
260.04962944124946,5.64
256.6356110184448,5.655
253.24957369317508,5.67
249.89243370462566,5.685
246.56502592910718,5.7
243.26810895656118,5.715
240.00237432994524,5.73
236.76845197244216,5.745
233.56690058627672,5.76
230.3982198974073,5.775
227.262857538778,5.79
224.16120611121974,5.805
221.09360172062594,5.82
218.0603386508114,5.835
215.06166470965027,5.85
212.0977793244569,5.865
209.16884513899382,5.88
206.27499003618016,5.895
203.41629716000222,5.91
200.59282274852163,5.925
197.80458947859057,5.94
195.05158551809967,5.955
192.333776890828,5.97
189.65110056113585,5.985
187.00346610299883,6.0
184.3907668049978,6.015
181.81286623952596,6.03
179.2696125638144,6.045
176.76083531383009,6.06
174.2863415344241,6.075
171.8459306634994,6.09
169.43937825861155,6.105
