M_1_task1,_1_task1
400.0,0.0
400.0610570780926,0.015
400.25779957500424,0.03
400.60249981756243,0.045
401.10166450692896,0.06
401.75880053901284,0.075
402.575618499673,0.09
403.55267789309397,0.105
404.6897710453411,0.12
405.98617302055425,0.135
407.4408100092149,0.15
409.0523756416481,0.165
410.8194152919425,0.18
412.74038694134015,0.195
414.81370604262617,0.21
417.0377802576584,0.225
419.4110322169095,0.24
421.93191877134996,0.255
424.5989448568274,0.27
427.41067341790813,0.285
430.36573254993544,0.3
433.4628200927573,0.315
436.7007079431227,0.33
440.07824465362813,0.345
443.5943532020933,0.36
447.248034761924,0.375
451.0383663131825,0.39
454.9645010869316,0.405
459.025666676048,0.42
463.2211640648898,0.435
467.550365864541,0.45
472.0127147323296,0.465
476.60772162767313,0.48
481.3349639048372,0.495
486.19408393569023,0.51
491.1847874058781,0.525
496.30684045747836,0.54
501.56006868036303,0.555
506.94435546242937,0.57
512.4596410209259,0.585
518.105920061247,0.6
523.8832403156547,0.615
529.7917024543059,0.63
535.831457468688,0.645
542.0027055421265,0.66
548.3056964755542,0.675
554.7407270001141,0.69
561.3081400424468,0.705
568.0083256229486,0.72
574.8417181507864,0.735
581.8087963689308,0.75
588.9100851393925,0.765
596.146150987692,0.78
603.5176021868341,0.795
611.0250881917233,0.81
618.66930529238,0.825
626.4509929418914,0.84
634.3709296129322,0.855
642.4299346013926,0.87
650.6288696212379,0.885
658.96864464409,0.9
667.4502084111099,0.915
676.074551055112,0.93
684.8427045006601,0.945
693.7557485460493,0.96
702.8148071673018,0.975
712.0210462289957,0.99
721.3756755156232,1.005
730.8799509395975,1.02
740.5351794200222,1.035
750.3427117520845,1.05
760.3039455639391,1.065
770.4203262232851,1.08
780.6933530233682,1.095
791.1245757169557,1.11
801.7155937816552,1.125
812.4680586113697,1.14
823.3836776256285,1.155
834.4642194348305,1.17
845.7115037186633,1.185
857.1274066217021,1.2
868.7138619028007,1.215
880.472861844472,1.23
892.4064622414754,1.245
904.5168003710811,1.26
916.8060689795025,1.275
929.2765251586446,1.29
941.9304935911878,1.305
954.7703678406066,1.32
967.7986132916112,1.335
981.0177884099484,1.35
994.4305226396682,1.365
1008.0395194485963,1.38
1021.8475622363661,1.395
1035.8575160186963,1.41
1050.072329440986,1.425
1064.4950567065762,1.44
1079.1288440750238,1.455
1093.976922865298,1.47
1109.0426194833854,1.485
1124.3293575470307,1.5
1139.840660010473,1.515
1155.5801678802195,1.53
1171.551643052227,1.545
1187.7589449137786,1.56
1204.2060464256106,1.575
1220.8970367972688,1.59
1237.83612412484,1.605
1255.0276537974069,1.62
1272.4761126515539,1.635
1290.1861206393082,1.65
1308.1624237195185,1.665
1326.4099081384197,1.68
1344.9336033965174,1.695
1363.7386928242365,1.71
1382.8305525995954,1.725
1402.2147007965052,1.74
1421.8968167137791,1.755
1441.8827502591835,1.77
1462.1785269760262,1.785
1482.7903532534601,1.8
1503.7246227812147,1.815
1524.9879508433576,1.83
1546.5871529590604,1.845
1568.5292463621859,1.86
1590.821465909318,1.875
1613.4712714667878,1.89
1636.486355543381,1.905
1659.8746511687327,1.92
1683.6443372831723,1.935
1707.8038468763232,1.95
1732.3618799131107,1.965
1757.3274097302176,1.98
1782.709691978496,1.995
1808.5182738108088,2.01
1834.7630033064422,2.025
1861.4540469882413,2.04
1888.601921987475,2.055
1916.2174664121626,2.07
1944.311864405582,2.085
1972.8966597687102,2.1
2001.9837678596625,2.115
2031.5854877891943,2.13
2061.7145189983203,2.145
2092.384028773104,2.16
2123.607602915712,2.175
2155.3992634192878,2.19
2187.7734963786293,2.205
2220.745267959847,2.22
2254.3300407806273,2.235
2288.5437907909068,2.25
2323.4030841617823,2.265
2358.9250703278058,2.28
2395.127447830508,2.295
2432.0285197797607,2.31
2469.6472154409485,2.325
2508.0031123927747,2.34
2547.1164592557147,2.355
2587.008241200499,2.37
2627.7002698323013,2.385
2669.215058726722,2.4
2711.5759130762926,2.415
2754.806963277139,2.43
2798.9331952364773,2.445
2843.9804814836316,2.46
2889.9756336492346,2.475
2936.94659143792,2.49
2984.922248794154,2.505
3033.9325312585447,2.52
3084.0084627648157,2.535
3135.1822074371694,2.55
3187.4871125254795,2.565
3240.9577555370724,2.58
3295.630197010366,2.595
3351.541874590252,2.61
3408.7315613003384,2.625
3467.2395062864907,2.64
3527.107492893218,2.655
3588.378898359995,2.67
3651.0987551375133,2.685
3715.3139800279805,2.7
3781.07355120669,2.715
3848.4281783939027,2.73
3917.430568356207,2.745
3988.1355104824247,2.76
4060.5999602794127,2.775
4134.883125182068,2.79
4211.046646688838,2.805
4289.1551168850265,2.82
4369.275516652617,2.835
4451.477508896035,2.85
4535.833604632824,2.865
4622.419280146118,2.88
4711.3130974405785,2.895
4802.596853706137,2.91
4896.3563492538715,2.925
4992.680898954749,2.94
5091.663383289528,2.955
5193.400597419179,2.97
5297.9934153223185,2.985
5405.546958611481,3.0
5516.170770028189,3.015
5629.979549121044,3.03
5747.093349765915,3.045
5867.636934146632,3.06
5991.7404500518505,3.075
6119.539659933775,3.09
6251.176175268149,3.105
6386.797697409825,3.12
6526.558493943408,3.135
6670.620338452037,3.15
6819.1517213358975,3.165
6972.328512624066,3.18
7130.334339888782,3.195
7293.360925135692,3.21
7461.608403204146,3.225
7635.285628951952,3.24
7814.610638581265,3.255
7999.810986515924,3.27
8191.124126452048,3.285
8388.797804817941,3.3
8593.09059110455,3.315
8804.272400924265,3.33
9022.624636864795,3.345
9248.440764721528,3.36
9482.026776421679,3.375
9723.701661138155,3.39
9973.797367400375,3.405
10232.659187095867,3.42
10500.64699918396,3.435
10778.135350767692,3.45
11065.51392898193,3.465
11363.188036613625,3.48
11671.576995979101,3.495
11991.115211391252,3.51
12322.254339005902,3.525
12665.462576127507,3.54
13021.225001944373,3.555
13390.0438429338,3.57
13772.434186648272,3.585
14168.926731288946,3.6
14580.070185959585,3.615
15006.429794023916,3.63
15448.586625424146,3.645
15907.130897630317,3.66
16382.668036348357,3.675
16875.817740363214,3.69
17387.210744377746,3.705
17917.482507009256,3.72
18467.28014464294,3.735
19037.259277474328,3.75
19628.07627432895,3.765
20240.38297707567,3.78
20874.83555297783,3.795
21532.08824423131,3.81
22212.778978579252,3.825
22917.532005765803,3.84
23646.96111731091,3.855
24401.661719972475,3.87
25182.19114000639,3.885
25989.07927132944,3.9
26822.824570091012,3.915
27683.88356086547,3.93
28572.651378935607,3.945
29489.475333203874,3.96
30434.644918809307,3.975
31408.380899352574,3.99
32410.820951223734,4.005
33442.02120830572,4.02
34501.955678502105,4.035
35590.50555372412,4.05
36707.45024485934,4.065
37852.46076000127,4.08
39025.09656244278,4.095
40224.80336669493,4.11
41450.90420017141,4.125
42702.60260861371,4.14
43978.97673876292,4.155
45278.977094491194,4.17
46601.42939547903,4.185
47945.02774851898,4.2
49308.34608090862,4.215
50689.834545837584,4.23
52087.827995063286,4.245
53500.54766199835,4.26
54926.10807514541,4.275
56362.527077257684,4.29
57807.728483873856,4.305
59259.560944815064,4.32
60715.79736817826,4.335
62174.15600196456,4.35
63632.305891219155,4.365
65087.88262694474,4.38
66538.49241807214,4.395
67981.74434627088,4.41
69415.24638341831,4.425
70836.62250946007,4.44
72243.52623059365,4.455
73633.66359472374,4.47
75004.77445416215,4.485
76354.69595564973,4.5
77681.30166010422,4.515
78982.58995151293,4.53
80256.64767897695,4.545
81501.65222016192,4.56
82715.90166169012,4.575
83897.82003056194,4.59
85045.94206210325,4.605
86158.93025323344,4.62
87235.58584347197,4.635
88274.83911480205,4.65
89275.74038290964,4.665
90237.48202728349,4.68
91159.39223123605,4.695
92040.9118048091,4.71
92881.60779357521,4.725
93681.18526211384,4.74
94439.45193384877,4.755
95156.32304507607,4.77
95831.8381567045,4.785
96466.12700279646,4.8
97059.40798439908,4.815
97612.00470265471,4.83
