N_1_task1,_1_task1
100.0,0.0
99.97213234228462,0.015
99.93958388682736,0.03
99.90411368078215,0.045
99.86657156614486,0.06
99.82746346549779,0.075
99.78712565473994,0.09
99.74579742611768,0.105
99.70365698559687,0.12
99.66084167446523,0.135
99.61746019459376,0.15
99.57360031095605,0.165
99.52933409131424,0.18
99.48472152573997,0.195
99.43981311285442,0.21
99.39465186021859,0.225
99.34927460316516,0.24
99.30371313053634,0.255
99.25799505354159,0.27
99.21214447233432,0.285
99.16618250993564,0.3
99.12012772162029,0.315
99.07399649016816,0.33
99.02780335105432,0.345
98.9815610881908,0.36
98.93528108826388,0.375
98.88897340982089,0.39
98.84264699112414,0.405
98.79630973668873,0.42
98.74996864112691,0.435
98.7036298761468,0.45
98.65729886564885,0.465
98.6109803625038,0.48
98.5646784748782,0.495
98.51839678797381,0.51
98.4721384306863,0.525
98.42590595158175,0.54
98.37970150325381,0.555
98.33352688793877,0.57
98.2873834648521,0.585
98.24127227932084,0.6
98.19519408825235,0.615
98.14914930307027,0.63
98.10313808082196,0.645
98.05716033879634,0.66
98.01121571979564,0.675
97.96530365715712,0.69
97.9194233834354,0.705
97.87357390882036,0.72
97.82775406886512,0.735
97.78196252626009,0.75
97.73619774924605,0.765
97.69045807250951,0.78
97.64474169860776,0.795
97.5990467080162,0.81
97.5533709969389,0.825
97.50771232389083,0.84
97.46206836177925,0.855
97.41643668061653,0.87
97.37081474088366,0.885
97.32519985403569,0.9
97.27958926165782,0.915
97.23398012087709,0.93
97.18836950721561,0.945
97.14275438404258,0.96
97.09713163072048,0.975
97.05149806230673,0.99
97.00585042332008,1.005
96.96018538295455,1.02
96.91449951755517,1.035
96.86878935037036,1.05
96.82305134319392,1.065
96.77728189799038,1.08
96.73147733891177,1.095
96.68563393060256,1.11
96.63974788623574,1.125
96.5938153645475,1.14
96.54783246203442,1.155
96.50179520192559,1.17
96.45569956984097,1.185
96.4095415020602,1.2
96.36331688675912,1.215
96.31702156597966,1.23
96.27065132640506,1.245
96.22420185451067,1.26
96.17766881241634,1.275
96.13104781799183,1.29
96.08433444041674,1.305
96.03752420110571,1.32
95.99061257123692,1.335
95.94359493157947,1.35
95.89646662156069,1.365
95.84922293657858,1.38
95.8018591194231,1.395
95.75437036038986,1.41
95.70675179685726,1.425
95.65899848041744,1.44
95.61110540173195,1.455
95.56306750478946,1.47
95.51487967342592,1.485
95.46653673072066,1.5
95.41803343839248,1.515
95.36936447441349,1.53
95.32052443146988,1.545
95.27150784986681,1.56
95.22230919859999,1.575
95.17292287402884,1.59
95.12334319859909,1.605
95.07356440305587,1.62
95.02358062357837,1.635
94.97338591198739,1.65
94.92297424467233,1.665
94.87233950912392,1.68
94.82147550231221,1.695
94.77037592240424,1.71
94.71903433563315,1.725
94.667444221696,1.74
94.61559895777644,1.755
94.56349181123207,1.77
94.51111593606836,1.785
94.45846436923462,1.8
94.40553002616431,1.815
94.35230568108364,1.83
94.29878397753625,1.845
94.24495742639765,1.86
94.19081839595786,1.875
94.13635910656416,1.89
94.0815716250521,1.905
94.02644785896486,1.92
93.97097956411946,1.935
93.91515833954894,1.95
93.85897559971069,1.965
93.8024225800807,1.98
93.74549033112942,1.995
93.6881697120869,2.01
93.63045138454156,2.025
93.57232580419888,2.04
93.51378320940388,2.055
93.45481362271099,2.07
93.39540684068801,2.085
93.33555242604002,2.1
93.27523969998425,2.115
93.21445773444565,2.13
93.15319534222834,2.145
93.09144104414143,2.16
93.0291830888389,2.175
92.9664094423591,2.19
92.90310777299695,2.205
92.8392654415224,2.22
92.774869491168,2.235
92.70990663734646,2.25
92.64436323112784,2.265
92.57822525925701,2.28
92.51147835598968,2.295
92.44410777576576,2.31
92.37609838061435,2.325
92.30743462725799,2.34
92.2381005539162,2.355
92.16807974825986,2.37
92.09735530460402,2.385
92.02590987524334,2.4
