D_1_task1,_1_task1
0.0,0.0
0.0275728349552392,0.015
0.05916763554740915,0.03
0.092960510733522,0.045
0.1280649341691435,0.06
0.16395340415270776,0.075
0.20027750763225383,0.09
0.23679221404628237,0.105
0.273318152620218,0.12
0.3097201860725578,0.135
0.34589435693220366,0.15
0.38175959660406394,0.165
0.4172520449368103,0.18
0.45232109854513175,0.195
0.4869265671659705,0.21
0.5210364637040473,0.225
0.554625532833309,0.24
0.5876739906708842,0.255
0.6201665480836388,0.27
0.6520916564271273,0.285
0.6834409008771206,0.3
0.7142085327063096,0.315
0.7443910176066751,0.33
0.7739866642473711,0.345
0.8029955101891276,0.36
0.8314189172759594,0.375
0.859259488337301,0.39
0.8865208296977394,0.405
0.91320745002856,0.42
0.9393246183224051,0.435
0.9648782634643609,0.45
0.9898748882471894,0.465
1.0143214812237282,0.48
1.0382254878320272,0.495
1.0615946696938394,0.51
1.084437028671324,0.525
1.1067609565163194,0.54
1.1285750194619197,0.555
1.1498879070674775,0.57
1.1707085444281864,0.585
1.191045942423512,0.6
1.2109091705532156,0.615
1.2303074284700402,0.63
1.2492499402176451,0.645
1.267745940189445,0.66
1.2858047187287402,0.675
1.3034355471918777,0.69
1.3206476710520003,0.705
1.3374503392062762,0.72
1.3538527502908428,0.735
1.3698640539014513,0.75
1.3854933795165205,0.765
1.4007497674997045,0.78
1.4156421706870437,0.795
1.4301794457463703,0.81
1.444370430772099,0.825
1.4582238930571858,0.84
1.471748470302068,0.855
1.4849526946169163,0.87
1.4978450029135038,0.885
1.510433784692993,0.9
1.5227272947970163,0.915
1.53473367284965,0.93
1.5464609428168519,0.945
1.557917049168607,0.96
1.5691098285078577,0.975
1.5800469904843115,0.99
1.5907361272230867,1.005
1.6011847205909069,1.02
1.6114001627162409,1.035
1.621389716911629,1.05
1.6311605286562652,1.065
1.6407196261028882,1.08
1.6500739386006782,1.095
1.6592302816355302,1.11
1.6681953512735825,1.125
1.676975728785749,1.14
1.6855778885980406,1.155
1.6940082088646662,1.17
1.7022729440701554,1.185
1.7103782361746471,1.2
1.7183301152120025,1.215
1.726134499291763,1.23
1.7337972030094266,1.245
1.741323972615393,1.26
1.7487204305216124,1.275
1.7559920917263894,1.29
1.7631443686308435,1.305
1.7701825718254565,1.32
1.7771119127431099,1.335
1.7839375270297082,1.35
1.7906644488755787,1.365
1.7972976137872845,1.38
1.803841864596745,1.395
1.8103019526936581,1.41
1.816682539470644,1.425
1.8229882106320168,1.44
1.8292234676169974,1.455
1.835392723224698,1.47
1.8415003082358152,1.485
1.8475504729295629,1.5
1.853547388600606,1.515
1.8594951549301564,1.53
1.8653978017542903,1.545
1.8712592815751172,1.56
1.8770834760025907,1.575
1.8828741974657266,1.59
1.8886351909105465,1.605
1.8943701375088555,1.62
1.9000826565496016,1.635
1.9057763057379538,1.65
1.911454581650386,1.665
1.9171209229173187,1.68
1.9227787119630366,1.695
1.9284312770182903,1.71
1.9340818951264012,1.725
1.9397337920459092,1.74
1.9453901445943163,1.755
1.9510540826571638,1.77
1.9567286910557735,1.785
1.9624170114307706,1.8
1.9681220440272558,1.815
1.9738467465200402,1.83
1.9795940388627125,1.845
1.9853668057147928,1.86
1.9911678973519302,1.875
1.9970001315285157,1.89
2.0028662953494094,1.905
2.008769147150784,1.92
2.014711414449229,1.935
2.020695795507641,1.95
2.026724967456205,1.965
2.032801584657353,1.98
2.0389282803952034,1.995
2.0451076685737606,2.01
2.0513423454110766,2.025
2.0576348901135866,2.04
2.063987863683104,2.055
2.0704038157404185,2.07
2.076885284304199,2.085
2.083434797075087,2.1
2.0900548729691035,2.115
2.0967480236393325,2.13
2.10351675481557,2.145
2.11036356552179,2.16
2.1172909521636436,2.175
2.124301409824203,2.19
2.1313974331337167,2.205
2.1385815176376184,2.22
2.145856161148025,2.235
2.153223865074742,2.25
2.160687133099839,2.265
2.1682484735679557,2.28
2.1759104030830834,2.295
2.183675446137322,2.31
2.191546136241806,2.325
2.199525017034034,2.34
2.2076146433615964,2.355
2.2158175802466538,2.37
2.2241364006449214,2.385
2.232573693851553,2.4
2.2411320632813876,2.415
2.24981412703725,2.43
2.2586225186457902,2.445
2.2675598877581615,2.46
2.276628899525815,2.475
2.285832225431272,2.49
2.2951725568877372,2.505
2.304652603100413,2.52
2.314275089605275,2.535
2.32404275839095,2.55
2.333958367964466,2.565
2.3440246931228073,2.58
2.3542445087518993,2.595
2.3646206015753335,2.61
2.3751557769391116,2.625
2.3858528514271655,2.64
2.396714651943252,2.655
2.407744014699201,2.67
2.4189437841095094,2.685
2.430316796116778,2.7
2.441865866427178,2.715
2.4535938259966565,2.73
2.465503501142289,2.745
2.477597710463953,2.76
2.4898792620168697,2.775
2.5023509503258516,2.79
2.515015542736306,2.805
2.527875728500595,2.82
2.540934188456903,2.835
2.5541935692677638,2.85
2.567656471965134,2.865
2.5813254460641875,2.88
2.5952029834082775,2.895
2.60929150833732,2.91
2.623593286031729,2.925
2.638110497604831,2.94
2.652845243825762,2.955
2.667799509501603,2.97
2.682975152546014,2.985
2.698373892596689,3.0
2.7139972991816443,3.015
2.729846690666365,3.03
2.74592311918234,3.045
2.7622274901610213,3.06
2.7787604714580767,3.075
2.795522474141666,3.09
2.8125136327304285,3.105
2.8297337846910326,3.12
2.847182401260907,3.135
2.8648584218870994,3.15
2.8827604511897413,3.165
2.900886652612217,3.18
2.919234702325555,3.195
2.9378017523392295,3.21
2.9565843939213883,3.225
2.9755786208615964,3.24
2.994779781962207,3.255
3.0141825406404155,3.27
3.0337808308175283,3.285
3.0535678111343203,3.3
3.073535712097769,3.315
3.093675696042426,3.33
3.113978041739194,3.345
3.1344319736658575,3.36
3.1550255922831325,3.375
3.1757458042661115,3.39
3.196578222573092,3.405
3.217507085861071,3.42
3.238515220533298,3.435
3.259583937860634,3.45
3.2806929487968985,3.465
3.3018202765037157,3.48
3.3229423301371988,3.495
3.3440337668516804,3.51
3.365067264352493,3.525
3.3860135184942064,3.54
3.4068411558402394,3.555
3.4275166487227535,3.57
3.4480045019040753,3.585
3.468267014492105,3.6
3.488264062013496,3.615
3.5079531114437916,3.63
3.5272892052371327,3.645
3.5462254158289075,3.66
3.564712296396764,3.675
3.5826978828126745,3.69
3.6001279133009123,3.705
3.616946357744865,3.72
3.6330946717565564,3.735
3.6485120219444047,3.75
3.6631359442575886,3.765
3.6769027669212164,3.78
3.6897466944457324,3.795
3.7016003233460175,3.81
3.712395951542457,3.825
3.722065243595107,3.84
3.730538839605817,3.855
3.7377470400422377,3.87
3.743621622202001,3.885
3.7480947360475803,3.9
3.751099210463135,3.915
3.752569486800439,3.93
3.7524434227341024,3.945
3.750660895850342,3.96
3.7471646896640816,3.975
3.741901473730748,3.99
3.7348231205481888,4.005
3.725886380303635,4.02
3.7150520278628987,4.035
3.7022860887087634,4.05
3.6875612464531358,4.065
3.670857576425524,4.08
3.6521621944120497,4.095
3.631469214897354,4.11
3.608780784669594,4.125
3.584105814654298,4.14
3.5574604856928644,4.155
3.5288689024520266,4.17
3.4983632808863043,4.185
3.465983772103849,4.2
3.4317777626568,4.215
3.3957999478211076,4.23
3.358111099442285,4.245
3.318778691714089,4.26
3.2778764448973634,4.275
3.235483559790165,4.29
3.1916845692947664,4.305
3.146568040746734,4.32
3.1002267973876765,4.335
3.0527568071644606,4.35
3.004256937565891,4.365
2.954828110186462,4.38
2.904573312898444,4.395
2.853595601883244,4.41
2.801998907204161,4.425
2.7498868940325756,4.44
2.697362528536837,4.455
2.6445269713042032,4.47
2.5914802647427084,4.485
2.5383191529542763,4.5
2.4851389809305005,4.515
2.4320304523791973,4.53
2.3790818558907127,4.545
2.326378304511031,4.56
2.2740003394350135,4.575
2.222023605877559,4.59
2.170519753562744,4.605
2.119555902408151,4.62
2.069194349866425,4.635
2.0194926321103353,4.65
1.9705038603336733,4.665
1.9222759329909131,4.68
1.8748519512761925,4.695
1.8282708030652968,4.71
1.7825666640206235,4.725
1.7377686660375296,4.74
1.693902257440562,4.755
1.650988995275994,4.77
1.6090458108704253,4.785
1.5680862356221346,4.8
1.5281204678377225,4.815
1.4891547679352282,4.83
1.4511925783073054,4.845
1.4142347110684665,4.86
1.3782787344957672,4.875
1.3433199247878962,4.89
1.3093515498055932,4.905
1.276364390275198,4.92
1.2443474861045103,4.935
1.2132884294272395,4.95
1.1831729979339094,4.965
1.1539856622171971,4.98
1.125710272900578,4.995
1.0983288976747723,5.01
1.07182330278503,5.025
1.046174171948769,5.04
1.0213618997486091,5.055
0.9973664511209156,5.07
0.9741672382116674,5.085
0.9517437290807311,5.1
0.93007500697246,5.115
0.909140039008179,5.13
0.8889184956923382,5.145
0.8693891689971139,5.16
0.8505311782104331,5.175
0.8323240676326726,5.19
0.8147476059259272,5.205
0.7977818474131838,5.22
0.7814071480810547,5.235
0.765604230580269,5.25
0.7503541962875037,5.265
0.7356385397885504,5.28
0.7214391771563491,5.295
0.7077384596256897,5.31
0.6945191838008145,5.325
0.6817646050509392,5.34
0.6694584204264232,5.355
0.6575848126273527,5.37
0.6461284226101006,5.385
0.6350743512035008,5.4
0.6244081443649706,5.415
0.614115830152308,5.43
0.604183886902806,5.445
0.5945992290362431,5.46
0.5853492104824591,5.475
0.5764215934166896,5.49
0.5678045949983566,5.505
0.5594868411635581,5.52
0.5514573514985507,5.535
0.5437055393228191,5.55
0.536221175896088,5.565
0.5289944387234234,5.58
0.5220158656542175,5.595
0.5152763356340111,5.61
0.5087670573291457,5.625
0.502479558652032,5.64
0.4964057226597529,5.655
0.49053773131511363,5.67
0.48486804064669,5.685
0.4793894044902527,5.7
0.4740948636286222,5.715
0.46897772273009997,5.73
0.4640315278499235,5.745
0.45925010203133637,5.76
0.454627500913598,5.775
0.45015798986098693,5.79
0.44583606014950344,5.805
0.44165644772368007,5.82
0.43761406650627893,5.835
0.4337040287878278,5.85
0.42992165673935984,5.865
0.4262624376684054,5.88
0.4227220175041914,5.895
0.41929625790989217,5.91
0.41598114870493735,5.925
0.41277284012691384,5.94
