AHP6m,AHP6p,ARR5m,ARR5p,Auxin,CKX3m,CKX3p,Cytokinin,IAA2m,IAA2p,PHBm,PHBp,PIN1m,PIN3m,PIN7m,miRNA,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.801797340511596e-08,9.50448834578319e-11,9.647899302422437e-05,2.4122661501805137e-06,0.0005970099750499155,0.0,0.0,0.01903251639280655,1.8588869348312626e-07,4.584947700492253e-09,0.019900332501663853,9.933582668058051e-05,0.0,0.0,1.103903907058218e-17,0.0,0.01
3.0111896075590673e-07,1.5055915582202962e-09,0.0006977749364918482,3.490151263244023e-05,0.001188079601594681,0.0,0.0,0.036253849384371414,1.4402109076991159e-06,7.009522809532481e-08,0.03960265338648936,0.0003947064542192334,0.0,0.0,6.827285087298895e-14,0.0,0.02
1.006172678352661e-06,7.5462576781863e-09,0.0021287692989610655,0.0001597513891204125,0.0017732679870895085,0.0,0.0,0.05183635586360153,4.708824774088398e-06,3.391781072127873e-07,0.05910893290298359,0.0008822008900732055,0.0,0.0,1.0034632423258823e-11,0.0,0.03
2.3612986804366015e-06,2.3612774405863402e-08,0.004562052711349062,0.00045650974938461606,0.002352633650860606,0.0,0.0,0.06593599079280267,1.0816059352162771e-05,1.0249356650013726e-06,0.07842112169535352,0.0015579665631677742,0.0,0.0,3.192178625071986e-10,0.0,0.04
4.566093190606115e-06,5.707534743479993e-08,0.008059091340946217,0.001007908888669034,0.002926234529957161,0.0,0.0,0.07869386805740142,2.047694860933553e-05,2.393256694304188e-06,0.09754115099857197,0.0024182085485006323,0.0,0.0,4.391998294814386e-09,0.0,0.05
7.811851450342583e-06,1.1717531394875593e-07,0.012603436222153633,0.001890655281983242,0.00349412798494508,0.0,0.0,0.09023767278111955,3.4308291972953136e-05,4.747936467259429e-06,0.1164709328315026,0.0034591888013927904,0.0,0.0,3.5583858762980045e-08,0.0,0.06
1.2281785285222565e-05,2.1492501674193506e-07,0.018126651795843867,0.0031698965630050343,0.004056370805643109,0.0,0.0,0.10068293924164122,5.283865303637688e-05,8.418212886023442e-06,0.13521236018810356,0.004677225401270841,0.0,0.0,2.0016796447491364e-07,0.0,0.07
1.8151235437420505e-05,3.63010813780314e-07,0.02452800051071138,0.004896371575791305,0.00461301921680186,0.0,0.0,0.11013420717656015,7.651739739538103e-05,1.3748392986131795e-05,0.1537673072267286,0.006068691804866708,0.0,0.0,8.625929924755069e-07,0.0,0.08
2.55878780517943e-05,5.756991370615005e-07,0.03168900294148603,0.007105448227364716,0.005164128883726314,0.0,0.0,0.11868606805182168,0.00010572286099148528,2.1089283926086503e-05,0.1721376294575437,0.007630016108722562,0.0,0.0,3.0341831382711705e-06,0.0,0.09
