Time,Auxin,Cytokinin,AHP6m,AHP6p,IAA2m,IAA2p,ARR5m,ARR5p,PHBm,PHBp,CKX3m,CKX3p,PIN3m,PIN1m,PIN7m,miRNA,F_AHP6,F_CK,F_IAA2,F_ARR5,F_PIN1,F_PIN7,F_PIN3,p_ax,p_ck,d_ax,d_ck,phloem_rate_ax,all_section_rate_ax,phloem_rate_ck,all_section_rate_ck,lambda_AHP6,lambda_IAA2,lambda_ARR5,lambda_PIN1,lambda_PIN3,lambda_PIN7,mu_m_PHB,mu_m_AHP6,mu_m_IAA2,mu_m_ARR5,mu_m_PIN1,mu_m_PIN3,mu_m_PIN7,delta_PHB,delta_AHP6,delta_IAA2,delta_ARR5,delta_PIN1,delta_PIN3,delta_PIN7,delta_CKX3,mu_p_PHB,mu_p_AHP6,mu_p_IAA2,mu_p_ARR5,mu_p_PIN1,mu_p_PIN3,mu_p_PIN7,mu_p_CKX3,theta_Ax,theta_Ck,theta_AHP6,theta_ARR5,theta_PHB,theta_CKX3,p_phb,d_phb,p_mirna,d_mirna,d_mirna_mrna,p_ckx3,d_ckx3,b_pin3,b_pin1,b_pin7,b_ahp6,b_arr5,b_iaa2,hill_ax,hill_ck,hill_arr5,hill_ckx3,hill_ahp6,hill_phb,compartment
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.01,0.0005970099750499155,0.01903251639280655,3.801797340511596e-08,9.50448834578319e-11,1.8588869348312626e-07,4.584947700492253e-09,9.647899302422437e-05,2.4122661501805137e-06,0.019900332501663853,9.933582668058051e-05,0.0,0.0,0.0,0.0,1.103903907058218e-17,0.0,5.702702043862211e-06,1.0,5.702702043949551e-06,0.0014468503119545598,1.4037044221434709e-14,1.4037044221434709e-14,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.02,0.001188079601594681,0.036253849384371414,3.0111896075590673e-07,1.5055915582202962e-09,1.4402109076991159e-06,7.009522809532481e-08,0.0006977749364918482,3.490151263244023e-05,0.03960265338648936,0.0003947064542192334,0.0,0.0,0.0,0.0,6.827285087298895e-14,0.0,2.258402016442056e-05,1.0,2.2584020186119285e-05,0.005229871032596379,4.251407644207114e-11,4.251407644207114e-11,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.03,0.0017732679870895085,0.05183635586360153,1.006172678352661e-06,7.5462576781863e-09,4.708824774088398e-06,3.391781072127873e-07,0.0021287692989610655,0.0001597513891204125,0.05910893290298359,0.0008822008900732055,0.0,0.0,0.0,0.0,1.0034632423258823e-11,0.0,5.030913798813099e-05,1.0,5.030913852782491e-05,0.010633739394545124,4.076936319997622e-09,4.076936319997622e-09,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.04,0.002352633650860606,0.06593599079280267,2.3612986804366015e-06,2.3612774405863402e-08,1.0816059352162771e-05,1.0249356650013726e-06,0.004562052711349062,0.00045650974938461606,0.07842112169535352,0.0015579665631677742,0.0,0.0,0.0,0.0,3.192178625071986e-10,0.0,8.85503144373361e-05,1.0,8.855031966907513e-05,0.017092969043278044,9.513714829268352e-08,9.513714829268352e-08,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.05,0.002926234529957161,0.07869386805740142,4.566093190606115e-06,5.707534743479993e-08,2.047694860933553e-05,2.393256694304188e-06,0.008059091340946217,0.001007908888669034,0.09754115099857197,0.0024182085485006323,0.0,0.0,0.0,0.0,4.391998294814386e-09,0.0,0.00013698677816878125,1.0,0.00013698680843237074,0.024172133978363562,1.0239137638716686e-06,1.0239137638716686e-06,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.06,0.00349412798494508,0.09023767278111955,7.811851450342583e-06,1.1717531394875593e-07,3.4308291972953136e-05,4.747936467259429e-06,0.012603436222153633,0.001890655281983242,0.1164709328315026,0.0034591888013927904,0.0,0.0,0.0,0.0,3.5583858762980045e-08,0.0,0.00019530460832186934,1.0,0.00019530473461231267,0.03154392221378793,6.758247959040926e-06,6.758247959040926e-06,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.07,0.004056370805643109,0.10068293924164122,1.2281785285222565e-05,2.1492501674193506e-07,5.283865303637688e-05,8.418212886023442e-06,0.018126651795843867,0.0031698965630050343,0.13521236018810356,0.004677225401270841,0.0,0.0,0.0,0.0,2.0016796447491364e-07,0.0,0.00026319659422113176,1.0,0.00026319701490016764,0.038968128871118134,3.185088030680287e-05,3.185088030680287e-05,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.08,0.00461301921680186,0.11013420717656015,1.8151235437420505e-05,3.63010813780314e-07,7.651739739538103e-05,1.3748392986131795e-05,0.02452800051071138,0.004896371575791305,0.1537673072267286,0.006068691804866708,0.0,0.0,0.0,0.0,8.625929924755069e-07,0.0,0.0003403620659003206,1.0,0.00034036325412503703,0.046273088581585,0.00011737405980164491,0.00011737405980164491,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.09,0.005164128883726314,0.11868606805182168,2.55878780517943e-05,5.756991370615005e-07,0.00010572286099148528,2.1089283926086503e-05,0.03168900294148603,0.007105448227364716,0.1721376294575437,0.007630016108722562,0.0,0.0,0.0,0.0,3.0341831382711705e-06,0.0,0.00042650668700052586,1.0,0.00042650964594601797,0.05334005715454806,0.0003586069227797768,0.0003586069227797768,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
