C1,C2,C3,IC2,IC3,IF,IM1,IM2,O,Time
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.637079657211595e-06,0.0030869531347252305,0.9968424158897685,2.0990700866012523e-07,6.778340789611296e-05,1.7994535554451405e-10,2.831219219743906e-15,3.751473784761442e-23,4.005209952500026e-10,0.01
9.762911723671168e-06,0.00587014740958999,0.9939841128078979,7.982959205377479e-07,0.0001351743551173882,1.3367576979019343e-09,4.266593051994301e-14,1.1369903683343718e-21,2.88388687051251e-09,0.02
2.03486852214234e-05,0.008379994920359405,0.9913957061333968,1.7093776427512258e-06,0.0002022279288334033,4.191947886755327e-09,2.0367881406063846e-13,8.217472228069967e-21,8.768772183428686e-09,0.03
3.354059997084499e-05,0.010643795837897011,0.989050748804908,2.89479986435881e-06,0.0002689920146135406,9.238366721308683e-09,6.074393692178923e-13,3.297590947332507e-20,1.8744138901750422e-08,0.04
4.8633207120826105e-05,0.01268606448200632,0.9869254316183658,4.312696926124229e-06,0.0003355081937028649,1.6787124788452562e-08,1.4002081144852895e-12,9.590236027574083e-20,3.304801526822898e-08,0.05
6.504645122020413e-05,0.01452882408908695,0.984998311429371,5.926853615352667e-06,0.0004018125411893303,2.7006824198552737e-08,2.742831348945478e-12,2.2756153182274345e-19,5.1605369974315437e-08,0.06
8.230631868291256e-05,0.016191864908834022,0.9832500723042882,7.70598447286099e-06,0.0004679363129747003,3.995554326878212e-08,4.80296037366062e-12,4.692827886869897e-19,7.413148025584372e-08,0.07
0.00010002840691363398,0.01769297331736387,0.9816633127041599,9.623106209431775e-06,0.0005339065449766122,5.560687947152372e-08,7.749173582264922e-12,8.733693841911028e-19,1.002081139038616e-07,0.08
0.00011790354722437183,0.019048140557646986,0.9802223509908321,1.1654977159030478e-05,0.0005997465895388016,7.387188723806213e-08,1.174636093530406e-11,1.5030181339251713e-18,1.2934290597431155e-07,0.09
0.00013568562256672238,0.02027174938282843,0.9789130510192479,1.3781610135765603e-05,0.0006654765867443136,9.461676051730984e-08,1.695237099919341e-11,2.4319752131999727e-18,1.610122184981923e-07,0.1
