Time,GLC,G6P_F6P,F6P,FBP,G3P,Vgk,hGK,KeqGPI,Vpfk,Vfba,Sgk,Spfk,Sfba,Xpfk,alpha,hx,hpfk,hact,sigcorr,dw_per_ml,min_to_sec,Vgk_min,Vpfk_min,Vfba_min,comp,vgk,vpfk,vfba
0.0,10.0,3.71728,0.8578338461538461,0.00063612,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015557290793029699,0.015674110026046288
0.01,10.0,3.717454269997938,0.8578740623072163,0.0006350388005560042,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015550651217367812,0.01565047137182327
0.02,10.0,3.7176286001457015,0.8579142923413157,0.0006341161386763187,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015545231876887253,0.01563029170700824
0.03,10.0,3.7178029790718727,0.8579545336319706,0.0006333311190065645,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.01554087057465388,0.015613117229215394
0.04,10.0,3.7179773969149057,0.8579947839034398,0.0006326655693780301,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015537426615945017,0.015598552739405002
0.05,10.0,3.7181518451260627,0.8580350411829375,0.0006321036984285452,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015534778009476394,0.015586254412140406
0.06,10.0,3.7183263162934357,0.8580753037600236,0.0006316317867059619,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015532818971013508,0.015575923231674588
0.07,10.0,3.7185008039926677,0.858115570152154,0.0006312379218977197,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015531457799348588,0.015567299343303802
0.08,10.0,3.7186753026672905,0.858155839077067,0.0006309117836638431,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015530615157708646,0.015560157452743157
0.09,10.0,3.718849807468504,0.8581961094158087,0.0006306443605011935,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015530221854112907,0.015554300708277647
0.1,10.0,3.7190243141983665,0.858236380199623,0.0006304278422663614,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.01553021798060723,0.01554955840789179
0.11,10.0,3.719198819253297,0.8582766505969146,0.0006302555131479567,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015530552066169054,0.015545783700939892
0.12,10.0,3.719373319438572,0.8583169198704396,0.000630121425916437,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015531178563737258,0.015542846486637037
0.13,10.0,3.719547812063649,0.8583571873993036,0.0006300205599615565,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015532059045146361,0.015540636900490927
0.14,10.0,3.719722294754394,0.8583974526356294,0.000629948488104696,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015533159641255909,0.015539058034079971
0.15,10.0,3.7198967654570803,0.8584377151054801,0.0006299013796632678,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015534451058227716,0.015538026015292026
0.16,10.0,3.720071222410397,0.8584779744023993,0.0006298759466144376,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015535908160646384,0.015537468838666524
0.17,10.0,3.720245664047525,0.8585182301648134,0.0006298692667596821,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015537508614917263,0.015537322498360023
0.18,10.0,3.7204200890508106,0.8585584820886485,0.0006298788805277042,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015539233627933788,0.015537533113871483
0.19,10.0,3.7205944962487996,0.858598729903569,0.0006299026027350746,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015541066505109804,0.01553805280971215
0.2,10.0,3.7207688846358806,0.8586389733775108,0.0006299385577050984,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015542992918376162,0.01553884048726735
0.21,10.0,3.7209432533479108,0.8586792123110562,0.000629985133792617,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015545000557813365,0.015539860830238632
0.22,10.0,3.72111760161937,0.8587194465275468,0.0006300409042252306,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.01554707852556176,0.015541082571640686
0.23,10.0,3.7212919288036024,0.8587596758777543,0.0006301046639481724,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015549217618044427,0.01554247930169704
0.24,10.0,3.721466234324465,0.8587999002287227,0.0006301753400302637,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015551409640175406,0.01554402750558608
0.25,10.0,3.7216405176899148,0.8588401194669034,0.0006302520166658885,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.01555364759709482,0.015545707111403224
0.26,10.0,3.7218147784735742,0.8588803334939017,0.0006303339007885959,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015555925431178964,0.01554750073699103
0.27,10.0,3.7219890162979548,0.8589205422226048,0.0006304202907898732,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015558237782734635,0.015549393004755885
0.28,10.0,3.7221632308491976,0.858960745580584,0.0006305106039335452,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.015560580200399379,0.015551371142094834
0.29,10.0,3.7223374218415617,0.8590009435018988,0.000630604310060813,0.0,0.055549999999999995,1.7,0.3,0.5555,0.138875,8.0,4.0,0.005,0.01,5.0,2.5,2.5,1.0,1.5,0.3333,60.0,10.0,100.0,25.0,1.0,0.03298086174809976,0.0155629486335065,0.015553423529196558
