Time,MP,CN,C,T2,T1,T0,MT,P0,P1,P2,vsP,vmP,KmP,KIP,Pt,ksP,vdP,KdP,vsT,vmT,KmT,KIT,ksT,vdT,KdT,kdC,kdN,k1,k2,k3,k4,kd,V1P,V1T,V2P,V2T,V3P,V3T,V4P,V4T,K1P,K1T,K2P,K2T,K3P,K3T,K4P,K4T,n,Compartment
0.0,0.0614368,1.34728,0.207614,0.0145428,0.0213384,0.0217261,0.0860342,0.0169928,0.0141356,0.0614368,1.1,1.0,0.2,1.0,1.6474592,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.01,0.06164231158104775,1.3461119624545583,0.20739199852945714,0.014516186318558092,0.021318800112140664,0.02174465502143494,0.08624975329708219,0.0169429605882375,0.01445782255242641,0.05789047834511086,1.1,1.0,0.2,1.0,1.6427952224697902,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.02,0.06184861727574491,1.3449446017490005,0.20717017739191163,0.014491580412240104,0.021300655456801616,0.021764318852353002,0.08646779022574796,0.016898344503075226,0.014748433985454449,0.054598049862899366,1.1,1.0,0.2,1.0,1.6383596074923412,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.03,0.06205571791489358,1.343777918093774,0.20694858133641858,0.01446873972314307,0.021283954446881064,0.021785077617284033,0.08668828730333894,0.016858610353935138,0.01501010093335561,0.051546238989809194,1.1,1.0,0.2,1.0,1.6341414497072924,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.04,0.062263614385358095,1.3426119120332507,0.2067272516608038,0.014447454534640178,0.021268684371243258,0.021806917702948233,0.08691122160053667,0.01682344229748696,0.015245310416121987,0.04872180862821319,1.1,1.0,0.2,1.0,1.6301297250358768,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.05,0.06247230763529443,1.3414465844299974,0.20650622631823018,0.014427544158520317,0.021254831600240193,0.021829825762952337,0.0871365707618046,0.01679254860097572,0.015456374870210742,0.046111652390364896,1.1,1.0,0.2,1.0,1.626313386609779,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.06,0.06268179866915782,1.3402819364308773,0.20628554015433243,0.014408852498507084,0.02124238178316914,0.02185378870131019,0.087364312977202,0.016765659298934168,0.01564544460190728,0.043702872031343064,1.1,1.0,0.2,1.0,1.6226814525173943,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.07,0.0628920885463786,1.3391179694518802,0.2060652249460004,0.014391245610030546,0.02123131997830304,0.021878793673614415,0.08759442699033723,0.016742525327539295,0.015814510051933368,0.04148286013761941,1.1,1.0,0.2,1.0,1.6192230899149727,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.08,0.06310317837665098,1.3379546851464863,0.20584530964052977,0.014374608201312686,0.021221630801199293,0.02190482807257659,0.08782689207038441,0.016722916387825113,0.015965414530721655,0.039439355949544924,1.1,1.0,0.2,1.0,1.6159276816551078,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.09,0.06331506931755106,1.3367920853854498,0.20562582047571157,0.014358841316142592,0.02121329853350206,0.021931879524151786,0.08806168800611638,0.01670661970613679,0.016099860739275506,0.03756050510421658,1.1,1.0,0.2,1.0,1.61278489141079,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.1,0.0635277625716743,1.3356301722343622,0.20540678113822528,0.014343860061156696,0.021206307222608713,0.021959935881260276,0.08829879509347338,0.01669343862664714,0.01621941925108495,0.035834905600832856,1.1,1.0,0.2,1.0,1.6097847168511523,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.11,0.06374125938426478,1.3344689479344785,0.2051882129040885,0.014329591805534399,0.021200640759378858,0.02198898521898246,0.088538194125374,0.01668319143093823,0.01632553598376258,0.03425164190504918,1.1,1.0,0.2,1.0,1.606917530158317,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.12,0.06395556104082827,1.3333084148830892,0.20497013478738726,0.014315974446312432,0.021196282951713087,0.022019015829907358,0.08877986638126671,0.0166757101431679,0.016419540085246778,0.03280031368031415,1.1,1.0,0.2,1.0,1.6041741135792051,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
0.13,0.0641706688649273,1.3321485756158715,0.20475256368786438,0.01430295499139048,0.02119321758112653,0.02205001621931278,0.08902379361557311,0.016670839448942733,0.016502651590382757,0.03147104948681108,1.1,1.0,0.2,1.0,1.6015456798298726,0.9,2.2,0.2,1.0,0.7,0.2,1.0,0.9,3.0,0.2,0.01,0.01,0.8,0.2,1.2,0.6,0.01,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
