T,H,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,LONGCUR,M,N,POT,PRC,SOD,TAUP,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,V,X1,Y1
0.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.5,1e-06,1e-06,2.3999999e-21,241.3,-9.6000004e-15,0.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-70.0,0.0,0.0
1.0,0.99920702,0.10112568,0.10092733,0.10078657,0.10069104,0.10062854,0.10058899,0.10056476,0.10055036,0.10054208,0.10053748,0.10053501,0.10053372,0.10053308,0.10053276,0.10053261,0.10053255,0.10053252,0.10053251,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.1005325,0.28359973,0.011762077,0.014166818,0.00010322555,240.3,-0.015344587,0.0,-66.831841,-65.666756,-64.555527,-63.562489,-62.726517,-62.061203,-61.559315,-61.199722,-60.954605,-60.795403,-60.696751,-60.638344,-60.60527,-60.587337,-60.578014,-60.57336,-60.571129,-60.570099,-60.569645,-60.569447,-60.569366,-60.569336,-60.569324,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-60.569317,-67.96624,4.2130184e-12,5.5404276e-13
2.0,0.99834704,0.10228053,0.10199871,0.10177343,0.1015977,0.1014633,0.1013623,0.10128771,0.10123351,0.1011948,0.1011676,0.10114883,0.10113609,0.10112759,0.10112203,0.10111846,0.10111621,0.10111482,0.10111397,0.10111347,0.10111317,0.10111301,0.10111291,0.10111286,0.10111283,0.10111281,0.10111281,0.10111281,0.10111281,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.1011128,0.12297691,0.015400815,0.025019608,0.0010441089,239.3,-0.034044579,0.0,-66.201225,-65.644936,-65.057388,-64.468422,-63.903027,-63.380405,-62.913582,-62.509651,-62.170486,-61.893764,-61.674171,-61.504543,-61.376907,-61.283306,-61.216377,-61.169693,-61.137913,-61.116795,-61.103088,-61.094398,-61.089016,-61.085758,-61.083828,-61.08271,-61.082077,-61.081726,-61.081535,-61.081432,-61.081379,-61.081352,-61.081341,-61.081333,-61.081329,-61.081329,-61.081329,-61.081329,-61.081329,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-61.081326,-66.69313,1.2611258e-11,2.724385e-12
3.0,0.99743235,0.10336275,0.10304051,0.10277029,0.10254768,0.10236663,0.10222109,0.10210542,0.10201449,0.10194381,0.10188949,0.10184822,0.10181723,0.10179422,0.10177735,0.10176513,0.10175639,0.10175022,0.10174591,0.10174295,0.10174093,0.10173959,0.10173869,0.10173811,0.10173773,0.1017375,0.10173735,0.10173725,0.1017372,0.10173716,0.10173714,0.10173713,0.10173713,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.10173712,0.050081678,0.018806199,0.033845354,0.0035977685,238.3,-0.061420415,0.0,-65.527077,-65.261414,-64.949326,-64.608559,-64.255165,-63.903015,-63.563499,-63.245392,-62.954891,-62.695778,-62.469688,-62.276493,-62.114674,-61.981728,-61.874535,-61.789665,-61.723667,-61.673241,-61.635368,-61.607407,-61.587109,-61.572617,-61.562435,-61.555401,-61.550617,-61.547417,-61.545307,-61.543941,-61.543068,-61.542519,-61.542179,-61.541973,-61.541847,-61.541775,-61.541729,-61.541706,-61.541691,-61.541683,-61.541679,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-61.541676,-65.727402,2.7142589e-11,7.5362052e-12
4.0,0.9964754,0.10437625,0.1040369,0.10374442,0.10349589,0.10328677,0.10311229,0.1029679,0.10284936,0.10275286,0.10267495,0.10261259,0.10256311,0.10252419,0.10249385,0.10247042,0.10245249,0.1024389,0.1024287,0.10242111,0.10241553,0.10241146,0.10240852,0.10240642,0.10240494,0.10240389,0.10240317,0.10240268,0.10240234,0.10240212,0.10240197,0.10240187,0.10240181,0.10240177,0.10240174,0.10240173,0.10240172,0.10240171,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.1024017,0.0071605616,0.021972874,0.041330919,0.0081797093,237.3,-0.097222969,0.0,-64.932686,-64.841255,-64.70002,-64.521324,-64.316597,-64.096169,-63.869087,-63.643024,-63.424221,-63.217491,-63.026314,-62.852932,-62.698498,-62.563259,-62.44672,-62.347839,-62.265186,-62.19709,-62.141777,-62.097462,-62.062439,-62.03513,-62.014111,-61.998142,-61.986168,-61.977299,-61.970818,-61.966133,-61.962795,-61.960442,-61.958801,-61.957676,-61.956909,-61.956398,-61.956055,-61.955833,-61.955688,-61.955593,-61.955536,-61.955498,-61.955475,-61.95546,-61.955452,-61.955448,-61.955444,-61.955444,-61.955441,-61.955441,-61.955441,-61.955441,-64.961327,4.9244969e-11,1.6209705e-11
5.0,0.99549019,0.10532979,0.10498824,0.1046882,0.10442796,0.10420398,0.10401249,0.10384981,0.10371247,0.10359727,0.10350128,0.10342183,0.10335653,0.10330324,0.10326006,0.10322532,0.10319759,0.10317562,0.10315833,0.10314485,0.10313441,0.10312639,0.10312028,0.10311566,0.1031122,0.10310962,0.10310772,0.10310633,0.10310532,0.1031046,0.10310408,0.10310371,0.10310346,0.10310328,0.10310315,0.10310307,0.10310301,0.10310297,0.10310295,0.10310294,0.10310292,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,0.10310291,-0.02154511,0.024906097,0.047843035,0.014948935,236.3,-0.14067672,0.0,-64.420921,-64.446701,-64.422142,-64.356796,-64.259567,-64.138634,-64.001366,-63.854263,-63.70293,-63.552055,-63.405434,-63.266006,-63.135929,-63.01664,-62.908951,-62.813152,-62.729107,-62.656338,-62.594128,-62.541588,-62.497742,-62.461575,-62.432072,-62.408279,-62.389294,-62.374313,-62.362614,-62.353573,-62.346657,-62.341423,-62.337505,-62.334595,-62.332462,-62.33091,-62.329792,-62.328995,-62.328434,-62.328041,-62.327766,-62.327583,-62.327454,-62.32737,-62.327312,-62.327274,-62.327251,-62.327236,-62.327225,-62.327221,-62.327217,-62.327213,-64.33474,7.9735503e-11,2.993171e-11
6.0,0.99448901,0.10623154,0.10589814,0.10560094,0.1053391,0.10510998,0.10491057,0.10473793,0.10458921,0.10446177,0.10435317,0.10426114,0.10418359,0.10411864,0.10406456,0.10401981,0.10398301,0.10395293,0.1039285,0.10390879,0.103893,0.10388042,0.10387047,0.10386265,0.10385655,0.10385182,0.10384817,0.10384539,0.10384328,0.10384168,0.10384049,0.1038396,0.10383894,0.10383847,0.10383812,0.10383786,0.10383768,0.10383755,0.10383746,0.10383739,0.10383735,0.10383732,0.1038373,0.10383728,0.10383727,0.10383727,0.10383726,0.10383726,0.10383726,0.10383726,0.10383726,-0.042451981,0.02763054,0.053604722,0.02390624,235.3,-0.19099937,0.0,-63.9781,-64.089081,-64.149765,-64.168159,-64.151718,-64.107307,-64.041206,-63.959026,-63.865753,-63.765717,-63.662601,-63.559483,-63.458824,-63.36256,-63.27211,-63.188457,-63.11219,-63.043575,-62.982605,-62.929062,-62.882561,-62.842613,-62.808651,-62.780064,-62.756237,-62.736572,-62.720493,-62.707466,-62.69701,-62.688694,-62.682137,-62.677013,-62.673042,-62.669994,-62.667671,-62.66592,-62.664608,-62.663631,-62.662914,-62.662392,-62.662014,-62.661739,-62.661549,-62.661411,-62.661316,-62.661251,-62.661205,-62.661179,-62.66116,-62.661152,-63.808289,1.1900315e-10,4.9713803e-11
7.0,0.99348086,0.10708822,0.10677061,0.10648395,0.10622815,0.10600129,0.10580103,0.10562503,0.10547103,0.10533688,0.10522057,0.10512021,0.10503405,0.10496044,0.1048979,0.10484503,0.10480057,0.1047634,0.10473249,0.10470693,0.1046859,0.10466871,0.10465473,0.10464343,0.10463434,0.10462708,0.10462131,0.10461676,0.10461318,0.1046104,0.10460823,0.10460656,0.10460528,0.10460431,0.10460357,0.10460301,0.1046026,0.10460229,0.10460206,0.1046019,0.10460177,0.10460169,0.10460162,0.10460158,0.10460155,0.10460152,0.1046015,0.10460149,0.10460149,0.10460148,0.10460148,-0.058735546,0.03018309,0.058773939,0.034982543,234.3,-0.24773015,0.0,-63.589314,-63.766144,-63.892578,-63.975765,-64.022324,-64.038345,-64.029366,-64.000427,-63.956036,-63.900177,-63.836342,-63.767532,-63.696293,-63.624722,-63.554516,-63.487,-63.423164,-63.363708,-63.309071,-63.259476,-63.21497,-63.175465,-63.140751,-63.110546,-63.084507,-63.06226,-63.043427,-63.027615,-63.014454,-63.003586,-62.994686,-62.987453,-62.981625,-62.976963,-62.973263,-62.970345,-62.968067,-62.966297,-62.964935,-62.963894,-62.963104,-62.962509,-62.962067,-62.961739,-62.961498,-62.961323,-62.961201,-62.961121,-62.961067,-62.961044,-63.35437,1.6730907e-10,7.6364463e-11
8.0,0.99247062,0.10790507,0.1076092,0.10733908,0.10709526,0.10687648,0.106681,0.106507,0.10635275,0.10621653,0.10609675,0.10599189,0.10590047,0.10582114,0.10575263,0.10569374,0.10564335,0.10560045,0.1055641,0.10553346,0.10550775,0.10548629,0.10546847,0.10545374,0.10544163,0.10543173,0.10542367,0.10541714,0.10541189,0.10540768,0.10540432,0.10540166,0.10539956,0.10539792,0.10539663,0.10539564,0.10539486,0.10539427,0.10539383,0.10539348,0.10539322,0.10539303,0.10539288,0.10539278,0.10539269,0.10539263,0.1053926,0.10539257,0.10539255,0.10539254,0.10539253,-0.072176419,0.03260747,0.063477442,0.048119921,233.3,-0.31092477,0.0,-63.241352,-63.471863,-63.651501,-63.78698,-63.884453,-63.949543,-63.987373,-64.002586,-63.999363,-63.981434,-63.95211,-63.914295,-63.870502,-63.82288,-63.773239,-63.723068,-63.67358,-63.625717,-63.580193,-63.537521,-63.498035,-63.461933,-63.429276,-63.400032,-63.374092,-63.351292,-63.331429,-63.314259,-63.299541,-63.287025,-63.276459,-63.267609,-63.26025,-63.254169,-63.249187,-63.245132,-63.241852,-63.239216,-63.237118,-63.235455,-63.234146,-63.233124,-63.232334,-63.231728,-63.23127,-63.230927,-63.230679,-63.230503,-63.230396,-63.230343,-62.952648,2.2510094e-10,1.1055763e-10
9.0,0.99145913,0.10868604,0.10841674,0.10816803,0.10794105,0.10773509,0.10754897,0.1073814,0.10723108,0.10709673,0.10697713,0.10687108,0.10677744,0.1066951,0.10662301,0.10656017,0.10650562,0.1064585,0.10641795,0.10638323,0.10635363,0.10632851,0.10630728,0.10628943,0.10627449,0.10626203,0.1062517,0.10624317,0.10623616,0.10623042,0.10622575,0.10622197,0.10621892,0.10621647,0.10621451,0.10621295,0.10621172,0.10621075,0.10620999,0.1062094,0.10620894,0.10620858,0.10620831,0.1062081,0.10620794,0.10620783,0.10620774,0.10620768,0.10620763,0.1062076,0.10620759,-0.083881803,0.034952186,0.06782601,0.063342251,232.3,-0.38130939,0.0,-62.92289,-63.19939,-63.424076,-63.603489,-63.743572,-63.849724,-63.926823,-63.979294,-64.011108,-64.025841,-64.026665,-64.016388,-63.997494,-63.972126,-63.942135,-63.909103,-63.874352,-63.83897,-63.803841,-63.769657,-63.736954,-63.706112,-63.677399,-63.65097,-63.6269,-63.605186,-63.585773,-63.568573,-63.553448,-63.540257,-63.528835,-63.51902,-63.510643,-63.50354,-63.497562,-63.492565,-63.488415,-63.484985,-63.482174,-63.479885,-63.478035,-63.476547,-63.475361,-63.474426,-63.473701,-63.473145,-63.472733,-63.472443,-63.47226,-63.472168,-62.587364,2.9332561e-10,1.5297018e-10
10.0,0.99044275,0.10943396,0.10919537,0.10897218,0.10876612,0.10857698,0.10840412,0.1082467,0.10810386,0.10797474,0.10785846,0.10775416,0.10766097,0.10757806,0.1075046,0.10743977,0.1073828,0.10733295,0.1072895,0.1072518,0.10721922,0.10719118,0.10716714,0.10714664,0.1071292,0.10711446,0.10710202,0.10709159,0.10708287,0.10707562,0.10706961,0.10706466,0.10706058,0.10705725,0.10705453,0.10705233,0.10705055,0.10704912,0.10704798,0.10704707,0.10704634,0.10704578,0.10704533,0.10704498,0.10704471,0.1070445,0.10704435,0.10704423,0.10704415,0.1070441,0.10704408,-0.094621107,0.037271556,0.071922809,0.080821238,231.3,-0.46049055,0.0,-62.62397,-62.941845,-63.206425,-63.42429,-63.601357,-63.742962,-63.853901,-63.938499,-64.000633,-64.043793,-64.07106,-64.08522,-64.088692,-64.083633,-64.071915,-64.055153,-64.034744,-64.011864,-63.987495,-63.962463,-63.937424,-63.912895,-63.889282,-63.866882,-63.845901,-63.826477,-63.80867,-63.792507,-63.777958,-63.764973,-63.753471,-63.743359,-63.734535,-63.726883,-63.720295,-63.714657,-63.709866,-63.705818,-63.702423,-63.699593,-63.697247,-63.695324,-63.693752,-63.69249,-63.691486,-63.690704,-63.690117,-63.689693,-63.689423,-63.689289,-62.245483,3.7379147e-10,2.0447451e-10
11.0,0.9894132,0.11015069,0.1099465,0.10975249,0.10957091,0.1094021,0.10924585,0.10910182,0.10896955,0.10884857,0.10873836,0.10863838,0.10854805,0.10846677,0.10839393,0.10832893,0.10827117,0.10822003,0.10817496,0.10813539,0.10810077,0.10807063,0.10804447,0.10802186,0.10800241,0.10798572,0.10797147,0.10795935,0.10794908,0.10794041,0.10793311,0.10792701,0.10792191,0.10791768,0.10791417,0.10791128,0.10790891,0.10790697,0.10790539,0.10790411,0.10790308,0.10790224,0.10790158,0.10790105,0.10790063,0.10790031,0.10790007,0.10789988,0.10789976,0.10789967,0.10789964,-0.10501134,0.03962978,0.075870275,0.10095511,230.3,-0.5513429,0.0,-62.335243,-62.692265,-62.993881,-63.24688,-63.457321,-63.630615,-63.77161,-63.884636,-63.973568,-64.04187,-64.092621,-64.128586,-64.152184,-64.165573,-64.170647,-64.16906,-64.162239,-64.151436,-64.137695,-64.121925,-64.104866,-64.087151,-64.06926,-64.051613,-64.034508,-64.018188,-64.002808,-63.988487,-63.975285,-63.963226,-63.952309,-63.942505,-63.933762,-63.926025,-63.919228,-63.913292,-63.908146,-63.903709,-63.899914,-63.896687,-63.893959,-63.891678,-63.889786,-63.888233,-63.886978,-63.88599,-63.885231,-63.884686,-63.884331,-63.884155,-61.915195,4.6970133e-10,2.6640087e-10
