x,Curve1
1740.1235,-60.1826
1740.1379,-58.3349
1740.1523,-56.4314
1740.1946,-54.5091
1740.2229,-52.1575
1740.2232,-51.2803
1740.2234,-50.1419
1740.2519,-47.9024
1740.2672,-42.3595
1740.2942,-45.8868
1740.2946,-44.0765
1740.3929,-40.5678
1740.7689,-40.605
1741.8272,-40.5483
1742.6487,-40.6412
1744.1525,-41.0882
1745.2102,-43.0099
1745.8223,-45.5289
1746.1002,-47.8243
1746.4337,-50.5489
1746.7534,-52.9375
1747.1009,-55.4942
1747.5596,-58.4052
1748.1022,-60.4205
1748.5337,-61.0361
1749.7589,-61.6139
1750.1077,-58.9263
1750.121,-61.4831
1750.1498,-57.8252
1750.1779,-56.7241
1750.205,-59.6728
1750.2208,-52.2636
1750.2343,-53.7379
1750.235,-50.9759
1750.2353,-49.7628
1750.2505,-45.1345
1750.2917,-47.1499
1750.3207,-42.7082
1750.3349,-41.5511
1750.3907,-40.7486
1751.9503,-40.617
1753.7744,-40.8399
1755.069,-42.5375
1755.7089,-44.8886
1756.112,-47.6131
1756.3899,-50.0765
1756.6956,-52.7077
1757.0291,-55.1524
1757.3349,-57.429
1757.7522,-59.4257
1758.2949,-60.6198
1759.3809,-61.4216
1760.1606,-61.5145
