x,Curve1
1740.0798,-60.2519
1740.1255,-57.0079
1740.1481,-59.2492
1740.1483,-54.6781
1740.1712,-52.1123
1740.1941,-49.6351
1740.2169,-47.5117
1740.2398,-44.5921
1740.2399,-42.2033
1740.2628,-39.903
1740.2654,-38.3692
1740.3784,-36.8951
1741.5163,-37.0831
1743.2492,-37.6105
1744.6933,-38.9216
1745.3431,-41.0751
1745.7762,-43.3223
1746.0649,-45.6631
1746.3536,-47.9102
1746.6423,-50.251
1746.8589,-52.5918
1747.2198,-54.8389
1747.6529,-57.0861
1748.3749,-59.2397
1749.2229,-59.9881
1750.0879,-59.9787
1750.1555,-57.2161
1750.1556,-55.6236
1750.1782,-59.0446
1750.1784,-54.0311
1750.2241,-49.9908
1750.2925,-46.1864
1750.3154,-43.1193
1750.3383,-40.0817
1750.3839,-37.9289
1750.4294,-36.8967
1751.009,-36.9078
1752.4196,-37.3313
1754.0803,-38.1742
1755.0911,-39.9534
1755.5965,-42.2005
1755.9574,-44.4477
1756.2461,-46.7885
1756.5348,-49.1293
1756.8235,-51.3764
1757.04,-53.7172
1757.4732,-55.9643
1757.9785,-58.2115
1758.5934,-59.341
1759.1338,-59.8971
1760.0833,-60.1893
