x,Curve1
1760.0378,94.37
1760.4634,105.85
1760.8881,130.98
1761.6133,170.33
1762.526,207.98
1763.7218,240.49
1764.7721,251.51
1765.5738,242.2
1766.5299,206.27
1767.3756,168.63
1768.3311,132.7
1768.8921,116.39
1769.6956,100.19
1770.2928,93.98
1770.7645,124.15
1771.4579,163.5
1772.3394,201.14
1773.5036,235.36
1774.6956,251.52
1775.2154,248.02
1775.7696,236.92
1776.3281,214.84
1777.1899,175.48
1778.1454,139.55
1778.7848,121.49
1779.4618,105.33
1780.2474,93.31
1780.5777,113.89
1781.2556,153.24
1782.0898,192.6
1783.238,229.54
1784.8095,250.78
1786.127,223.4
1786.9571,185.76
1787.9124,146.41
1788.5217,127.27
1789.0725,113.9
1790.1554,93.66
1790.5629,113.49
1791.1157,144.7
1791.9038,184.05
1792.9729,221.7
1794.2164,249.08
1795.2281,249.5
1795.9258,231.97
1796.787,192.61
1797.6795,154.97
1798.7765,120.75
1799.4721,104.54
1799.9078,96.39
