x,Curve1
-87.45,-0.00565
-81.572,-0.00784
-75.839,-0.00565
-70.157,-0.0057
-64.969,-0.00565
-59.04,-0.00357
-52.864,-0.00565
-48.17,-0.00581
-42.982,-0.01699
-39.778,-0.03624
-35.571,-0.06931
-31.124,-0.12589
-28.767,-0.1676
-25.697,-0.24805
-23.96,-0.30272
-21.029,-0.39158
-19.559,-0.44351
-17.892,-0.50105
-16.52,-0.55719
-15.147,-0.61895
-12.99,-0.70456
-10.049,-0.80281
-7.655,-0.86505
-4.737,-0.93932
-0.491,-1.00011
4.105,-0.97114
8.156,-0.8934
11.658,-0.79925
14.136,-0.72712
16.457,-0.64578
18.681,-0.56443
20.998,-0.47248
23.128,-0.39468
25.155,-0.31333
27.131,-0.22845
29.257,-0.14711
29.951,-0.12211
