x,Curve1
-92.087,-0.00972
-85.321,-0.02296
-80.505,-0.04758
-77.408,-0.07611
-73.05,-0.13051
-70.069,-0.19595
-68.423,-0.25425
-66.81,-0.32551
-65.114,-0.40324
-63.599,-0.48097
-62.085,-0.5587
-60.2,-0.64154
-57.545,-0.7498
-55.71,-0.82753
-53.737,-0.90202
-51.826,-0.9603
-47.362,-1.01667
-42.317,-0.97976
-38.334,-0.92845
-35.432,-0.87935
-31.948,-0.81134
-28.096,-0.74055
-24.427,-0.66692
-21.216,-0.60729
-17.546,-0.54122
-13.876,-0.47969
-7.454,-0.38704
-3.096,-0.33198
1.261,-0.2834
5.849,-0.23806
10.665,-0.19271
15.482,-0.14932
20.528,-0.10593
25.115,-0.06706
28.09,-0.04128
