x,Curve1
1740.0722,-60.1276
1740.0735,-58.6512
1740.0753,-56.5841
1740.0774,-54.2808
1740.1247,-51.9775
1740.1265,-49.9695
1740.13,-45.9536
1740.151,-47.8434
1740.1545,-43.7979
1740.1563,-41.8194
1740.2034,-39.6933
1740.2277,-37.8625
1740.6272,-37.1091
1742.3522,-37.4835
1743.9332,-38.1392
1744.938,-39.92
1745.5112,-42.1698
1745.8686,-44.4197
1746.1541,-46.7633
1746.3678,-49.0132
1746.6307,-51.3569
1746.8709,-53.7005
1747.2283,-55.9504
1747.6843,-58.2002
1748.2245,-59.475
1748.9834,-60.0991
1749.9221,-60.2421
1750.0133,-59.5039
1750.0372,-58.0864
1750.0386,-56.5509
1750.0652,-51.9739
1750.0855,-54.7201
1750.0907,-48.8142
1750.1118,-50.5564
1750.1385,-45.9203
1750.1863,-43.0264
1750.2564,-40.5755
1750.2574,-39.4829
1750.2585,-38.2427
1750.3502,-36.9434
1750.6159,-37.0197
1751.4105,-37.1989
1753.1353,-37.7608
1754.5001,-38.979
1755.2173,-40.9475
1755.6466,-43.1973
1756.004,-45.5409
1756.1463,-47.2284
1756.4318,-49.572
1756.7174,-51.8219
1757.0029,-54.1655
1757.3603,-56.4154
1757.9335,-58.6652
1758.5272,-59.7074
1759.1543,-60.071
1759.9532,-60.2679
