x,Curve1
-77.7,-0.00588
-71.855,-0.00579
-67.415,-0.01113
-62.555,-0.04975
-60.093,-0.10333
-57.618,-0.16844
-55.993,-0.24984
-54.368,-0.33125
-53.023,-0.41267
-51.819,-0.49748
-50.567,-0.57889
-49.127,-0.66031
-47.458,-0.74172
-45.599,-0.82312
-43.223,-0.89773
-39.691,-0.95792
-36.227,-0.99123
-29.876,-1.00608
-25.471,-0.98568
-21.113,-0.95117
-17.242,-0.90697
-12.421,-0.83238
-7.436,-0.73974
-4.106,-0.6725
-0.965,-0.60187
2.27,-0.52717
5.226,-0.45587
8.229,-0.38389
12.022,-0.29351
15.31,-0.22231
18.358,-0.15707
24.751,-0.03032
