Time,APC,APCAxin,APCAxinGSK3B,APCBCatenin,Akt,Axin,BCatenin,BRaf,C3G,Dsha,Dshi,EGF,ERK,GSK3B,MEK,P90Rsk,PI3K,PIP2,PIP3,PKCD,PP2A,PTEN,RKIP,Raf1,RafPPtase,Rap1,Rap1Gap,Ras,RasGap,SOS,TCF,TCFBCatenin,X,bEGFR,fEGFR,pAPCpAxinGSK3B,pAPCpAxinGSK3BBCatenin,pAPCpAxinGSK3BpBCatenin,pAkt,pBCatenin,pBRaf,pC3G,pEGFR,pERK,pGSK3B,pMEK,pP90Rsk,pPI3K,pRKIP,pRaf1,pRap1,pRas,pSOS,null,Kcat10a,Kcat10b,Kcat11a,Kcat12,Kcat13,Kcat14,Kcat16a,Kcat16b,Kcat18b,Kcat19a,Kcat19b,Kcat20,Kcat21,Kcat22a,Kcat22b,Kcat23a,Kcat24,Kcat25,Kcat27a,Kcat27b,Kcat27d,Kcat6b,Kcat7,Kcat8b,Kcat9a,Km10a,Km10b,Km11a,Km12,Km13,Km14,Km16a,Km16b,Km18b,Km19a,Km19b,Km20,Km21,Km22a,Km22b,Km23a,Km24,Km25,Km39,Km6b,Km7,Km8b,Km9a,Km9b,V1,V15b,V26a,V37b,V8a,W,k11b1,k11b2,k15a,k15c,k18a,k19c,k21,k22,k23b,k26a,k26b,k27c,k28,k29,k3,k30,k311,k312,k32a,k32b,k33a1,k33a2,k33b,k33c1,k33c2,k341,k342,k35,k36,k37a1,k37a2,k37c,k381,k382,k39,k4,k40,k41,k51,k52,k53,k54,k6a,k9b,Cell,v1,v10a,v10b,v11a,v11b,v12,v13,v14,v15a,v15b,v15c,v16a,v16b,v18a,v18b,v19a,v19b,v19c,v2,v20,v21,v22a,v22b,v23a,v23b,v24,v25,v26a,v26b,v27a,v27b,v27c,v27d,v28,v29,v3,v30,v31,v32a,v32b,v33a,v33b,v33c,v34,v35,v36,v37a,v37b,v37c,v38,v39,v4,v40,v41,v5,v6a,v6b,v7,v8a,v8b,v9a,v9b
0.0,96.602,0.0015,0.0076,3.4392,200.0,0.0008,42.722,200.0,500.0,0.0,100.0,600.0,260.0,49.137,680.0,60.0,100.0,700.0,0.0,0.0,240.0,270.0,20.909,100.0,60.0,200.0,12.0,100.0,100.0,100.0,6.1879,8.8121,10.263,0.0,300.0,0.0153,0.002,0.002,0.0,0.9881,0.0,0.0,0.05,0.0,0.85544,0.0,0.0,0.0,0.8619,0.0,0.0,0.0,0.0,1.0,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4476,0.04035437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014721052800518558,0.0,0.0,0.0,0.0031363499999999996,0.0131823304,0.0,0.0,0.375,0.0,-3.4761674999999866e-06,3.382e-05,3.3920099999999994e-05,3.833427200000011e-05,2.2264e-06,2.229073447e-06,0.006896288822,0.006866,0.006866,0.013600835480005458,0.00705,0.000182978326,0.0008222615460011795,0.0025657462211805086,0.0,0.00256575,0.006867295,3.85e-05,0.0,0.0,0.0,0.0717,0.0,0.0,0.0
0.01,96.6018777884965,0.0015004131483702147,0.007599966395532816,3.4393218329580098,199.99999999999983,0.000799621486521932,42.72186977485237,199.99999999999997,499.99998887020564,0.0,100.0,599.960631823483,260.0,49.13716323646328,680.0,60.0,99.99999886552399,699.9999999997593,2.404723499816272e-10,1.4720969177554996e-06,240.0,270.0,20.942391714285716,100.0,60.0,199.9999999933485,12.0,100.00071699962288,100.0,99.99999894403138,6.187891896268521,8.812108103731463,10.26299999997984,0.03932884710460516,300.95687584291846,0.015299700381871605,0.002000293585707918,0.002000005034008615,1.7519650318395464e-13,0.988099987108522,5.004565707439889e-14,1.1129794219235972e-05,0.05,1.1616300755234414e-23,0.8553081868524648,2.703578643526884e-18,2.840656961003909e-32,1.1344759966297468e-06,0.8281044176090891,1.538387498177535e-15,6.651525305449409e-09,3.77102661986869e-10,1.0559686118055392e-06,1.0035078605735714,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,1.098301738597163e-17,3.4145762562927644e-32,1.325540199689548e-15,1.1362592667842246e-17,3.54280072478483e-21,6.874494569779886e-21,7.089342138134034e-27,3.0374969393000266e-22,3.3124176704363566,0.04041881600857143,1.061011897406606e-12,1.87685344597997e-11,1.4203284805019546e-34,1.9505961798994434e-29,0.00022689572059144588,1.0684455215406371e-14,5.672379983148734e-09,3.940580824356885,4.51212044114103e-06,4.463767983116296e-06,5.290391699595797e-11,8.526288220453505e-14,0.002244514946015438,2.782448554808993e-05,1.9913651444783185e-06,8.410901113693347e-11,0.00014720942227289466,5.667573133358673e-10,1.1415841328276103e-24,3.956539757017305e-13,0.003141358757142857,0.013180299159396483,0.0,0.0,0.3761960948036481,0.0,-3.4445315150135643e-06,3.381985046012103e-05,3.3919435746609346e-05,3.737882522095301e-05,2.2253465969905366e-06,2.2290714112359924e-06,0.006895455056418157,0.0068670078797352825,0.006866017281751575,0.010867431755286816,0.00705,0.00018297776824569272,0.0007990053943141007,0.002565749729399498,0.007865769420921032,0.00256574999999496,0.006867294910404227,0.0001747748796671612,2.639921529513848e-06,5.391190378898627e-41,9.56093609790885e-08,0.0717,3.973608630884317e-11,5.328811421345984e-13,0.0
0.02,96.60178008273927,0.0015008165484402271,0.0075999330986996514,3.43941916960536,199.99999999999858,0.0007992524190336531,42.72176427210311,199.99999999999926,499.999955849261,0.0,100.0,599.921188393094,260.0,49.137326501389595,680.0,60.0,99.99999546230227,699.9999999990326,9.670411508705432e-10,2.9441771097274852e-06,240.0,270.0,20.974457653263595,100.0,60.0,199.99999994712033,12.0,100.00143399769085,100.0,99.99999656833756,6.187884010525369,8.812115989474618,10.262999999994278,0.07865429378423547,301.9136644715616,0.015299409200558216,0.002000569308010423,0.002000019499667839,1.4111329404104975e-12,0.9880999745553222,7.837359737233644e-13,4.415073888380121e-05,0.05,7.1861282986585985e-22,0.8551763940157846,8.413430621239743e-17,3.482933993428992e-30,4.537697708353913e-06,0.7956339789449466,1.7986200669228975e-14,5.287970818400924e-08,2.309146336952983e-09,3.431662406900432e-06,1.0071069674179072,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,1.2840897036132784e-16,3.2155332503077514e-30,2.0758515320694867e-14,1.32823480149195e-16,1.102505679804119e-19,2.139315727227422e-19,4.385640767329615e-25,1.8850990059156233e-20,3.1825359157797863,0.04048070327079874,6.496988707137003e-12,1.492100803499341e-10,1.7414669967144962e-32,1.2066865952411272e-27,0.0004537718080394489,6.542507457695845e-14,2.2688488541769563e-08,3.9481047742834354,1.804766134004383e-05,1.7950701146046126e-05,2.12749053191519e-10,6.867560681095672e-13,0.004488835531825377,0.00011037684720950303,7.899538910072612e-06,6.686676755063441e-10,0.00014720831635890442,1.1335081872450817e-09,7.062142649841258e-23,3.1868342293703697e-12,0.003146168647989539,0.01317826823178324,0.0,0.0,0.377392080589452,0.0,-3.4136256148147167e-06,3.3819702289213446e-05,3.391879019763756e-05,3.644704110757806e-05,2.2243194821706566e-06,2.2290697839605008e-06,0.006894669332635277,0.006867954434399782,0.00686606694235969,0.008681218821550374,0.00705,0.00018297731637741764,0.000778563682508171,0.0025657531432482098,0.015730858756847096,0.0025657499999985696,0.006867294823159489,0.000311037976856962,8.57915601725108e-06,2.1481503226320255e-38,3.1071131478128314e-07,0.0717,2.4331951851378787e-10,3.2630385871799455e-12,0.0
0.03,96.60170197856735,0.0015012104408087693,0.0075999001024618885,3.4394969138696116,199.99999999999523,0.0007988925638908813,42.721678562013196,199.99999999999613,499.9999014795874,0.0,100.0,599.8816697375829,260.0,49.13748979283986,680.0,60.0,99.99998979064532,699.9999999978199,2.179654017944617e-09,4.416240574229504e-06,240.0,270.0,21.005249801619776,99.99999999999996,60.0,199.99999982264214,12.0,100.00215099302606,100.0,99.99999290561948,6.187876317422689,8.812123682577296,10.26300000004243,0.11797631811107352,302.87036591577004,0.015299126301336124,0.002000828224448829,0.0020000424939882687,4.769431516541597e-12,0.9880999626484623,3.9261162709096e-12,9.852041252740781e-05,0.05,8.064552807947462e-21,0.8550446214868657,6.310426026822182e-16,5.834559993505043e-29,1.0209354665010849e-05,0.7644367244039029,7.967238157546273e-14,1.7735789146395356e-07,6.973942035977877e-09,7.094380520175008e-06,1.010797287539023,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,5.688054232510995e-16,4.814154867196509e-29,1.0398954175003014e-13,5.882605671866978e-16,8.269255253607856e-19,1.6045765695868643e-18,4.921736725938908e-24,2.1220303771810124e-19,3.0577468976156115,0.04054013211712617,1.9621806520830368e-11,5.004487760020117e-10,2.9172799967525214e-31,1.3541906525355116e-26,0.0006806281204089381,1.9759278337149755e-13,5.1046773325054245e-08,3.95562584852019,4.060538787220152e-05,4.0459826605741666e-05,4.795238839478119e-10,2.321139236155188e-12,0.006732960218581329,0.00024630103131851954,1.762747014864797e-05,2.2427031670677886e-09,0.00014720721027635514,1.7002526210783588e-09,7.925437625686728e-22,1.0771088737540258e-11,0.003150787470242966,0.0131762376171126,0.0,0.0,0.37858795739471257,0.0,-3.383431793397144e-06,3.3819555455955404e-05,3.3918163010062184e-05,3.55382771099603e-05,2.2233180053083225e-06,2.2290684834173235e-06,0.006893928167711489,0.006868843294532829,0.006866145881861727,0.006932686671817123,0.00705,0.00018297694928110254,0.0007603971618355132,0.0025657564737000824,0.023595263622214705,0.0025657500000106077,0.006867294740406813,0.0004472892155895145,1.7735951300437518e-05,7.439392226712273e-37,6.423475850205676e-07,0.0717,7.348586753390102e-10,9.854828862071994e-12,0.0
0.04,96.60163955305322,0.0015015950596183386,0.007599867399955452,3.43955898845118,199.9999999999887,0.0007985416937336291,42.7216087009372,199.99999999998775,499.99982629022935,0.0,100.0,599.8420758857134,260.0,49.1376531089512,680.0,60.0,99.99998185086498,699.9999999961213,3.878244173878668e-09,5.888287309703902e-06,240.0,270.0,21.0348181057877,99.9999999999998,60.0,199.99999958220394,12.0,100.00286798448114,100.0,99.99998798777132,6.187868796446036,8.812131203553948,10.263000000123506,0.15729489818852985,303.8269802053964,0.015298851532435237,0.002001071324626748,0.002000073178967683,1.1306414351315525e-11,0.9880999516661148,1.2312500015129118e-11,0.00017370977056768505,0.05,4.49485870648315e-20,0.8549128692626388,2.6379175626946634e-15,4.33593130809098e-28,1.814913499388202e-05,0.7344627316515002,2.3335017566317445e-13,4.17796123997783e-07,1.551886023367546e-08,1.2012228699273191e-05,1.014578788882763,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,1.665958049817961e-15,3.342555829460997e-28,3.2611648408310654e-13,1.7226588825493506e-15,3.456757685008824e-18,6.70753558572824e-18,2.7431789090404445e-23,1.1862139782757953e-18,2.937850926606001,0.040597198944170264,4.366369427191228e-11,1.1788906439246957e-09,2.1679656540454898e-30,7.547716271122714e-26,0.0009074645159505399,4.396960182818683e-13,9.07456749694101e-08,3.963144045807319,7.218405963475576e-05,7.198990398769245e-05,8.53213718253291e-10,5.502492672354104e-12,0.008976887478765034,0.0004342744264192126,3.108050111643296e-05,5.283061738861239e-09,0.00014720610403787037,2.266990614236002e-09,4.4173361578583625e-21,2.553402782319441e-11,0.0031552227158681547,0.013174207315337264,0.0,0.0,0.37978372525674553,0.0,-3.353932527619272e-06,3.381940992980176e-05,3.3917553847408915e-05,3.4651919378603105e-05,2.2223415336606896e-06,2.2290674442078674e-06,0.006893228468282842,0.006869677857443625,0.006866251223396055,0.005534236701208783,0.00705,0.00018297665006611406,0.0007440741628546022,0.002565759729636114,0.03145897963770597,0.0025657500000308767,0.0068672946640794975,0.0005835285199931359,3.0030571748182977e-05,9.360969995438752e-36,1.087632844384701e-06,0.0717,1.6352543533136556e-09,2.1929593183927512e-11,0.0
0.05,96.6015896684994,0.001501970632829291,0.007599834984486126,3.439608530826461,199.99999999997792,0.0007981995872168009,42.72155153435416,199.9999999999702,499.99973079718416,0.0,100.0,599.802406866261,260.0,49.13781644793398,680.0,60.0,99.99997164327455,699.9999999939369,6.062744558942083e-09,7.360317314716774e-06,240.0,270.0,21.063210553723362,99.9999999999995,60.0,199.9999991890352,12.0,100.00358497093843,100.0,99.99998184590058,6.187861430952026,8.81213856904796,10.263000000236799,0.19661001215117685,304.7835073703058,0.0152985847436266,0.002001299535999604,0.00200011077721395,2.207312837245085e-11,0.9880999418587157,2.986082957373549e-11,0.0002692028157486979,0.05,1.7037484826364666e-19,0.8547811373400586,7.998051533329059e-15,2.0543057640572056e-27,2.8356725421630535e-05,0.7056640358857929,5.417719434636226e-13,8.109648746025971e-07,2.9061581610930737e-08,1.815409942702504e-05,1.0184514402964095,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,3.86787508436052e-15,1.51504677115126e-27,7.909123850091906e-13,3.998890333848382e-15,1.0480739236858398e-17,2.0336956709705408e-17,1.0397850542302772e-22,4.508938068695716e-18,2.8226561435431714,0.04065199636868609,8.176734601708982e-11,2.2882905041635937e-09,1.0271528820286028e-29,2.8609153221542095e-25,0.0011342808531002403,8.234019910623189e-13,1.4178362710815268e-07,3.970659364884626,0.0001127824306542068,0.0001125396873466202,1.333803802967209e-09,1.0742329385018286e-11,0.011220615795890372,0.0006730070393717447,4.816630850253192e-05,1.0254708587471103e-08,0.00014720499765557722,2.833722166165958e-09,1.6743696042647347e-20,4.9849380185054105e-11,0.003159481583058504,0.013172177326410302,0.0,0.0,0.3809793842128823,0.0,-3.3251107567431047e-06,3.381926568096326e-05,3.3916962376620166e-05,3.378737945806151e-05,2.2213894512243566e-06,2.2290666140237133e-06,0.006892567467714689,0.0068704613070866396,0.00686638029817549,0.004415804830728121,0.00705,0.00018297640522163888,0.0007292491103774168,0.0025657629182614648,0.03932200243023537,0.0025657500000592,0.006867294595918074,0.0007197558143041192,4.53852485675626e-05,6.702775325178065e-35,1.6437529174310231e-06,0.0717,3.062278874084482e-09,4.1066718329370427e-11,0.0
0.06,96.60154981555432,0.0015023373824637404,0.007599802849525052,3.4396480501316726,199.99999999996186,0.0007978660287707652,42.72150453921041,199.99999999993852,499.9996155037229,0.0,100.0,599.762662708014,260.0,49.13797980806896,680.0,60.0,99.9999591681887,699.9999999912666,8.73308783140397e-09,8.832330587953105e-06,240.0,270.0,21.09047325148299,99.99999999999896,60.0,199.99999860728195,12.0,100.00430195130919,100.0,99.99997451034746,6.18785420739801,8.812145792601976,10.263000000381666,0.23592163816468306,305.73994744037554,0.015298325785230429,0.002001513728911354,0.0020001545679002634,3.811537023132092e-11,0.9880999334509725,6.154474579600298e-11,0.000384496277042402,0.05,5.058079442684623e-19,0.8546494257161045,1.9787024984602413e-14,7.314549692779499e-27,4.0831811276209056e-05,0.6779945532965609,1.0832748980938072e-12,1.3927181372281816e-06,4.8690828526150874e-08,2.548965255425962e-05,1.0224152114918224,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,7.733829775427551e-15,5.230996901780984e-27,1.630112169593412e-12,7.994586635846207e-15,2.5929146401798726e-17,5.031323802413947e-17,3.086908344284686e-22,1.3422232054079493e-17,2.7119782131862435,0.04070461337536217,1.369959789958049e-10,3.92981716989515e-09,3.6572748463897493e-29,8.493470207443361e-25,0.0013610769904790507,1.3795574064742673e-12,2.0415905638104528e-07,3.978171804491556,0.0001623992493940018,0.00016210792517415182,1.921279322908751e-09,1.8549607230469882e-11,0.013464143664213992,0.000961240692606005,6.879484597150698e-05,1.7611020019521143e-08,0.00014720389114112527,3.400447276361945e-09,4.9708761104449146e-20,8.607904897725898e-11,0.003163570987722448,0.01317014765028517,0.0,0.0,0.38217493430046945,0.0,-3.2969498642226945e-06,3.381912268038648e-05,3.391638826585586e-05,3.2944091583339465e-05,2.2204611580690396e-06,2.2290659510313125e-06,0.006891942675092903,0.006871196631352678,0.0068665306316016035,0.0035213581957549422,0.00705,0.00018297620394143818,0.0007156453264807183,0.0025657660454389383,0.04718432763293662,0.0025657500000954166,0.006867294537484258,0.0008559710228665052,6.372413138564905e-05,3.3509378903504304e-34,2.307963029518571e-06,0.0717,5.130653161052253e-09,6.880467027145614e-11,0.0
0.07,96.60151798637504,0.001502695524827246,0.007599770988704332,3.4396795539999867,199.9999999999395,0.0007975408083840004,42.72146569645703,199.9999999998867,499.9994809007071,0.0,100.0,599.7228434397734,260.0,49.13814318770447,680.0,60.0,99.99994442592349,699.9999999881104,1.1889206367937817e-08,1.0304327128212055e-05,240.0,270.0,21.116650497654035,99.99999999999811,60.0,199.99999780198385,12.0,100.00501892453293,100.0,99.99996601070382,6.18784711471925,8.812152885280733,10.263000000557518,0.2752297544257474,306.6963004454952,0.015298074507444718,0.00200171472105816,0.0020002038829728713,6.047371138906219e-11,0.9880999266437573,1.1336701508343622e-10,0.0005190992928183396,0.05,1.2690583849256143e-18,0.8545177343877794,4.254234074367078e-14,2.1408618649758857e-26,5.557407648878672e-05,0.6514100066702643,1.9513723624087772e-12,2.198016228926291e-06,7.546708676198776e-08,3.3989296190227255e-05,1.0264700730096152,0.12633,15.1212,185.76,2.8324,9.8537,8.8912,0.8841,0.8841,0.02137,10.6737,0.07711,4.0,5.5,0.33,48.667,694.73,32.344,1509.4,0.002,0.04596,0.01541,1611.97,32.644,1509.36,0.884096,1061.7,119355.0,4768400.0,518750.0,1007300.0,3496500.0,62645.0,62464.6,763523.0,184912.0,272056.0,4.0,0.08,100.0,100.0,6086100.0,35954.3,1432400.0,15.0,896896.0,35954.3,1432410.0,62464.6,15.0,100.0,4.0,0.00154,0.00705,0.0717,0.0,1.1167e-05,120.0,1.3,0.00193,0.005,0.005,2.18503e-05,0.121008,2.5,20.0,0.000385,0.00015,0.003,0.003,0.00125,0.000833,0.001515,0.01515,0.00445,0.002217,0.01667,0.8333,0.002783,1.37e-06,1.667e-08,0.01667,2.0,3.433,3.433,0.01667,20.0,4.283e-06,0.01667,0.5,0.01,0.2,0.00025,0.00695,0.003465,3.85e-05,0.00028833,1.5,2.5,0.025,1.0,100.0,1.3931442246007365e-14,1.495038625457844e-26,3.002708818239869e-12,1.439906426395623e-14,5.574797536649551e-17,1.0817406444910107e-16,7.744969137400684e-22,3.376306055798279e-17,2.605640026681057,0.04075513546047229,2.1233336432885895e-10,6.202117776201035e-09,1.070430932487943e-28,2.1309885908298412e-24,0.001587852786892671,2.138208904966724e-12,2.778703824439336e-07,3.9856813633672084,0.00022103325876219858,0.0002206933604064844,2.615625400946056e-09,2.94307411216971e-11,0.015707469588454478,0.0012977482320458492,9.287828747018438e-05,2.7794071733618432e-08,0.00014720278450570614,3.967165944361641e-09,1.2471834526406361e-19,1.3657316827349891e-10,0.003167497574648105,0.013168118286915682,0.0,0.0,0.383370375556869,0.0,-3.269433661147464e-06,3.381898089973428e-05,3.3915831183004934e-05,3.212151043686094e-05,2.219556069732673e-06,2.2290654217575687e-06,0.006891351833295376,0.006871886637392664,0.006866699930245867,0.002806062799848519,0.00705,0.00018297603757792548,0.0007030411271058412,0.002565769115958618,0.05504595088514948,0.0025657500001393797,0.0068672944901741135,0.0009921740701318556,8.497324047556813e-05,1.3078131077619984e-33,3.0775860789914276e-06,0.0717,7.952122791314488e-09,1.0664201407493227e-10,0.0
