data_set_T,data_set_CAD,data_set_CD,data_set_GKC,data_set_GKQ,data_set_HS,data_set_NS,data_set_QD,data_set_SD,data_set_VD,data_set_VS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,-60.0
1.5,0.015803916,0.010562863,1.0016076e-05,1.1671837e-07,0.38477135,0.00059241761,1.4589796e-07,0.011354177,-59.675671,-59.499043
3.0,0.058458287,0.011273325,3.9541155e-05,9.7643078e-07,0.61588275,0.00096714747,1.2205385e-06,0.014201726,-59.197796,-59.005512
4.5,0.10903186,0.011821999,7.7338467e-05,2.9755126e-06,0.75596124,0.001238656,3.7193909e-06,0.015364291,-58.668381,-58.450043
6.0,0.16145268,0.012448438,0.00012059001,6.2118238e-06,0.84163302,0.0014718294,7.7647801e-06,0.016258119,-58.081882,-57.827015
7.5,0.21542946,0.013190563,0.00017049814,1.0718298e-05,0.89452136,0.0017079473,1.3397872e-05,0.017209107,-57.416756,-57.110542
9.0,0.27226847,0.014112622,0.00023054531,1.6543836e-05,0.92726952,0.0019836968,2.0679796e-05,0.018348211,-56.629345,-56.242756
10.5,0.33437413,0.015344369,0.00030784559,2.3782239e-05,0.94695872,0.0023523145,2.9727798e-05,0.019830419,-55.623753,-55.089699
12.0,0.40714782,0.017265061,0.0004217659,3.2611562e-05,0.95753944,0.0029489908,4.0764451e-05,0.022039102,-54.133213,-53.220684
13.5,0.50557369,0.021930259,0.00066524168,4.3423421e-05,0.95672274,0.0048420117,5.4279273e-05,0.026864946,-50.271946,-45.392582
15.0,4.5709252,0.29444617,0.080753475,7.4759744e-05,0.053840004,0.32939047,9.3449678e-05,0.29140392,-14.146753,-36.298054
16.5,30.764511,0.4755224,0.87775284,0.00045832913,0.19257569,0.23431584,0.00057291141,0.47286031,-11.057954,-35.948566
18.0,85.774559,0.64053649,3.2965043,0.0017636699,0.034704477,0.30002809,0.0022045872,0.81889802,12.092023,-25.655264
19.5,184.79085,0.73602003,8.1605854,0.0049186568,0.057461224,0.28725639,0.0061483211,0.93953091,0.46812671,-28.663912
21.0,300.51169,0.71652019,10.747804,0.010714909,0.11932147,0.24230129,0.013393636,0.81618989,-19.083784,-36.099072
