Time,Ca_Nuc,Ca_Cyt,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt,k1,k2,k16,k15,k18,k17,k6,k5,k14,k13,k12,k11,k10,k9,k3,k4,k7,k8,k19,k20,k21,k22,Time_in_Seconds,cytosol,nucleus,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R17,R12,R13,R14,R15,R16
0.0,1.0,1.0,0.0005219,5.0499999999999994e-05,0.0002272,0.0009477,2.5e-06,0.049198,0.0001101,9.099999999999998e-06,0.0094397,6.1e-06,2.2e-06,0.0097108,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5031798784000002e-19,-1.6016575381950002e-19,1.2190361999999983e-20,5.9897e-22,1.3290065600000002e-19,-8.121306384e-21,-2.849995e-19,-2.9169929600000004e-19,-1.5220811400689997e-19,-1.4040349999999717e-19,9.698355723000007e-22,-1.3829100000000003e-19,-1.0813713920000016e-20,2.6097573e-15,5.5536675e-15,-1.5143419999999946e-19,-9.99999999999819e-18
0.01,1.0,1.0,0.0005218913462253559,0.0005370939712048446,0.00022719648608771306,0.0009477077420307934,2.5039065435471346e-06,0.048711393905742736,0.00011009973557205292,0.00010511734957053272,0.009439669811814294,6.100613685535656e-06,2.2300569939993496e-06,0.009614752179065995,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5031549464111644e-19,3.008863721058625e-20,1.2189529935203253e-20,2.110811880956364e-21,1.3268217590425485e-19,-9.094521465025515e-20,-2.8507766645714753e-19,-2.957415390845053e-19,-1.7686814473623854e-18,-1.402455670655618e-19,-1.788380879214835e-20,-1.3847129305348396e-19,-1.0813739712260574e-20,2.5580917691342798e-15,5.443695892602782e-15,-1.499366717203837e-19,-9.99999999999819e-18
0.02,1.0,1.0,0.0005218660248720922,0.0010140286786736493,0.00022718574411132784,0.0009477322014947444,2.515001628659615e-06,0.048234423148348596,0.00011009877740203314,0.00019917331324965557,0.009439580136519937,6.10221483149808e-06,2.319303038086142e-06,0.009520605576291676,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.503082007544336e-19,2.1654421403885276e-19,1.2187169696404182e-20,3.620941033013613e-21,1.3206237922913142e-19,-1.7211559501030903e-19,-2.8527920099196123e-19,-3.0774402940102327e-19,-3.3520760144054863e-18,-1.3975925867070617e-19,-3.63515339334013e-20,-1.3897812943304238e-19,-1.0813697418005224e-20,2.5074652787583035e-15,5.335904575073268e-15,-1.484691204596443e-19,-9.99999999999819e-18
0.03,1.0,1.0,0.0005218243701050857,0.0014814956281272004,0.0002271679475562551,0.0009477730923326858,2.533076587518153e-06,0.047766896698440926,0.0001100971396466367,0.000291307359166912,0.009439432179881238,6.105076111027877e-06,2.466240109368206e-06,0.009428321956619424,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5029620234530848e-19,3.992589531486505e-19,1.2183311821581788e-20,5.1290942298950155e-21,1.3105297295522375e-19,-2.516577574669056e-19,-2.8564093976528197e-19,-3.2750509509692545e-19,-4.9030285671335506e-18,-1.3895275498814637e-19,-5.444063467928282e-20,-1.3980173424767541e-19,-1.0813588482725759e-20,2.457856926714726e-15,5.230250320945451e-15,-1.470312287417307e-19,-9.99999999999819e-18
0.04,1.0,1.0,0.0005217667109625524,0.0019396825311345982,0.0002271432669636129,0.0009478301357835396,2.5579268692976512e-06,0.0473086273134952,0.00011009483619488426,0.0003815581626240079,0.009439227124508369,6.1094616988576805e-06,2.6694007003884923e-06,0.009337863854073604,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5027959410457483e-19,5.782904879216552e-19,1.2177986400581881e-20,6.635019019622382e-21,1.2966543356414508e-19,-3.2959689888888913e-19,-2.8619857177865823e-19,-3.548271744979509e-19,-6.4221644471927335e-18,-1.378341009803709e-19,-7.215827685847691e-20,-1.4093252417329475e-19,-1.0813414327030677e-20,2.4092462309999413e-15,5.126690760406748e-15,-1.456226796939423e-19,-9.99999999999819e-18
0.05,1.0,1.0,0.0005216933713874612,0.0023887733793879775,0.00022711186995248353,0.0009479030602738515,2.589351992839308e-06,0.04685943146360517,0.00011009188067281488,0.0004699636218085403,0.00943896613026889,6.11562745803075e-06,2.927347259927509e-06,0.009249194556468414,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5025846925756623e-19,7.53696083505165e-19,1.2171223076630984e-20,8.13847341482913e-21,1.2791100968059886e-19,-4.0595808901265784e-19,-2.8698666405040985e-19,-3.8951674076755165e-19,-7.910097753088085e-18,-1.3641120710366047e-19,-8.951149916162535e-20,-1.4236110553081838e-19,-1.0813176347043567e-20,2.3616131214235058e-15,5.0251843635165425e-15,-1.442431571453873e-19,-9.99999999999819e-18
0.06,1.0,1.0,0.0005216046702614502,0.0028289485186894,0.00022707392124357437,0.0009479916013055234,2.6271554978726924e-06,0.04641912925754056,0.00011008828644818378,0.0005565608734441349,0.009438650334699534,6.123821125944314e-06,3.238671633950821e-06,0.009162278090179702,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5023291957385893e-19,9.255326137313464e-19,1.216305104811997e-20,9.639225585652643e-21,1.2580072479585472e-19,-4.80766257500697e-19,-2.8803868670188954e-19,-4.3138422658621516e-19,-9.367431510628589e-18,-1.3469185009107872e-19,-1.0650721504038624e-19,-1.4407827228214326e-19,-1.0812875914802426e-20,2.3149379313018675e-15,4.925690423490181e-15,-1.4289234572307137e-19,-9.99999999999819e-18
0.07,1.0,1.0,0.0005215009214416237,0.0032603847202895353,0.00022702958268435363,0.0009480955013440994,2.6711448954461963e-06,0.04598754437145762,0.00011008406663502665,0.000641386307875791,0.009438280853406079,6.1342824937882995e-06,3.601994523452051e-06,0.009077079205469407,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5020303537784362e-19,1.0938565390936566e-18,1.2153499070754078e-20,1.1137053565983264e-20,1.23345380036111e-19,-5.540461816176062e-19,-2.8938703715511017e-19,-4.802439511077785e-19,-1.0794757837978491e-17,-1.3268367383480236e-19,-1.2315221454659431e-19,-1.4607500395866709e-19,-1.0812514378649137e-20,2.2692013894526828e-15,4.828169040581994e-15,-1.4156993094131994e-19,-9.99999999999819e-18
0.08,1.0,1.0,0.0005213824338052498,0.003683255245893524,0.000226979013278232,0.0009482145097075184,2.7211316159470774e-06,0.04556450398395489,0.00011007923409791252,0.000724475582803606,0.009437858780435461,6.147243570133665e-06,4.015964982045144e-06,0.008993563363133327,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.501689055615714e-19,1.258723884286176e-18,1.2142595460685786e-20,1.2631744992167721e-20,1.2055555706718109e-19,-6.25822473868111e-19,-2.9106306219823004e-19,-5.35914052272935e-19,-1.219265809186533e-17,-1.3039419053441139e-19,-1.3945316595897303e-19,-1.4834246340015915e-19,-1.0812093063595728e-20,2.224384612908695e-15,4.732581107400934e-15,-1.402755992745068e-19,-9.99999999999819e-18
0.09,1.0,1.0,0.0005212495112761382,0.004097729927365708,0.00022692236920437043,0.0009483483824537665,2.7769309626920453e-06,0.04514983869640125,0.00011007380145691979,0.0008058636401537295,0.009437385188712396,6.162928781321333e-06,4.47925982126448e-06,0.008911696718077393,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5013061759232685e-19,1.4201902233859076e-18,1.2130368095368333e-20,1.4123096766367865e-20,1.1744162068412503e-19,-6.961195731015352e-19,-2.9309708500134125e-19,-5.982164066841036e-19,-1.3561703070511524e-17,-1.278307812287555e-19,-1.554166180542476e-19,-1.5087199493249984e-19,-1.0811613271744205e-20,2.1804690979614658e-15,4.638888290901016e-15,-1.3900903826851768e-19,-9.99999999999819e-18
0.1,1.0,1.0,0.0005211024528645484,0.0045039752357121186,0.0002268598038444361,0.0009484968822691903,2.83836206131907e-06,0.044743382464007546,0.00011006778109208641,0.0008855847206606663,0.009436861130429063,6.181555145030874e-06,4.990583083024867e-06,0.008831446105134786,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5008825752409538e-19,1.5783106627382865e-18,1.2116844416089344e-20,1.5610914774965348e-20,1.1401372163830395e-19,-7.64961734756486e-19,-2.955184285245601e-19,-6.669765585317707e-19,-1.4902453181616687e-17,-1.2500069678354784e-19,-1.7104900198307607e-19,-1.53655122217859e-19,-1.0811076282667694e-20,2.137436712423538e-15,4.547053016797383e-15,-1.3776993662383485e-19,-9.99999999999819e-18
0.11,1.0,1.0,0.000520941552708739,0.004902154348867561,0.00022679146781022294,0.0009486597783567686,2.905247808598768e-06,0.04434497252809618,0.00011006118514780287,0.0009636723781942917,0.009436287637429687,6.203332440882451e-06,5.548665519433626e-06,0.00875277902513314,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.5004191000950262e-19,1.7331398251869997e-18,1.210205143070555e-20,1.7095013613169094e-20,1.1028179949721564e-19,-8.323730218230003e-19,-2.9835543852711546e-19,-7.420236495117334e-19,-1.621545860952642e-17,-1.2191105893466436e-19,-1.8635663313784169e-19,-1.5668354606219217e-19,-1.0810483353787178e-20,2.0952696880265507e-15,4.457038454252834e-15,-1.365579842753307e-19,-9.99999999999819e-18
0.12,1.0,1.0,0.0005207671001172895,0.005292427218984554,0.00022671750897169354,0.0009488368463242947,2.97741482092712e-06,0.04395444934887003,0.000110054025537182,0.0010401594939803962,0.009435665721593054,6.228463379818428e-06,6.152264075573958e-06,0.008675663631066128,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.499916583119762e-19,1.8847318358530096e-18,1.2086015716470617e-20,1.8575216312253648e-20,1.0625558552230971e-19,-8.983772966054627e-19,-3.0163550641235207e-19,-8.231903491428193e-19,-1.7501259483954598e-17,-1.1856886135802563e-19,-2.0134571303910776e-19,-1.5994914220073529e-19,-1.0809835720746628e-20,2.053950612876062e-15,4.368808500677058e-15,-1.3537287247063e-19,-9.99999999999819e-18
0.13,1.0,1.0,0.0005205793796234872,0.0056749506258630105,0.0002266380724908867,0.000949027868078513,3.054693380850448e-06,0.04357165655205993,0.00011004631394569658,0.0011150782878630939,0.009434996375149917,6.2571437384948305e-06,6.800161463908253e-06,0.008600068717156784,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.4993758432138076e-19,2.033140304234513e-18,1.2068763424467325e-20,2.005135413789124e-20,1.0194460565970195e-19,-9.629982110077126e-19,-3.0538508736319485e-19,-9.103127974315831e-19,-1.8760386001971168e-17,-1.149809711584578e-19,-2.1602233069330708e-19,-1.6344395884909373e-19,-1.0809134597732121e-20,2.0134624254800027e-15,4.282327769660252e-15,-1.3421429381331773e-19,-9.99999999999819e-18
0.14,1.0,1.0,0.0005203786710559309,0.006049878211416658,0.0002265533008636738,0.0009492326317276841,3.1369173810988206e-06,0.0431964408945613,0.00011003806183381154,0.0011884603255197415,0.009434280570911087,6.289562445772367e-06,7.491165864313615e-06,0.008525963711877207,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.4987976857432128e-19,2.1784183006304386e-18,1.2050320286204427e-20,2.1523266485735813e-20,9.73581836741011e-20,-1.0262591944674374e-18,-3.0962971203024193e-19,-1.0032305644675246e-18,-1.99933584846943e-17,-1.1115413092215455e-19,-2.303924632112361e-19,-1.6716021394458156e-19,-1.0808381177713877e-20,1.9737884109301585e-15,4.197561583195345e-15,-1.33081942258152e-19,-9.99999999999819e-18
0.15,1.0,1.0,0.0005201652495477177,0.006417360590704539,0.00022646333393223247,0.0009494509314463802,3.223924275932153e-06,0.04282865215340728,0.00011002928044371453,0.0012603365420169785,0.00943351926285952,6.325901862938182e-06,8.224110113170446e-06,0.008453318654998503,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.4981829025676461e-19,2.3206183637421436e-18,1.2030711611897599e-20,2.2990800384766133e-20,9.250544385864226e-20,-1.0881834555593829e-18,-3.143940242979807e-19,-1.1017865411625313e-18,-2.1200687712859266e-17,-1.0709495862507842e-19,-2.4446197958872322e-19,-1.710902934879524e-19,-1.0807576633003776e-20,1.9349121883920302e-15,4.11447594658541e-15,-1.3197551329848557e-19,-9.99999999999819e-18
0.16,1.0,1.0,0.0005199393856028315,0.006777545393562002,0.00022636830892497464,0.0009496825673730966,3.3155550248182533e-06,0.04246814308423392,0.0001100199808023468,0.001330737250554463,0.009432713386413726,6.366337888450345e-06,8.997851354185362e-06,0.008382104189117742,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.4975322722312896e-19,2.4597924829197e-18,1.2009962296448225e-20,2.4453810356319563e-20,8.73953141874581e-20,-1.1487939726798339e-18,-3.197017954307719e-19,-1.2058268922144288e-18,-2.2382875015139547e-17,-1.028099495346039e-19,-2.5823664168547134e-19,-1.75226748830852e-19,-1.0806722115528623e-20,1.8968177064735223e-15,4.033037539045926e-15,-1.3089470397887984e-19,-9.99999999999819e-18
0.17,1.0,1.0,0.0005197013451522112,0.007130577319920584,0.00022626836049163154,0.0009499273455004997,3.411654036970459e-06,0.04211476936603987,0.00011001017372517324,0.0013996921541300682,0.009431863858756813,6.411040097372921e-06,9.811270597259621e-06,0.008312291548330434,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.496846560124015e-19,2.5959920871799687e-18,1.1988096824004463e-20,2.591215820306599e-20,8.203652941755361e-20,-1.208113487778528e-18,-3.2557594288887556e-19,-1.3152009966787643e-18,-2.354041240848942e-17,-9.830547774926769e-20,-2.7172210579446294e-19,-1.7956229413551676e-19,-1.0805818757160407e-20,1.8594892370398988e-15,3.953213701211479e-15,-1.2983921294181951e-19,-9.99999999999819e-18
0.18,1.0,1.0,0.0005194513896105118,0.00747659819526374,0.00022616362073876457,0.0009501850775648651,3.5120691153538727e-06,0.041768389545811316,0.00010999986981996764,0.0014672303572339127,0.009430971579166834,6.46017188122028e-06,1.0663272275717568e-05,0.008243852546875508,2.56e-05,0.00256,6.63,0.00168,0.00096,0.0015,0.00092,0.0019,0.00256,0.5,0.00168,6.63,0.005,0.5,0.005,0.5,0.005,0.5,1.0,1.0,0.21,0.5,100.0,2.69e-13,1.13e-13,-1.4961265186445577e-19,2.7292680356910895e-18,1.1965139272591372e-20,2.7365712797365555e-20,7.643763422047039e-20,-1.2661645008263553e-18,-3.3203854919997885e-19,-1.4297613883197294e-18,-2.467378274156788e-17,-9.358779776080412e-20,-2.8492392424712123e-19,-1.8408980380665367e-19,-1.0804867670048042e-20,1.8229113690135894e-15,3.874972422611876e-15,-1.2880874047447183e-19,-9.99999999999819e-18
