Act_C_Cyt,Act_C_Nuc,Ca_Cyt,Ca_Nuc,Inact_C_Cyt,Inact_C_Nuc,NFAT_Act_C_Cyt,NFAT_Act_C_Nuc,NFAT_Cyt,NFAT_Nuc,NFAT_Pi_Act_C_Cyt,NFAT_Pi_Act_C_Nuc,NFAT_Pi_Cyt,NFAT_Pi_Nuc,Time
9.099999999999998e-06,5.0499999999999994e-05,1.0,1.0,0.0097108,0.049198,6.1e-06,0.0009477,0.0001101,0.0005219,2.2e-06,2.5e-06,0.0094397,0.0002272,0.0
0.00010511734957053272,0.0005370939712048446,1.0,1.0,0.009614752179065995,0.048711393905742736,6.100613685535656e-06,0.0009477077420307934,0.00011009973557205292,0.0005218913462253559,2.2300569939993496e-06,2.5039065435471346e-06,0.009439669811814294,0.00022719648608771306,0.01
0.00019917331324965557,0.0010140286786736493,1.0,1.0,0.009520605576291676,0.048234423148348596,6.10221483149808e-06,0.0009477322014947444,0.00011009877740203314,0.0005218660248720922,2.319303038086142e-06,2.515001628659615e-06,0.009439580136519937,0.00022718574411132784,0.02
0.000291307359166912,0.0014814956281272004,1.0,1.0,0.009428321956619424,0.047766896698440926,6.105076111027877e-06,0.0009477730923326858,0.0001100971396466367,0.0005218243701050857,2.466240109368206e-06,2.533076587518153e-06,0.009439432179881238,0.0002271679475562551,0.03
0.0003815581626240079,0.0019396825311345982,1.0,1.0,0.009337863854073604,0.0473086273134952,6.1094616988576805e-06,0.0009478301357835396,0.00011009483619488426,0.0005217667109625524,2.6694007003884923e-06,2.5579268692976512e-06,0.009439227124508369,0.0002271432669636129,0.04
0.0004699636218085403,0.0023887733793879775,1.0,1.0,0.009249194556468414,0.04685943146360517,6.11562745803075e-06,0.0009479030602738515,0.00011009188067281488,0.0005216933713874612,2.927347259927509e-06,2.589351992839308e-06,0.00943896613026889,0.00022711186995248353,0.05
0.0005565608734441349,0.0028289485186894,1.0,1.0,0.009162278090179702,0.04641912925754056,6.123821125944314e-06,0.0009479916013055234,0.00011008828644818378,0.0005216046702614502,3.238671633950821e-06,2.6271554978726924e-06,0.009438650334699534,0.00022707392124357437,0.06
0.000641386307875791,0.0032603847202895353,1.0,1.0,0.009077079205469407,0.04598754437145762,6.1342824937882995e-06,0.0009480955013440994,0.00011008406663502665,0.0005215009214416237,3.601994523452051e-06,2.6711448954461963e-06,0.009438280853406079,0.00022702958268435363,0.07
0.000724475582803606,0.003683255245893524,1.0,1.0,0.008993563363133327,0.04556450398395489,6.147243570133665e-06,0.0009482145097075184,0.00011007923409791252,0.0005213824338052498,4.015964982045144e-06,2.7211316159470774e-06,0.009437858780435461,0.000226979013278232,0.08
0.0008058636401537295,0.004097729927365708,1.0,1.0,0.008911696718077393,0.04514983869640125,6.162928781321333e-06,0.0009483483824537665,0.00011007380145691979,0.0005212495112761382,4.47925982126448e-06,2.7769309626920453e-06,0.009437385188712396,0.00022692236920437043,0.09
0.0008855847206606663,0.0045039752357121186,1.0,1.0,0.008831446105134786,0.044743382464007546,6.181555145030874e-06,0.0009484968822691903,0.00011006778109208641,0.0005211024528645484,4.990583083024867e-06,2.83836206131907e-06,0.009436861130429063,0.0002268598038444361,0.1
0.0009636723781942917,0.004902154348867561,1.0,1.0,0.00875277902513314,0.04434497252809618,6.203332440882451e-06,0.0009486597783567686,0.00011006118514780287,0.000520941552708739,5.548665519433626e-06,2.905247808598768e-06,0.009436287637429687,0.00022679146781022294,0.11
0.0010401594939803962,0.005292427218984554,1.0,1.0,0.008675663631066128,0.04395444934887003,6.228463379818428e-06,0.0009488368463242947,0.000110054025537182,0.0005207671001172895,6.152264075573958e-06,2.97741482092712e-06,0.009435665721593054,0.00022671750897169354,0.12
0.0011150782878630939,0.0056749506258630105,1.0,1.0,0.008600068717156784,0.04357165655205993,6.2571437384948305e-06,0.000949027868078513,0.00011004631394569658,0.0005205793796234872,6.800161463908253e-06,3.054693380850448e-06,0.009434996375149917,0.0002266380724908867,0.13
0.0011884603255197415,0.006049878211416658,1.0,1.0,0.008525963711877207,0.0431964408945613,6.289562445772367e-06,0.0009492326317276841,0.00011003806183381154,0.0005203786710559309,7.491165864313615e-06,3.1369173810988206e-06,0.009434280570911087,0.0002265533008636738,0.14
0.0012603365420169785,0.006417360590704539,1.0,1.0,0.008453318654998503,0.04282865215340728,6.325901862938182e-06,0.0009494509314463802,0.00011002928044371453,0.0005201652495477177,8.224110113170446e-06,3.223924275932153e-06,0.00943351926285952,0.00022646333393223247,0.15
0.001330737250554463,0.006777545393562002,1.0,1.0,0.008382104189117742,0.04246814308423392,6.366337888450345e-06,0.0009496825673730966,0.0001100199808023468,0.0005199393856028315,8.997851354185362e-06,3.3155550248182533e-06,0.009432713386413726,0.00022636830892497464,0.16
0.0013996921541300682,0.007130577319920584,1.0,1.0,0.008312291548330434,0.04211476936603987,6.411040097372921e-06,0.0009499273455004997,0.00011001017372517324,0.0005197013451522112,9.811270597259621e-06,3.411654036970459e-06,0.009431863858756813,0.00022626836049163154,0.17
0.0014672303572339127,0.00747659819526374,1.0,1.0,0.008243852546875508,0.041768389545811316,6.46017188122028e-06,0.0009501850775648651,0.00010999986981996764,0.0005194513896105118,1.0663272275717568e-05,3.5120691153538727e-06,0.009430971579166834,0.00022616362073876457,0.18
0.00153338038215225,0.007815747047612957,1.0,1.0,0.008176759563232829,0.0414288649615139,6.513890637560331e-06,0.0009504555809697114,0.00010998907949127318,0.0005191897758664884,1.1552783704798838e-05,3.6166514372046105e-06,0.009430037429409576,0.0002260542192272652,0.19
