T,ACT,C,V
0.0,0.0,0.0,-70.0
0.029999999,3.5227017e-06,0.00017613509,-69.379135
0.059999999,7.5380599e-06,0.00037690299,-68.690392
0.090000004,1.2221698e-05,0.00061108492,-67.906525
0.12,1.7855866e-05,0.00089279329,-66.982796
0.15000001,2.4932186e-05,0.0012466093,-65.839783
0.18000001,3.440752e-05,0.001720376,-64.321259
0.20999999,4.8416361e-05,0.002420818,-62.083626
0.23999999,7.2125506e-05,0.0036062752,-58.397797
0.27000001,0.00011516497,0.0057582483,-52.838589
0.30000001,0.00018791015,0.0093955072,-47.627838
0.33000001,0.00028407093,0.014203547,-45.847706
0.36000001,0.00038037848,0.019018924,-46.43581
0.38999999,0.00046592404,0.023296202,-47.778423
0.41999999,0.00053760031,0.026880017,-49.482487
0.44999999,0.00059464807,0.029732404,-51.473488
0.47999999,0.00063752278,0.031876139,-53.722252
0.50999999,0.0006671325,0.033356626,-56.258522
0.54000002,0.00068352727,0.034176361,-59.284557
0.56999999,0.00068565551,0.034282774,-63.117958
0.60000002,0.00067552703,0.03377635,-67.37056
0.63,0.00065958349,0.032979175,-70.964569
0.66000003,0.00064197858,0.032098927,-73.550163
0.69,0.00062411994,0.031205997,-75.310204
0.72000003,0.00060645951,0.030322976,-76.489029
0.75,0.00058915943,0.029457973,-77.276047
0.77999997,0.00057228218,0.028614108,-77.801239
0.81,0.00055585208,0.027792603,-78.151543
0.83999997,0.00053987576,0.026993789,-78.384293
0.87,0.00052435201,0.0262176,-78.537422
0.89999998,0.00050927477,0.025463739,-78.636215
0.93000001,0.00049463549,0.024731776,-78.69754
0.95999998,0.00048042438,0.024021218,-78.732773
0.99000001,0.00046663082,0.02333154,-78.749611
1.02,0.00045324396,0.022662198,-78.753296
1.05,0.00044025289,0.022012644,-78.747414
1.08,0.00042764659,0.02138233,-78.734512
1.11,0.0004154144,0.020770719,-78.716385
1.14,0.00040354603,0.020177301,-78.694305
1.17,0.00039203092,0.019601546,-78.669174
1.2,0.00038085858,0.01904293,-78.641609
1.23,0.00037001885,0.018500943,-78.612022
1.26,0.00035950198,0.017975099,-78.580681
1.29,0.00034929853,0.017464926,-78.547806
1.3200001,0.00033940023,0.016970012,-78.51368
1.35,0.00032979815,0.016489906,-78.478394
1.38,0.00032048396,0.016024198,-78.442093
1.41,0.00031144908,0.015572454,-78.404808
1.4400001,0.00030268502,0.015134251,-78.366562
1.47,0.00029418396,0.014709199,-78.327385
1.5,0.00028593821,0.014296911,-78.287292
1.53,0.00027794033,0.013897016,-78.2463
1.5599999,0.00027018302,0.013509152,-78.204414
1.59,0.00026265948,0.013132974,-78.161659
1.62,0.00025536297,0.012768148,-78.118042
1.65,0.00024828693,0.012414346,-78.07357
1.6799999,0.00024142509,0.012071255,-78.028244
1.71,0.00023477107,0.011738554,-77.982063
1.74,0.00022831898,0.011415949,-77.935028
1.77,0.0002220631,0.011103155,-77.887138
1.8,0.00021599706,0.010799853,-77.838379
1.83,0.00021011522,0.010505761,-77.788734
1.86,0.00020441253,0.010220626,-77.73822
1.89,0.00019888414,0.009944207,-77.686821
1.92,0.00019352566,0.0096762823,-77.634544
1.95,0.00018833323,0.0094166612,-77.581413
1.98,0.00018329985,0.0091649927,-77.527367
2.01,0.00017842223,0.008921111,-77.472443
2.04,0.00017369648,0.0086848242,-77.416634
2.0699999,0.00016911872,0.0084559359,-77.359947
2.0999999,0.00016468385,0.0082341926,-77.302361
2.1300001,0.00016038827,0.0080194138,-77.243889
2.1600001,0.00015622789,0.007811395,-77.184525
2.1900001,0.00015219874,0.0076099373,-77.12426
2.22,0.00014829775,0.0074148877,-77.063095
2.25,0.00014452083,0.007226042,-77.001022
2.28,0.00014086436,0.0070432178,-76.938026
2.3099999,0.00013732488,0.0068662441,-76.8741
2.3399999,0.00013389971,0.0066949851,-76.809265
2.3699999,0.00013058542,0.0065292711,-76.7435
2.4000001,0.00012737907,0.0063689533,-76.676811
2.4300001,0.00012427775,0.0062138876,-76.609184
2.46,0.00012127866,0.006063933,-76.540642
2.49,0.00011837923,0.0059189619,-76.471176
2.52,0.000115577,0.0057788501,-76.400795
2.55,0.00011286942,0.0056434711,-76.329498
2.5799999,0.0001102539,0.0055126948,-76.257278
2.6099999,0.00010772827,0.0053864135,-76.184151
2.6400001,0.0001052903,0.0052645151,-76.110107
2.6700001,0.00010293779,0.0051468895,-76.035149
2.7,0.00010066861,0.0050334302,-75.959267
2.73,9.8480683e-05,0.0049240342,-75.882462
2.76,9.6372001e-05,0.0048186001,-75.804718
2.79,9.4340758e-05,0.004717038,-75.726044
2.8199999,9.2385148e-05,0.0046192571,-75.646431
2.8499999,9.050333e-05,0.0045251665,-75.56588
2.8800001,8.8693596e-05,0.0044346801,-75.484375
2.9100001,8.6954409e-05,0.0043477206,-75.401924
2.9400001,8.5284228e-05,0.0042642113,-75.318535
2.97,8.3681545e-05,0.004184077,-75.234192
3.0,8.2144972e-05,0.0041072485,-75.148918
3.03,8.0673133e-05,0.0040336568,-75.062698
3.0599999,7.926477e-05,0.0039632386,-74.975533
3.0899999,7.7918667e-05,0.0038959333,-74.887436
3.1199999,7.6633689e-05,0.0038316844,-74.798416
3.1500001,7.5408687e-05,0.0037704343,-74.708435
3.1800001,7.4242649e-05,0.0037121323,-74.617508
3.21,7.3134586e-05,0.0036567291,-74.52562
3.24,7.2083574e-05,0.0036041788,-74.43277
3.27,7.1088776e-05,0.0035544389,-74.338936
3.3,7.0149385e-05,0.0035074691,-74.244102
3.3299999,6.9264635e-05,0.0034632317,-74.148254
3.3599999,6.8433852e-05,0.0034216924,-74.051369
3.3900001,6.765643e-05,0.0033828216,-73.953476
3.4200001,6.6931789e-05,0.0033465896,-73.854538
3.45,6.625941e-05,0.0033129705,-73.754539
3.48,6.5638829e-05,0.0032819414,-73.653458
3.51,6.5069667e-05,0.0032534832,-73.551277
3.54,6.4551699e-05,0.003227585,-73.447983
3.5699999,6.4084619e-05,0.0032042309,-73.343559
3.5999999,6.3668216e-05,0.0031834107,-73.237968
3.6300001,6.3302359e-05,0.0031651179,-73.131187
3.6600001,6.2987012e-05,0.0031493504,-73.023186
3.6900001,6.2722334e-05,0.0031361168,-72.913933
3.72,6.2508356e-05,0.0031254177,-72.803391
3.75,6.2345251e-05,0.0031172626,-72.691521
3.78,6.2233281e-05,0.003111664,-72.578278
