II,II_Va_Xa,IIa,IX,IX_TF_VIIa,IXa,TF_VIIa,V,VIII,VIIIa,VIIIa_IXa,Va,Va_Xa,X,X_TF_VIIa,X_VIIIa_IXa,Xa,mIIa,Time
1.4e-06,0.0,0.0,9e-08,0.0,0.0,5e-09,2e-08,7e-10,0.0,0.0,0.0,0.0,1.7e-07,0.0,0.0,0.0,0.0,0.0
1.3999999999999995e-06,5.962719013769406e-22,6.557311655780066e-40,8.964463251329994e-08,3.5479191652041765e-10,5.755702029410065e-13,4.039933341843658e-09,1.9999994505590795e-08,6.999999038478323e-10,9.615216692158502e-17,9.429996450930587e-25,5.4944054419186976e-15,3.1778032068796902e-21,1.6939082755831189e-07,6.052747646339905e-10,2.3543943182878126e-26,3.89767725490801e-12,2.561015630953489e-23,0.01
1.3999999999999508e-06,4.5586627985289103e-20,8.146864496638162e-36,8.942187031425397e-08,5.761320554388821e-10,1.997630132110181e-12,3.5293182462277634e-09,1.9999962351357017e-08,6.999993411484378e-10,6.588515147344319e-16,4.5472154812997155e-23,3.7648465983431265e-14,1.3142334241565285e-19,1.6909272151570482e-07,8.945494129901521e-10,2.309423963529992e-24,1.2729068591256752e-11,4.0945933231028765e-21,0.02
1.3999999999994381e-06,4.92752681777578e-19,1.676369489469149e-33,8.92767543253321e-08,7.192883688105527e-10,3.9573039026756445e-12,3.2532259967544633e-09,1.9999889633078207e-08,6.999980685762024e-10,1.9314233675583137e-15,3.994723887315882e-22,1.1036540126944834e-13,1.0277838474738102e-18,1.6894863461472104e-07,1.0274827116908746e-09,3.0944539779699166e-23,2.3882646082490617e-11,6.935791073390138e-20,0.03
1.3999999999970772e-06,2.4465851647063895e-18,6.392239472770448e-32,8.917878520000538e-08,8.149442219872672e-10,6.2705751628196505e-12,3.1008211984959226e-09,1.99997699360015e-08,6.999959738684307e-10,4.026129618906627e-15,1.7659053780142374e-21,2.300573937729001e-13,4.1581555149214305e-18,1.6887969581028693e-07,1.0842301207093783e-09,1.8486153922671633e-22,3.6074022757077876e-11,4.764299253163621e-19,0.04
1.3999999999899382e-06,8.042152527761417e-18,9.93018929100973e-31,8.911051485505326e-08,8.8066142835945e-10,8.823713516386047e-12,3.014523908096493e-09,1.999960050117385e-08,6.999930087355356e-10,6.991258358127978e-15,5.393490629284694e-21,3.994789180729152e-13,1.186593679831999e-17,1.6884650655173567e-07,1.104809549650438e-09,7.132134429173651e-22,4.868383323924808e-11,2.0195852669272478e-18,0.05
1.3999999999731016e-06,2.0542666682762853e-17,8.813313714622638e-30,8.90616159394439e-08,9.26840233174443e-10,1.1543824289539132e-11,2.964158219396793e-09,1.9999380308503562e-08,6.99989155314443e-10,1.084467036772075e-14,1.309512364611848e-20,6.196436123642323e-13,2.734141778272238e-17,1.6882958035129728e-07,1.1089964315316002e-09,2.0944099839807176e-21,6.14231238013106e-11,6.355912993444558e-18,0.06
1.3999999999392905e-06,4.4341412752668815e-17,5.384810003650378e-29,8.902575644914288e-08,9.59860930226493e-10,1.4382617522238206e-11,2.9337587361634497e-09,1.9999109131793206e-08,6.99984409631652e-10,1.5590336020762708e-14,2.722010676823289e-20,8.907692812248113e-13,5.458416757773327e-17,1.6881945937687465e-07,1.1063752301425283e-09,5.107578372442035e-21,7.416524867900874e-11,1.6368103676701686e-17,0.07
1.3999999998785432e-06,8.493500394489747e-17,2.517560926709653e-28,8.899891034244623e-08,9.83782500465133e-10,1.7307153936651282e-11,2.9147594075183527e-09,1.999878707739104e-08,6.999787735296213e-10,2.1226408876497572e-14,5.06102937208828e-20,1.2127392975776908e-12,9.837639086427659e-17,1.6881168550085223e-07,1.1014530187229007e-09,1.0892234187175407e-20,8.686125199770785e-11,3.652199193160443e-17,0.08
1.399999999777889e-06,1.488958134050661e-16,9.60041492707111e-28,8.897842477909387e-08,1.0012808205786997e-09,2.029439712936126e-11,2.9024624507443934e-09,1.999841436563809e-08,6.999722508420428e-10,2.7749050406705326e-14,8.655487195255081e-20,1.585321199281218e-12,1.6426682548229312e-16,1.6880425024360214e-07,1.0962516601097428e-09,2.0996020594740494e-20,9.949773804161943e-11,7.321518094762019e-17,0.09
