Time,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp,Hill,Bias,cell,complex_r1,complex_r2,complex_r3,complex_r4,complex_r5,complex_r6,complex_r7,complex_r8,complex_r9,complex_r10,complex_r11,complex_r12,phosphorylation_r1,phosphorylation_r2,phosphorylation_r3,phosphorylation_r4,phosphorylation_r5,phosphorylation_r6,phosphorylation_r7,phosphorylation_r8,phosphorylation_r9,phosphorylation_r10,phosphotransfer_r1,phosphotransfer_r2,phosphotransfer_r3,phosphotransfer_r4,phosphotransfer_r5,phosphotransfer_r6,phosphotransfer_r7,phosphotransfer_r8,phosphotransfer_r9,phosphotransfer_r10,phosphotransfer_r11,phosphotransfer_r12
0.0,2.5e-06,0.0,5e-06,0.0,0.0,0.0,0.0,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2e-05,2e-06,0.0,1.63e-06,4.0,1.0,1.41,-1.7625e-05,-1.7625e-05,0.0,0.0,0.0,0.0,-8.8125e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.001750000000001e-08,0.0,0.0,0.0,0.0,1.7484000000000003e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.33489321620492e-06,1.6508566865983738e-10,4.7575011484217344e-06,1.144377714772764e-07,5.8785174503482766e-12,2.824978054243196e-09,1.1591012060928422e-13,2.3336643092062176e-06,1.1581576734355847e-07,2.8467620696842545e-09,6.789450095274037e-10,3.429102059571743e-14,4.6882468592759546e-08,2.5080416183414005e-12,1.0511672008833583e-10,2.536165070495052e-12,9.999516373443745e-06,4.836265562630428e-10,2e-05,1.9999848031654594e-06,1.5196834541290722e-11,1.63e-06,4.0,0.9999999999999967,1.41,-1.565380294397531e-05,-1.566120005824262e-05,-9.223187187968943e-08,-1.8592857298378136e-08,-9.355508444527543e-09,-9.29210203408929e-09,-5.084990087765261e-06,3.146775571211965e-07,-4.554413977735271e-09,-7.766959290067937e-07,-7.672510508648513e-07,-3.144264770984401e-07,2.2973259175305797e-09,7.473292717107087e-08,3.662809751673186e-09,9.041907258216198e-11,1.5005671722484549e-09,2.1730992919943612e-11,1.7483154427329043e-08,2.5230797440242942e-11,6.819134443308904e-09,7.49963784612697e-12,2.793228289449103e-09,9.94637594870023e-11,1.961184338698908e-12,4.2435741735413526e-11,5.801996598469246e-13,4.2911586930155495e-11,6.98278606190035e-08,2.486492622294859e-09,4.902760979763994e-11,1.0608502965394585e-09,1.4504400206749563e-11,1.0727459414676496e-09
0.02,2.2050788114103326e-06,1.6292071223226615e-10,4.52890172367755e-06,2.10955414781813e-07,1.3171129999746984e-11,1.0274967475045255e-08,5.580851784330242e-13,2.1999670262508888e-06,2.160785073204127e-07,1.0441920646453392e-08,1.1892146828108458e-09,7.549674295988147e-14,7.160547942159231e-08,4.701123603203971e-12,6.902308506823239e-10,2.3024569000441714e-11,9.998901867839591e-06,1.098132160416987e-09,2e-05,1.9999621053650356e-06,3.7894634964591834e-11,1.63e-06,4.0,0.9999999999999117,1.41,-1.404733053664428e-05,-1.4078425996690454e-05,-1.5636645598528775e-07,-6.364906858381414e-08,-3.235661247883091e-08,-3.185018452973119e-08,-2.872177521107304e-06,5.472054001971993e-07,-7.594021702509931e-09,-1.3790712863723579e-06,-1.345631095868235e-06,-4.571414414531546e-07,1.508499524166219e-08,7.057795751681052e-08,6.752049960921488e-09,3.288708839737735e-10,2.2918765798469052e-09,3.806319435272674e-11,1.748208002573074e-08,5.728955480895421e-11,1.548366346187952e-08,1.8701002355026068e-11,2.7565662204449754e-09,2.2285129708143653e-10,9.442622303334152e-12,7.954150423952135e-11,1.2773806874851737e-12,3.895683260728607e-10,6.890789344581111e-08,5.570776177859992e-09,2.360441068679117e-10,1.988356912307987e-09,3.193161537354851e-11,9.73832317315358e-09
0.03,2.09879153717198e-06,1.5520928658795878e-10,4.31298454617461e-06,2.928454297304849e-07,1.9452074511878404e-11,2.109654135507558e-08,1.2714225067586475e-12,2.0882877102479893e-06,3.0302812590734006e-07,2.1599002875074364e-08,1.5353745221376323e-09,1.0414657813764038e-13,8.344957687214133e-08,5.832254069979109e-12,2.0205462900235435e-09,7.675778124865254e-11,9.998235904561925e-06,1.7640954380814235e-09,2e-05,1.999934887007455e-06,6.511299254541595e-11,1.63e-06,4.0,0.9999999999994119,1.41,-1.269796166314499e-05,-1.275970677252545e-05,-2.1931038315535607e-07,-1.233006254978622e-07,-6.359875959811814e-08,-6.205322231800676e-08,-1.5556702053467444e-06,6.771164200946537e-07,-9.337063265667448e-09,-1.84125120021725e-06,-1.7778492115343887e-06,-5.073362512044894e-07,4.4159039168464544e-08,6.717602073026356e-08,9.37310366938363e-09,6.75236999151904e-10,2.6709706069466273e-09,4.9142732330059196e-11,1.7480915655536068e-08,9.203285900470785e-11,2.4873745676948073e-08,3.213326182116277e-11,2.6260556311143828e-09,3.291183854506411e-10,2.1511768443745545e-11,9.867852613238302e-11,1.7621027323300797e-12,1.2986993762492295e-09,6.564194631774273e-08,8.226775980661678e-09,5.377168452386651e-10,2.466608261587785e-09,4.404623100572875e-11,3.246281370759153e-08
0.04,2.0088686506988847e-06,1.4822902748236247e-10,4.108885539630951e-06,3.625808450923607e-07,2.4804444493312844e-11,3.4331175612105505e-08,2.181674774016001e-12,1.9920916355943226e-06,3.7848885600392994e-07,3.5378340403253464e-08,1.773879228295502e-09,1.2387066028308983e-13,8.78508354648032e-08,6.311580662051681e-12,4.238837466246566e-09,1.726024422575427e-10,9.997420375348886e-06,2.5796246511205246e-09,2e-05,1.999898854932503e-06,1.0114506749717243e-10,1.63e-06,4.0,0.9999999999973112,1.41,-1.1539291993412302e-05,-1.1633867526738441e-05,-2.755875144833423e-07,-1.8967313413826255e-07,-9.953992170661832e-08,-9.629422754261556e-08,-7.745307692403715e-07,7.462788801229676e-07,-1.0276973024267378e-08,-2.1902369713534776e-06,-2.095684990122978e-06,-5.08797249682493e-07,9.26397928248187e-08,6.42978589029192e-08,1.1605125108871188e-08,1.098837937816661e-09,2.8118416907219558e-09,5.6776552460054137e-11,1.747948978425999e-08,1.3457901804895775e-10,3.63727075807994e-08,4.991509080985459e-11,2.5079083073095603e-09,4.196699759794356e-10,3.69120703450171e-11,1.067865440626819e-10,2.0957855774426225e-12,2.920285629284835e-09,6.268470415182456e-08,1.0489573406252562e-08,9.22610369152994e-10,2.6691099122144823e-09,5.238377276583408e-11,7.299199902046071e-08
0.05,1.9307791635895617e-06,1.4230661749297693e-10,3.915920087019616e-06,4.221065746375491e-07,2.9370006303153275e-11,4.9238403195960186e-08,3.2303870423712984e-12,1.9072577303384874e-06,4.440090841268945e-07,5.1033163225060095e-08,1.9391515392009478e-09,1.3751373586322812e-13,8.8031506462597e-08,6.4143505909266465e-12,7.407950228046014e-09,3.148884393176643e-10,9.996343119072513e-06,3.6568809274964395e-09,2e-05,1.999848734640982e-06,1.5126535901826823e-10,1.63e-06,4.0,0.9999999999891412,1.41,-1.0528537996120394e-05,-1.0655374621306073e-05,-3.2308460870969216e-07,-2.575760723025612e-07,-1.3776274967187265e-07,-1.3217436312136248e-07,-3.1422594670717885e-07,7.789963501005788e-07,-1.0706840870624821e-08,-2.4478957783623523e-06,-2.323557749277932e-06,-4.858764935028373e-07,1.6190075223394564e-07,6.179844868901111e-08,1.3510365134424035e-08,1.5759735710930977e-09,2.817624427348342e-09,6.206642331520474e-11,1.747760630938638e-08,1.9077947798748924e-10,5.156202107769981e-08,7.464945467551536e-11,2.407645857500154e-09,4.969029217072789e-10,5.465401481467487e-11,1.0852260352235811e-10,2.32655643379909e-12,5.327509428964388e-09,6.017368634909729e-08,1.241896953558168e-08,1.3659540230687569e-09,2.7122780893208666e-09,5.814703881170439e-11,1.3314910097833646e-07
0.06,1.8615946977648816e-06,1.3708342531323666e-10,3.733490183021304e-06,4.729872119143469e-07,3.32733363736636e-11,6.52448508900798e-08,4.3722179474575095e-12,1.8311190204406637e-06,5.009106118487515e-07,6.797096696779673e-08,2.0528988843676007e-09,1.4694729482853835e-13,8.589669011566607e-08,6.308408193233676e-12,1.1537216945777585e-08,5.049017936553947e-10,9.994894416797104e-06,5.105583202904154e-09,2e-05,1.999778917128991e-06,2.2108287100936189e-10,1.63e-06,4.0,0.9999999999587412,1.41,-9.636837553866035e-06,-9.793884002705207e-06,-3.6150272522117887e-07,-3.2365209776860765e-07,-1.76591535009898e-07,-1.680817081074403e-07,-4.661676841515294e-08,7.895505793074606e-07,-1.0806785717410488e-08,-2.6320068650500005e-06,-2.4805257739963212e-06,-4.519834994041536e-07,2.5214587634996915e-07,5.9584061491360566e-08,1.51389016917425e-08,2.088291942438784e-09,2.749295360532124e-09,6.57071345919538e-11,1.7475073398328056e-08,2.663582756955097e-10,7.198872316094858e-08,1.0910439684312008e-10,2.3191951607953478e-09,5.629226182887424e-10,7.396975004466066e-11,1.0672646762829731e-10,2.4860733839965267e-12,8.541993999980792e-09,5.795668352523467e-08,1.4067435371057181e-08,1.8485039406122714e-09,2.6670942629848205e-09,6.21269700680918e-11,2.1346441700989135e-07
0.07,1.7993728060603955e-06,1.3242478396142944e-10,3.5610436211848747e-06,5.165035758681597e-07,3.661403908076939e-11,8.190707045065637e-08,5.572197012410623e-12,1.7619014565845995e-06,5.503259425301962e-07,8.572340927821073e-08,2.129348012218715e-09,1.533623215970885e-13,8.256545884166216e-08,6.09161771333702e-12,1.6600464627111813e-08,7.419064465583049e-10,9.992974680165108e-06,7.025319834898045e-09,2e-05,1.9996837929527822e-06,3.162070472176468e-10,1.63e-06,4.0,0.9999999998520894,1.41,-8.843800947345736e-06,-9.028268790773162e-06,-3.91432980664272e-07,-3.858056379863993e-07,-2.1486865843826336e-07,-2.0294417088919547e-07,1.0505200000251924e-07,7.864902018887068e-07,-1.069142441985792e-08,-2.7570494516178855e-06,-2.581621512599715e-06,-4.14364111823875e-07,3.628031544255287e-07,5.759252540357508e-08,1.653172995281219e-08,2.6215996039141587e-09,2.6426726411450807e-09,6.815404182708442e-11,1.7471716930800676e-08,3.6651093578663096e-10,9.905700967206244e-08,1.5604817780190866e-10,2.240273093549106e-09,6.194115946052377e-10,9.426666720101391e-11,1.030538759523361e-10,2.5944802200942456e-12,1.2551072393210777e-08,5.597633080636762e-08,1.547685789949539e-08,2.355383440729636e-09,2.5749440404373155e-09,6.482668719664716e-11,3.136059537920057e-07
0.08,1.742773325144768e-06,1.2820523078063324e-10,3.3980571662431632e-06,5.53720834564542e-07,3.9475228514973886e-11,9.888296338184318e-08,6.80338356375399e-12,1.6983912072729302e-06,5.932313691760305e-07,1.0392186034872214e-07,2.178123678068585e-09,1.5756155285667574e-13,7.869267810585339e-08,5.821714875265282e-12,2.2548917305114336e-08,1.0238702759251575e-09,9.990498095377787e-06,9.501904622220795e-09,2e-05,1.9995579439745e-06,4.420560255000544e-10,1.63e-06,4.0,0.9999999995050316,1.41,-8.134381817029537e-06,-8.343101302562284e-06,-4.138799286938468e-07,-4.4281509907418955e-07,-2.518073420015699e-07,-2.360700753442423e-07,1.8712301458874264e-07,7.74975632444642e-07,-1.043570795167641e-08,-2.8348384144690984e-06,-2.638799472692587e-06,-3.76829518427032e-07,4.928065877032738e-07,5.5780945817908594e-08,1.7722942751907297e-08,3.1649470089626547e-09,2.5187165481340496e-09,6.97152045639412e-11,1.7467386869958523e-08,4.957143641412588e-10,1.3397685517331322e-07,2.1815464858427681e-10,2.1687530436585837e-09,6.677732372515672e-10,1.150878066458512e-10,9.848164367526963e-11,2.6653522265887735e-12,1.732005600476383e-08,5.417928301929762e-08,1.6682155360912914e-08,2.875096759664711e-09,2.460245467085105e-09,6.658520805433e-11,4.3268560195732026e-07
0.09,1.6908473456203545e-06,1.2435465260522276e-10,3.2440208736845326e-06,5.855311575667652e-07,4.1926155607449765e-11,1.1590989535064263e-07,8.045131557049441e-12,1.6397110051816377e-06,6.304689379128694e-07,1.222777749502627e-07,2.206133799086046e-09,1.6010884339043205e-13,7.465805351945354e-08,5.532244931422056e-12,2.9320299204122016e-08,1.3479753552168522e-09,9.98739435689891e-06,1.2605643101097507e-08,2e-05,1.9993962711304172e-06,6.037288695830059e-10,1.63e-06,4.0,0.9999999984668139,1.41,-7.496907277554498e-06,-7.726672303149594e-06,-4.298810039006819e-07,-4.940558439048764e-07,-2.8689154054593584e-07,-2.67036087591418e-07,2.2780030869232266e-07,7.583438838949895e-07,-1.0090683814506113e-08,-2.874998460703741e-06,-2.6615900080990175e-06,-3.412808405989339e-07,6.407951391060867e-07,5.411895099127069e-08,1.8741095760239453e-08,3.709928020488019e-09,2.3895803189971495e-09,7.061172450734708e-11,1.7461960293602056e-08,6.576364005842569e-10,1.7773956772547487e-07,2.979401971392134e-10,2.1034455749424428e-09,7.091764130997591e-10,1.3608253506386882e-10,9.357732804288136e-11,2.708223866845594e-12,2.2800858163816478e-08,5.253570982541316e-08,1.771240801162909e-08,3.398800834016183e-09,2.3371897095235444e-09,6.764066772431309e-11,5.694748095859065e-07
