AA,AAp,B,Bp,SetYp,TT,TTAA,TTAAp,TTW,TTWAA,TTWAAp,TTWW,TTWWAA,TTWWAAp,W,WAA,WAAp,WWAA,WWAAp,Y,Yp,Z,Time
2.5e-06,0.0,2e-06,0.0,1.63e-06,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,1e-05,0.0,2e-05,0.0
2.33489321620492e-06,1.6508566865983738e-10,1.9999848031654594e-06,1.5196834541290722e-11,1.63e-06,2.3336643092062176e-06,4.6882468592759546e-08,2.5080416183414005e-12,1.1581576734355847e-07,6.789450095274037e-10,3.429102059571743e-14,2.8467620696842545e-09,1.0511672008833583e-10,2.536165070495052e-12,4.7575011484217344e-06,1.144377714772764e-07,5.8785174503482766e-12,2.824978054243196e-09,1.1591012060928422e-13,9.999516373443745e-06,4.836265562630428e-10,2e-05,0.01
2.2050788114103326e-06,1.6292071223226615e-10,1.9999621053650356e-06,3.7894634964591834e-11,1.63e-06,2.1999670262508888e-06,7.160547942159231e-08,4.701123603203971e-12,2.160785073204127e-07,1.1892146828108458e-09,7.549674295988147e-14,1.0441920646453392e-08,6.902308506823239e-10,2.3024569000441714e-11,4.52890172367755e-06,2.10955414781813e-07,1.3171129999746984e-11,1.0274967475045255e-08,5.580851784330242e-13,9.998901867839591e-06,1.098132160416987e-09,2e-05,0.02
2.09879153717198e-06,1.5520928658795878e-10,1.999934887007455e-06,6.511299254541595e-11,1.63e-06,2.0882877102479893e-06,8.344957687214133e-08,5.832254069979109e-12,3.0302812590734006e-07,1.5353745221376323e-09,1.0414657813764038e-13,2.1599002875074364e-08,2.0205462900235435e-09,7.675778124865254e-11,4.31298454617461e-06,2.928454297304849e-07,1.9452074511878404e-11,2.109654135507558e-08,1.2714225067586475e-12,9.998235904561925e-06,1.7640954380814235e-09,2e-05,0.03
2.0088686506988847e-06,1.4822902748236247e-10,1.999898854932503e-06,1.0114506749717243e-10,1.63e-06,1.9920916355943226e-06,8.78508354648032e-08,6.311580662051681e-12,3.7848885600392994e-07,1.773879228295502e-09,1.2387066028308983e-13,3.5378340403253464e-08,4.238837466246566e-09,1.726024422575427e-10,4.108885539630951e-06,3.625808450923607e-07,2.4804444493312844e-11,3.4331175612105505e-08,2.181674774016001e-12,9.997420375348886e-06,2.5796246511205246e-09,2e-05,0.04
1.9307791635895617e-06,1.4230661749297693e-10,1.999848734640982e-06,1.5126535901826823e-10,1.63e-06,1.9072577303384874e-06,8.8031506462597e-08,6.4143505909266465e-12,4.440090841268945e-07,1.9391515392009478e-09,1.3751373586322812e-13,5.1033163225060095e-08,7.407950228046014e-09,3.148884393176643e-10,3.915920087019616e-06,4.221065746375491e-07,2.9370006303153275e-11,4.9238403195960186e-08,3.2303870423712984e-12,9.996343119072513e-06,3.6568809274964395e-09,2e-05,0.05
1.8615946977648816e-06,1.3708342531323666e-10,1.999778917128991e-06,2.2108287100936189e-10,1.63e-06,1.8311190204406637e-06,8.589669011566607e-08,6.308408193233676e-12,5.009106118487515e-07,2.0528988843676007e-09,1.4694729482853835e-13,6.797096696779673e-08,1.1537216945777585e-08,5.049017936553947e-10,3.733490183021304e-06,4.729872119143469e-07,3.32733363736636e-11,6.52448508900798e-08,4.3722179474575095e-12,9.994894416797104e-06,5.105583202904154e-09,2e-05,0.06
1.7993728060603955e-06,1.3242478396142944e-10,1.9996837929527822e-06,3.162070472176468e-10,1.63e-06,1.7619014565845995e-06,8.256545884166216e-08,6.09161771333702e-12,5.503259425301962e-07,2.129348012218715e-09,1.533623215970885e-13,8.572340927821073e-08,1.6600464627111813e-08,7.419064465583049e-10,3.5610436211848747e-06,5.165035758681597e-07,3.661403908076939e-11,8.190707045065637e-08,5.572197012410623e-12,9.992974680165108e-06,7.025319834898045e-09,2e-05,0.07
1.742773325144768e-06,1.2820523078063324e-10,1.9995579439745e-06,4.420560255000544e-10,1.63e-06,1.6983912072729302e-06,7.869267810585339e-08,5.821714875265282e-12,5.932313691760305e-07,2.178123678068585e-09,1.5756155285667574e-13,1.0392186034872214e-07,2.2548917305114336e-08,1.0238702759251575e-09,3.3980571662431632e-06,5.53720834564542e-07,3.9475228514973886e-11,9.888296338184318e-08,6.80338356375399e-12,9.990498095377787e-06,9.501904622220795e-09,2e-05,0.08
1.6908473456203545e-06,1.2435465260522276e-10,1.9993962711304172e-06,6.037288695830059e-10,1.63e-06,1.6397110051816377e-06,7.465805351945354e-08,5.532244931422056e-12,6.304689379128694e-07,2.206133799086046e-09,1.6010884339043205e-13,1.222777749502627e-07,2.9320299204122016e-08,1.3479753552168522e-09,3.2440208736845326e-06,5.855311575667652e-07,4.1926155607449765e-11,1.1590989535064263e-07,8.045131557049441e-12,9.98739435689891e-06,1.2605643101097507e-08,2e-05,0.09
1.6429003083984312e-06,1.2081341734570387e-10,1.999194060400773e-06,8.059395992274538e-10,1.63e-06,1.5852120287595333e-06,7.067163382343982e-08,5.24202717632481e-12,6.627643202013814e-07,2.218250789165171e-09,1.614016949904525e-13,1.405674239975706e-07,3.684483889535885e-08,1.710954148488887e-09,3.0984408687291915e-06,6.126866712329019e-07,4.402511611174156e-11,1.3278830081633405e-07,9.281777485722626e-12,9.983608842640704e-06,1.639115735930356e-08,2e-05,0.1
1.5984014791215551e-06,1.1754208296920635e-10,1.998947023632647e-06,1.0529763673541098e-09,1.63e-06,1.5343997052912908e-06,6.68467567953462e-08,4.961363296732944e-12,6.907490397753888e-07,2.2181947735461416e-09,1.617365193545512e-13,1.586189293280239e-07,4.504984720649431e-08,2.109344561531354e-09,2.9608434670914227e-06,6.358281177658752e-07,4.582158487894822e-11,1.493681043316494e-07,1.050155190435936e-11,9.979102127623289e-06,2.0897872376719172e-08,2e-05,0.11
1.5569345701360264e-06,1.1450684689358063e-10,1.9986513091038343e-06,1.3486908961665654e-09,1.63e-06,1.4868743192154155e-06,6.323807866874694e-08,4.695454107211238e-12,7.149678299871867e-07,2.208744706857752e-09,1.6133685904384213e-13,1.7630219506847433e-07,5.3862595506244796e-08,2.5396517147104077e-09,2.8307653069685265e-06,6.554996214388707e-07,4.735757538662153e-11,1.6553845393845084e-07,1.1695762530317907e-11,9.973848846621215e-06,2.615115337879357e-08,2e-05,0.12
1.518164471400452e-06,1.1168015018175185e-10,1.998303498377435e-06,1.6965016225655514e-09,1.63e-06,1.4423099967291156e-06,5.986675770668574e-08,4.4465394857929644e-12,7.358941707153214e-07,2.192057918808182e-09,1.6037195482023527e-13,1.9352041032236164e-07,6.321245099931996e-08,2.9984628255364705e-09,2.7077674531026732e-06,6.721677826689925e-07,4.866891014443842e-11,1.8121920683775374e-07,1.2858116926912691e-11,9.967836314402155e-06,3.216368559785406e-08,2e-05,0.13
1.481812986325231e-06,1.0904158234798756e-10,1.9979005910273173e-06,2.099408972683322e-09,1.63e-06,1.4004316469832632e-06,5.673524562347045e-08,4.215170390681725e-12,7.539399516949693e-07,2.1698402398738846e-09,1.5897588502488698e-13,2.1020335859827376e-07,7.303206742728092e-08,3.4825169675376695e-09,2.591429663970628e-06,6.862328058531302e-07,4.9786279902277485e-11,1.9635444636676118e-07,1.3984202044710802e-11,9.961062989846817e-06,3.893701015319157e-08,2e-05,0.14
1.4476479698312404e-06,1.06572931781469e-10,1.997439982158847e-06,2.5600178411534313e-09,1.63e-06,1.3610035362685288e-06,5.3835119906320324e-08,4.0009329314320115e-12,7.694645432021188e-07,2.1434379286360733e-09,1.572540529698553e-13,2.263020615653353e-07,8.325816963046431e-08,3.988744625333006e-09,2.4813543925905707e-06,6.980393440831009e-07,5.073597979432053e-11,2.109072861761155e-07,1.5071076179992757e-11,9.95353690151407e-06,4.6463098485937576e-08,2e-05,0.15
1.415468914632484e-06,1.0425803957467456e-10,1.9969194370087164e-06,3.080562991284389e-09,1.63e-06,1.3238200861934703e-06,5.1152440649823886e-08,3.802896269165219e-12,7.827796190162988e-07,2.1138904296491977e-09,1.5528765323742863e-13,2.4178451679157215e-07,9.383190414141923e-08,4.5142901940592895e-09,2.3771625209311207e-06,7.078841250915834e-07,5.1540586120040476e-11,2.2485577571470654e-07,1.611694097027693e-11,9.945274153948348e-06,5.472584605165977e-08,2e-05,0.16
1.3851020132366706e-06,1.0208317807431246e-10,1.996337064347332e-06,3.6629356526691055e-09,1.63e-06,1.2887001225798147e-06,4.8670986414549215e-08,3.619899969869385e-12,7.941572195234374e-07,2.082042057486612e-09,1.5314144301445738e-13,2.5663210933949077e-07,1.0469899161431e-07,5.056518311711539e-09,2.278496216855227e-06,7.160233574732257e-07,5.221949957199849e-11,2.3818960349740248e-07,1.7120885938192136e-11,9.93629755127452e-06,6.370244872548862e-08,2e-05,0.17
