Time,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c,Knadph,k1,kminus1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,kminus13,k14,k15,k16,k17,k18,V,L,Ko,phagosome,cytoplasm,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13a,R13b,R14,R15,R16,R17,R18,R19
0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.0363140602578005e-13,299.9999998833718,9.068945688748813e-13,299.99999999999363,6.558835976445506e-12,6.464179729062665e-12,7.715925145665555e-09,-1.7244740832421334e-18,0.016844322292133986,0.2499999936781491,0.1232876938872201,6.3218508173040236e-09,1.0230543571506763e-10,4.3110979960924066e-17,3.885804840336709e-12,-1.6834522588384118e-23,1.2466034114807032e-14,300.0,1.1662075527281407e-07,7.303861995933425e-35,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,3.001871204204499e-09,2.720683706624586e-09,7.87060317173444e-12,4.629555085599544e-05,5.953550085351402e-16,8.99837018116015e-17,3.0821922692398604e-07,2.657526650300243e-15,7.549739628592097e-20,3.1165084498933484e-13,1.1151339559147178e-30,250.0,125.0,0.05547946224924904,-3.193301147852584,-3.063054129271255e-09,-6.366462912410498e-11,6.451713694947857e-11,1.5424078681650437e-08,2.428518338204808e-05
0.02,1.62009489095336e-12,299.9999982523182,7.57196169852753e-12,299.9999999998918,1.1158574065147726e-10,1.0836099739809853e-10,5.5794085839622654e-08,-1.882957700758127e-16,0.060878654206834575,0.4999999089858635,0.24380140906050835,9.10141307078801e-08,8.050723317507717e-10,5.836393159619078e-15,5.8204484028613e-11,-7.776034150924714e-21,4.2211572399382503e-13,299.9999999999996,1.747562423308229e-06,2.724768953628508e-30,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,2.3862249444215288e-08,2.27158850955744e-08,1.3390288878172444e-10,0.00033476451308752975,3.112980014679181e-14,9.750364785615831e-15,1.2190068234087944e-06,7.114604380731219e-13,1.693880980518533e-17,2.1105782357841438e-11,2.0438091068189022e-26,250.0,125.0,0.10971063407722875,-5.487682645610213,-2.4103567105794554e-08,-1.07775122160092e-09,1.0793888167410472e-09,1.1147176271118808e-07,0.00017129567517437351
0.03,5.405328610248032e-12,299.9999919260035,2.567558133661236e-11,299.9999999994534,5.712820088978907e-10,5.467619263345036e-10,1.6644148692740564e-07,-2.6163731541969425e-15,0.12444383251424758,0.7499995851365956,0.36230780718110356,4.148633079289369e-07,2.6762199687839355e-09,9.652827196865809e-14,2.6878127957650275e-10,-2.551662727357132e-19,3.1676405015407543e-12,299.9999999999969,8.0733994936348e-06,1.1388545032354972e-27,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,7.959074325406675e-08,7.702674400969672e-08,6.855384106762198e-10,0.000998648894687474,2.7702768570605746e-13,1.34374861627954e-13,2.717307050775773e-06,1.748647327397285e-11,3.6121688125391063e-16,2.3757290620174433e-10,5.590624373553135e-24,250.0,125.0,0.1630385132314966,-7.135919240005679,-8.012443920521062e-08,-5.434685590444133e-09,5.4359428583296275e-09,3.323454112956583e-07,0.0005067509145727306
0.04,1.2656880664521108e-11,299.9999768794616,6.060999168567749e-11,299.99999999829834,1.8037247389895245e-09,1.701818335790495e-09,3.467101574583192e-07,-1.5735136953811742e-14,0.20203295349218434,0.9999988199009546,0.47935794723792213,1.1800983700805276e-06,6.255004789290568e-09,6.757907838414315e-13,7.693806438735173e-10,-2.8560841041986793e-18,1.2902468453948135e-11,299.9999999999872,2.3118673996242472e-05,7.591206863754587e-26,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,1.8633781581835257e-07,1.8182997505600108e-07,2.164469686775152e-09,0.002080260784427405,1.2020793328477249e-12,8.015479101464776e-13,4.793573815480662e-06,1.6197284145226748e-10,2.95973287583614e-15,1.290245322775743e-09,2.7401591011500984e-22,250.0,125.0,0.21571107625706495,-8.319749812372134,-1.872704372587814e-07,-1.688886186457239e-08,1.688915867336547e-08,6.918815536288914e-07,0.001051224464707771
0.05,2.4424619499804074e-11,299.9999489567922,1.175323251502983e-10,299.999999995926,4.379184435876127e-09,4.074199254093165e-09,5.948540691383907e-07,-6.007057032325921e-14,0.28968694305370674,1.249997404954836,0.5953478818758647,2.5950422222549237e-06,1.2057269826679395e-08,2.9423194539579663e-12,1.698100862146073e-09,-1.7794609490339012e-17,3.759128308587025e-11,299.99999999996254,5.103871110813607e-05,1.840418037491606e-24,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,3.595523553027974e-07,3.525969754461066e-07,5.255021322979988e-09,0.0035691238075651476,3.5385136357050133e-12,3.036058498625353e-12,7.4418330739018915e-06,8.758518273580131e-10,1.441773269010618e-14,4.698900630626044e-09,5.194346261483704e-21,250.0,125.0,0.2679065468441391,-9.16982816466474,-3.6098535621538777e-07,-4.036564860143699e-08,4.036607971007294e-08,1.1863119365524894e-06,0.0017991701753899845
0.06,4.171793241392359e-11,299.9999042486918,2.014004435617029e-10,299.9999999917307,9.011869048319151e-09,8.269472873057597e-09,9.050065736358757e-07,-1.7269782029078602e-13,0.3845597687206853,1.4999951445240713,0.7105622329024165,4.855466477140751e-06,2.0578975192819004e-08,9.451951935210298e-12,3.1853232317546445e-09,-7.676173862556975e-17,8.851101450722165e-11,299.99999999991167,9.574209500854547e-05,2.3390123779652714e-23,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,6.140875607549449e-07,6.042013306684543e-07,1.0814242857684894e-08,0.005430037708703987,8.190368983241479e-12,8.664722535640422e-12,1.0658398992358069e-05,3.3581000361846724e-09,5.073142045377926e-14,1.3276609199773212e-08,5.3603637231315417e-20,250.0,125.0,0.3197530048060874,-9.780073925451935,-6.161177178121525e-07,-8.180995791917667e-08,8.180961858550375e-08,1.8036425008082422e-06,0.0027328598162350837
0.07,6.551060320554293e-11,299.9998392473507,3.169971953827332e-10,299.9999999850155,1.6552650107510084e-08,1.4984703653544876e-08,1.269981829281323e-06,-4.095968872027666e-13,0.48460568505660623,1.7499918629880868,0.8252055246634472,8.136987364024038e-06,3.229859162943467e-08,2.4550292227203213e-11,5.349602783654658e-09,-2.5760595999337485e-16,1.7973458516275692e-10,299.99999999982043,0.00016073577964692236,1.8938539286907087e-22,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,9.64272684200794e-07,9.509915861006993e-07,1.986318012801997e-08,0.0076198868926290655,1.6128538467047357e-11,2.0413151946695817e-11,1.4441029534538473e-05,1.0129518388995089e-08,1.430912497144283e-13,3.1453406153236394e-08,3.6163010906464474e-19,250.0,125.0,0.3713424860985512,-10.21799518820523,-9.669924307868738e-07,-1.4804891179664992e-07,1.4804969068382118e-07,2.529264452995337e-06,0.0038307071300205295
0.08,9.674416649576704e-11,299.99975087715546,4.689470662803034e-10,299.9999999750034,2.7982477147944844e-08,2.4996751890115424e-08,1.6827112965291693e-06,-8.461742841165842e-13,0.588354303042061,1.9999874063404928,0.9394247107267877,1.2593605026931958e-05,4.7678746705615276e-08,5.448139452710097e-11,8.298277477298357e-09,-7.210687248580766e-16,3.272449551981776e-10,299.9999999996729,0.00024909439303823027,1.0993852429679096e-21,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,1.4239623625331506e-06,1.4068411987236895e-06,3.3578972574735946e-08,0.01009625939513852,2.8315173074668777e-11,4.1915394906750695e-11,1.8788375906586356e-05,2.559058414680691e-08,3.443070454511859e-13,6.544857891848139e-08,1.7809334097705766e-18,250.0,125.0,0.4227411198270544,-10.532112230541799,-1.4274600761735853e-06,-2.4669543563504703e-07,2.4669506934917246e-07,3.348826038103742e-06,0.005071525163100361
0.09,1.3633026869413555e-10,299.99963646620915,6.617278701481407e-10,299.99999996084824,4.440628931357312e-08,3.9151920422099487e-08,2.1368600761641997e-06,-1.5766185154378391e-12,0.694748862016855,2.2499816407310074,1.0533253658340183,1.8359161894951392e-05,6.716738321204486e-08,1.0709847277088343e-10,1.2130528876243484e-08,-1.7608537236508989e-15,5.478641213486281e-10,299.99999999945226,0.0003634887227426762,4.9388693075131254e-21,60.0,50.0,58.0,10.0,0.004,20.0,10.0,0.1,1e-06,50.0,500.0,10.0,60.0,25.0,12.5,0.045,30.0,30.0,10.0,10.0,2.0,288.0,550.0,1.5,1.0,10.0,2.0065713359104718e-06,1.985183610185344e-06,5.328754716933341e-08,0.012821144920568319,4.5661709851044694e-11,7.76724539764743e-11,2.369962734842813e-05,5.640476900582771e-08,7.35748654086885e-13,1.2326842146496381e-07,6.882049721913395e-18,250.0,125.0,0.47399641462530817,-10.757295114514896,-2.0109315883005217e-06,-3.8604002838837914e-07,3.860405630075086e-07,4.249459094575913e-06,0.006436346015698111
