T,C,CA_ER,C_T,H
0.0,0.086540997,196.7798,36.490841,0.625512
1.0,0.086541496,196.7798,36.490841,0.625512
2.0,0.086541496,196.7798,36.490841,0.625512
3.0,0.086541496,196.7798,36.490841,0.625512
4.0,0.086541496,196.7798,36.490841,0.625512
5.0,0.086541496,196.7798,36.490841,0.625512
6.0,0.086541496,196.7798,36.490841,0.625512
7.0,0.086541496,196.7798,36.490841,0.625512
8.0,0.086541496,196.7798,36.490841,0.62551206
9.0,0.086541496,196.7798,36.490841,0.62551206
10.0,0.086541496,196.7798,36.490841,0.62551206
11.0,0.086541496,196.7798,36.490841,0.62551206
12.0,0.086541496,196.7798,36.490841,0.62551206
13.0,0.086541496,196.7798,36.490841,0.62551206
14.0,0.086541496,196.7798,36.490841,0.62551206
15.0,0.086541496,196.7798,36.490841,0.62551206
16.0,0.086541496,196.7798,36.490841,0.62551206
17.0,0.086541496,196.7798,36.490841,0.62551206
18.0,0.086541496,196.7798,36.490841,0.62551206
19.0,0.086541496,196.7798,36.490841,0.62551206
20.0,0.086541496,196.7798,36.490841,0.62551206
21.0,0.086541496,196.7798,36.490841,0.62551206
22.0,0.086541496,196.7798,36.490841,0.62551206
23.0,0.086541496,196.7798,36.490841,0.62551206
24.0,0.086541496,196.7798,36.490841,0.62551206
25.0,0.086541496,196.7798,36.490841,0.62551212
26.0,0.086541496,196.7798,36.490841,0.62551212
27.0,0.086541496,196.7798,36.490841,0.62551212
28.0,0.086541496,196.7798,36.490841,0.62551212
29.0,0.086541496,196.7798,36.490841,0.62551212
30.0,0.086541496,196.7798,36.490841,0.62551212
31.0,0.086541496,196.7798,36.490841,0.62551212
32.0,0.086541496,196.7798,36.490841,0.62551212
33.0,0.086541496,196.7798,36.490841,0.62551212
34.0,0.086541496,196.7798,36.490841,0.62551212
35.0,0.086541496,196.7798,36.490841,0.62551212
36.0,0.086541496,196.7798,36.490841,0.62551212
37.0,0.086541496,196.7798,36.490841,0.62551212
38.0,0.086541496,196.7798,36.490841,0.62551212
39.0,0.086541496,196.7798,36.490841,0.62551212
40.0,0.086541496,196.7798,36.490841,0.62551212
41.0,0.086541496,196.7798,36.490841,0.62551212
42.0,0.086541496,196.7798,36.490841,0.62551212
43.0,0.086541496,196.7798,36.490841,0.62551212
44.0,0.086541496,196.7798,36.490841,0.62551212
45.0,0.086541496,196.7798,36.490841,0.62551218
46.0,0.086541496,196.7798,36.490841,0.62551218
47.0,0.086541496,196.7798,36.490841,0.62551218
48.0,0.086541496,196.7798,36.490841,0.62551218
49.0,0.086541496,196.7798,36.490841,0.62551218
50.0,0.086541496,196.7798,36.490841,0.62551218
51.0,0.086541496,196.7798,36.490841,0.62551218
52.0,0.086541496,196.7798,36.490841,0.62551218
53.0,0.086541496,196.7798,36.490841,0.62551218
54.0,0.086541496,196.7798,36.490841,0.62551218
55.0,0.086541496,196.7798,36.490841,0.62551218
56.0,0.086541496,196.7798,36.490841,0.62551218
57.0,0.086541496,196.7798,36.490841,0.62551218
58.0,0.086541496,196.7798,36.490841,0.62551218
59.0,0.086541496,196.7798,36.490841,0.62551218
60.0,0.086541496,196.7798,36.490841,0.62551218
