data_set_value_component_Test_variable_t,data_set_value_component_Test_variable_S,data_set_value_component_Test_variable_P1,data_set_value_component_Test_variable_P2,data_set_value_component_Test_variable_k_f,data_set_value_component_Test_variable_k_b,data_set_value_component_MassActionUniBiRev_variable_J
0.0,2.0,1.0,0.0,10.0,3.0,20.0
0.1,0.9845919857104636,2.0154080142895365,1.015408014289537,10.0,3.0,3.706535507785765
0.2,0.8216149097505177,2.1783850902494843,1.1783850902494826,10.0,3.0,0.5152195639898798
0.30000000000000004,0.7994379138496591,2.2005620861503434,1.2005620861503412,10.0,3.0,0.06864491194058164
0.4,0.7964919156935789,2.203508084306424,1.2035080843064214,10.0,3.0,0.009099777043779511
0.5,0.7961015733534414,2.203898426646561,1.203898426646559,10.0,3.0,0.0012061885485490365
0.6000000000000001,0.7960499428879998,2.203950057112003,1.2039500571120005,10.0,3.0,0.00016203748401899531
0.7000000000000001,0.7960432843242248,2.2039567156757784,1.2039567156757756,10.0,3.0,2.737655250939497e-05
0.8,0.7960421299668744,2.2039578700331286,1.2039578700331257,10.0,3.0,4.031125254932988e-06
0.9,0.796041854433407,2.203958145566596,1.203958145566593,10.0,3.0,-1.5411941696186204e-06
1.0,0.7960418110875994,2.2039581889124036,1.2039581889124005,10.0,3.0,-2.41780889975729e-06
