E,E_M,E_M1,E_P1,E_P2,E_P21,E_P_1,E_P_2,M,M1,P,P2,P21,T,Time
0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.896436224362177e-05,1.0475072327041863e-09,3.3771903531852695e-20,0.0,1.2293834703980565e-12,3.714170450710345e-32,5.676744741466992e-05,4.266345784819524e-06,3.118523744824118e-05,3.732038348113305e-15,0.9999069501418705,8.282538254377842e-07,2.192012816929553e-18,1.5090098767028316e-09,0.01
8.113989640931751e-05,3.474848400950656e-09,3.297475485590428e-19,0.0,6.127048992252798e-12,4.311115810894149e-31,6.304420683530129e-05,5.810025626614239e-06,8.146487427677208e-05,2.1180826770430275e-14,0.9998471816320911,2.4879294306002247e-06,1.3884066533895446e-17,7.729666680567435e-09,0.02
7.995771034057258e-05,6.316056648872176e-09,1.1831981897527485e-18,0.0,1.4898284827875473e-11,1.800507678903724e-30,6.344957215728391e-05,6.582061895194167e-06,0.000133666085939207,5.4732784640662165e-14,0.9997917739447155,4.501966301926521e-06,3.900343144957693e-17,1.9908446940598842e-08,0.03
7.968201953706484e-05,9.267721889690616e-09,2.827246490697185e-18,0.0,2.7039439538586235e-11,4.922287264705356e-30,6.329325657745343e-05,7.008990044327496e-06,0.0001858691794327453,1.045815256876326e-13,0.9997370773056848,6.70346430106037e-06,7.94284507585129e-17,3.8379316119278244e-08,0.04
7.957300461073694e-05,1.2238814767116284e-08,5.421937830362793e-18,0.0,4.182805945450403e-11,1.064924705450205e-29,6.315541143670688e-05,7.250648960311687e-06,0.00023793672204175208,1.706942097877716e-13,0.999682571598528,9.010028667111562e-06,1.3618591840575936e-16,6.317956466044008e-08,0.05
7.951625689512724e-05,1.5210015611106842e-08,9.074747013747949e-18,0.0,5.859062501657035e-11,1.9874806522418675e-29,6.306948597106614e-05,7.3880616727431515e-06,0.0002899066647201172,2.530333902852179e-13,0.9996281498842637,1.137622309811405e-05,2.0985556664884315e-16,9.428126538252446e-08,0.06
7.948427108357093e-05,1.8179409645960003e-08,1.3858307056901147e-17,0.0,7.678129633169385e-11,3.351607015946275e-29,6.301804453519537e-05,7.4661962818654755e-06,0.00034181493530446893,3.5157410233604966e-13,0.9995737744562304,1.3776323370569937e-05,3.0076687871594953e-16,1.3165757526877488e-07,0.07
7.946577462108285e-05,2.1147631375387244e-08,1.9821889545924467e-17,0.0,9.598446869887375e-11,5.250392328877988e-29,6.298688219238178e-05,7.510544113720275e-06,0.0003936836839493072,4.663003731328785e-13,0.9995194265375648,1.619568619483063e-05,4.091071016157646e-16,1.7529175257583055e-07,0.08
7.945493310037049e-05,2.411519761177837e-08,2.6998946928793192e-17,0.0,1.1589495090893846e-10,7.777714644005526e-29,6.29673266770289e-05,7.5356196392127045e-06,0.00044552576351722373,5.972015693734411e-13,0.9994650957883476,1.862596561397937e-05,5.349824676634647e-16,2.2517433729855276e-07,0.09
7.94483861859955e-05,2.7082377122408478e-08,3.541216043140691e-17,0.0,1.3629389760990453e-10,1.1027893223452716e-28,6.295445687596125e-05,7.549708829129876e-06,0.0004973484992503381,7.44270132309732e-13,0.9994107762880068,2.106239753184663e-05,6.784530991701327e-16,2.8129989572057966e-07,0.1
7.944430510473024e-05,3.004916744452964e-08,4.507685489930699e-17,0.0,1.570269769729937e-10,1.5095489066223662e-28,6.294537522777847e-05,7.557540785558634e-06,0.0005491561088924379,9.075002504125374e-13,0.9993564647109038,2.3502261655297235e-05,8.395528138806035e-16,3.436652408268803e-07,0.11
7.944165039284094e-05,3.301553575775966e-08,5.60032839575302e-17,0.0,1.7798679417316017e-10,2.0075186781062725e-28,6.293844861490473e-05,7.561789706226838e-06,0.0006009509757900785,1.0868871287924333e-12,0.9993021591731028,2.5944019802749214e-05,1.0183002107152846e-15,4.122681732988809e-07,0.12
7.943979557010949e-05,3.598146958981461e-08,6.819832013222868e-17,0.0,1.9909946673449472e-10,2.6061735007236875e-28,6.293276885414849e-05,7.563991188163246e-06,0.0006527344568625056,1.2824265378599767e-12,0.9992478585748938,2.838678913063717e-05,1.2147054504685431e-15,4.871070061177604e-07,0.13
