Time,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1,k1,k2,k9,k3,k3a,k4,k4a,k5,k6,k10,k7,k7a,k8,k8a,kC1,kC2,j1,j3,j3a,j5,j7,j7a,compartment,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16
0.0,0.00015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.013769999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.000774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,8.896436224362177e-05,5.676744741466992e-05,0.9999069501418705,3.118523744824118e-05,3.732038348113305e-15,3.3771903531852695e-20,1.0475072327041863e-09,1.5090098767028316e-09,4.266345784819524e-06,8.282538254377842e-07,2.192012816929553e-18,3.714170450710345e-32,1.2293834703980565e-12,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.006270135778780508,0.004677637666968802,9.729794083851248e-13,1.2649901425119573e-17,4.201239874532509e-07,1.2867095245635877e-18,2.198717681446087e-07,0.00036600705596219035,0.00013780296884967062,5.9882751579151795e-16,1.3182745106501964e-29,3.463198120711885e-10,2.2247880999754966e-34,5.237173583895721e-11,1.3567419932106112e-10,1.3225671932940524e-07
0.02,8.113989640931751e-05,6.304420683530129e-05,0.9998471816320911,8.146487427677208e-05,2.1180826770430275e-14,3.297475485590428e-19,3.474848400950656e-09,7.729666680567435e-09,5.810025626614239e-06,2.4879294306002247e-06,1.3884066533895446e-17,4.311115810894149e-31,6.127048992252798e-12,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005341827692687769,0.005194842643228827,2.541704077435289e-12,6.547904390862417e-17,1.0007799492078513e-06,1.2563381600099532e-17,7.293706793595427e-07,0.0002919593245325335,0.0001876638277396399,1.7987729783239625e-15,7.615489629038079e-29,9.487904175016912e-10,2.582358370725595e-33,2.610122870699692e-10,1.5067565433637008e-10,1.801107944250414e-07
0.03,7.995771034057258e-05,6.344957215728391e-05,0.9997917739447155,0.000133666085939207,5.4732784640662165e-14,1.1831981897527485e-18,6.316056648872176e-09,1.9908446940598842e-08,6.582061895194167e-06,4.501966301926521e-06,3.900343144957693e-17,1.800507678903724e-30,1.4898284827875473e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005219373695434534,0.005228244745760194,4.1703818813032586e-12,1.6673733828096816e-16,1.618008108075566e-06,4.507985102957972e-17,1.3257402905982696e-06,0.00026900692576447454,0.00021260059921477157,3.2549216362928745e-15,2.1081905500340453e-28,1.6918441161081834e-09,1.0785040996633306e-32,6.346669336674952e-10,1.5164447745590853e-10,2.0404391875101916e-07
0.04,7.968201953706484e-05,6.329325657745343e-05,0.9997370773056848,0.0001858691794327453,1.045815256876326e-13,2.827246490697185e-18,9.267721889690616e-09,3.8379316119278244e-08,7.008990044327496e-06,6.70346430106037e-06,7.94284507585129e-17,4.922287264705356e-30,2.7039439538586235e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005198891394421466,0.005215364341982163,5.799118398301653e-12,3.174974748264599e-16,2.2420658568654876e-06,1.0771809129556276e-16,1.9452948246460605e-06,0.00025825513475478696,0.0002263903784317781,4.846604689666647e-15,4.2784170906141705e-28,2.5104834757455214e-09,2.948450071558508e-32,1.1518801243437736e-09,1.512708832201137e-10,2.1727869137415239e-07
0.05,7.957300461073694e-05,6.315541143670688e-05,0.999682571598528,0.00023793672204175208,1.706942097877716e-13,5.421937830362793e-18,1.2238814767116284e-08,6.317956466044008e-08,7.250648960311687e-06,9.010028667111562e-06,1.3618591840575936e-16,1.064924705450205e-29,4.182805945450403e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005193092329713812,0.005204005902384647,7.423625727702666e-12,5.174989999613862e-16,2.8661368111020173e-06,2.065758313368224e-16,2.568927219617708e-06,0.0002524022214012737,0.00023419596141806748,6.5142507263216595e-15,7.325624553661044e-28,3.3696876349270382e-09,6.378898985646727e-32,1.7818753327618718e-09,1.5094143333372942e-10,2.247701177696623e-07
0.06,7.951625689512724e-05,6.306948597106614e-05,0.9996281498842637,0.0002899066647201172,2.530333902852179e-13,9.074747013747949e-18,1.5210015611106842e-08,9.428126538252446e-08,7.3880616727431515e-06,1.137622309811405e-05,2.0985556664884315e-16,1.9874806522418675e-29,5.859062501657035e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005190357197266637,0.00519692564401585,9.045087939267656e-12,7.665821989370427e-16,3.489608510477341e-06,3.457478612237969e-16,3.1925822767713262e-06,0.00024909156956571637,0.00023863439202960376,8.225009299936458e-15,1.1280364103514393e-27,4.2515934298091855e-09,1.1905009106928786e-31,2.495960625705897e-09,1.5073607147084806e-10,2.290299118550377e-07
0.07,7.948427108357093e-05,6.301804453519537e-05,0.9995737744562304,0.00034181493530446893,3.5157410233604966e-13,1.3858307056901147e-17,1.8179409645960003e-08,1.3165757526877488e-07,7.4661962818654755e-06,1.3776323370569937e-05,3.0076687871594953e-16,3.351607015946275e-29,7.678129633169385e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005188743376788556,0.005192686869700099,1.066462598149943e-11,1.0646896669590627e-15,4.112726822405778e-06,5.280014988679337e-16,3.815858084687005e-06,0.0002472009481969738,0.00024115813990425485,9.960281796922064e-15,1.6160615616178173e-27,5.146502757827695e-09,2.0076126025518183e-31,3.2708832237301578e-09,1.5061312643911694e-10,2.3145208473782974e-07
0.08,7.946577462108285e-05,6.298688219238178e-05,0.9995194265375648,0.0003936836839493072,4.663003731328785e-13,1.9821889545924467e-17,2.1147631375387244e-08,1.7529175257583055e-07,7.510544113720275e-06,1.619568619483063e-05,4.091071016157646e-16,5.250392328877988e-29,9.598446869887375e-11,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005187690481712508,0.005190119092652259,1.2282930939218386e-11,1.411792434287083e-15,4.735671091653612e-06,7.552139916997223e-16,4.438887825693783e-06,0.000246116479390619,0.00024259057487316485,1.1709481118862545e-14,2.197676860508709e-27,6.048910367076444e-09,3.1449850049979144e-31,4.088938366572022e-09,1.5053864843979244e-10,2.3282686752532853e-07
0.09,7.945493310037049e-05,6.29673266770289e-05,0.9994650957883476,0.00044552576351722373,5.972015693734411e-13,2.6998946928793192e-17,2.411519761177837e-08,2.2517433729855276e-07,7.5356196392127045e-06,1.862596561397937e-05,5.349824676634647e-16,7.777714644005526e-29,1.1589495090893846e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005186952576148537,0.005188507718187182,1.3900403821737381e-11,1.807868226611979e-15,5.358520478256823e-06,1.0286598779870207e-15,5.0617799787122806e-06,0.0002454916426467787,0.00024340051434657033,1.3466573138907084e-14,2.873472941290761e-27,6.9556437206004055e-09,4.65885107175931e-31,4.937124908720778e-09,1.5049191075809908e-10,2.3360420881559383e-07
0.1,7.94483861859955e-05,6.295445687596125e-05,0.9994107762880068,0.0004973484992503381,7.44270132309732e-13,3.541216043140691e-17,2.7082377122408478e-08,2.8129989572057966e-07,7.549708829129876e-06,2.106239753184663e-05,6.784530991701327e-16,1.1027893223452716e-28,1.3629389760990453e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.00518638557047401,0.005187447246579207,1.551727317661055e-11,2.2528933642795617e-15,5.981290409308476e-06,1.3492033124366035e-15,5.68459095799354e-06,0.0002451284658199203,0.00024385559518089498,1.522811341552511e-14,3.64377545854826e-27,7.864851792213938e-09,6.605708040848176e-31,5.8061200381819335e-09,1.504611519335474e-10,2.3404097370302616e-07
0.11,7.944430510473024e-05,6.294537522777847e-05,0.9993564647109038,0.0005491561088924379,9.075002504125374e-13,4.507685489930699e-17,3.004916744452964e-08,3.436652408268803e-07,7.557540785558634e-06,2.3502261655297235e-05,8.395528138806035e-16,1.5095489066223662e-28,1.570269769729937e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.0051859183813747645,0.005186698918768946,1.7133670597444063e-11,2.7468471189591317e-15,6.603980711966823e-06,1.7174281716635965e-15,6.307320246606771e-06,0.0002449144191117503,0.00024410856737354386,1.69921351767799e-14,4.508763836395406e-27,8.7754637973772e-09,9.042197950667972e-31,6.689349219049532e-09,1.5043944679439053e-10,2.3428376435231766e-07
