Bub3_BubR1,Bub3_BubR1_Cdc20,Cdc20,Cdc20_CMad2,MCC,Mad1_CMad2,Mad1_CMad2_OMad2,OMad2,Time
1.3e-07,0.0,2.2e-07,0.0,0.0,5e-08,0.0,1.3e-07,0.0
1.2999713976756868e-07,2.855955783872257e-12,2.1999666255445832e-07,4.772138955864543e-13,4.277793913687182e-15,4.99872165576157e-08,1.2783442384299178e-11,1.2998673506646194e-07,0.01
1.2999427714295978e-07,5.706851893496281e-12,2.1999308943847376e-07,1.1877068486592677e-12,1.6008276358799414e-14,4.997469982538027e-08,2.5300174619723575e-11,1.299734961115473e-07,0.02
1.2999140927995886e-07,8.552194400806301e-12,2.1998926246933047e-07,2.1468150529601267e-12,3.8531037900142973e-14,4.9962470541721316e-08,3.752945827868498e-11,1.2996028519758675e-07,0.03
1.2998853144563378e-07,1.1391785327276535e-11,2.199851811293003e-07,3.350321722747647e-12,7.677402005502044e-14,4.99505295807643e-08,4.947041923568831e-11,1.2994710248581097e-07,0.04
1.2998564254279622e-07,1.4225621985825562e-11,2.1998084736618856e-07,4.795182291376659e-12,1.3183735147967714e-13,4.9938874808517195e-08,6.11251914827974e-11,1.299339477865872e-07,0.05
1.2998272638385796e-07,1.7053671924731368e-11,2.1997629148955842e-07,6.434900757253134e-12,2.199462700502994e-13,4.99274729849063e-08,7.25270150936935e-11,1.2992081813490907e-07,0.06
1.2997979038573786e-07,1.987596280712054e-11,2.1997150025326223e-07,8.290139658708166e-12,3.336539957954102e-13,4.9916338615681525e-08,8.36613843184673e-11,1.2990771481898099e-07,0.07
1.2997683694245556e-07,2.2692503562046943e-11,2.1996646938173253e-07,1.0367568412409842e-11,4.705568705743938e-13,4.9905476382982535e-08,9.452361701745727e-11,1.2989463825460712e-07,0.08
1.2997386605401104e-07,2.5503294189510575e-11,2.1996119887496926e-07,1.266718701835816e-11,6.306548943872503e-13,4.989488628680933e-08,1.051137131906634e-10,1.2988158844178754e-07,0.09
1.2997087230026964e-07,2.830834313228456e-11,2.199557001825045e-07,1.5172125888591936e-11,8.193598104585352e-13,4.988455573730107e-08,1.1544426269892417e-10,1.2986856424849616e-07,0.1
1.299678358609517e-07,3.110768126379446e-11,2.1995001517284195e-07,1.7820696527938614e-11,1.0564612127339354e-12,4.987443869601441e-08,1.2556130398558147e-10,1.2985556153515453e-07,0.11
1.2996477188281085e-07,3.39012849904191e-11,2.1994411184986853e-07,2.0660041582825948e-11,1.3268357977883842e-12,4.986457034575047e-08,1.3542965424952336e-10,1.2984258346524855e-07,0.12
1.2996168036584707e-07,3.6689154312158506e-11,2.1993799021358427e-07,2.3690161053253933e-11,1.6304835656218824e-12,4.985495068650925e-08,1.450493134907498e-10,1.298296300387782e-07,0.13
1.2995856131006033e-07,3.9471289229012644e-11,2.199316502639892e-07,2.6911054939222577e-11,1.9674045162344297e-12,4.984557971829073e-08,1.5442028170926082e-10,1.298167012557435e-07,0.14
