Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,k3f,kf6,k5f,k5r,k2f,k1f,k1r,k4f,k4r,u,const_val_0,const_val_1,Cytoplasm,R1,R2,R3,R4,R5,R6
0.0,5e-08,1.3e-07,0.0,2.2e-07,0.0,1.3e-07,0.0,0.0,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.3e-09,0.0,0.0,0.0,2.86e-10,2.86e-11
0.01,4.99872165576157e-08,1.2998673506646194e-07,1.2783442384299178e-11,2.1999666255445832e-07,4.772138955864543e-13,1.2999713976756868e-07,4.277793913687182e-15,2.855955783872257e-12,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2969783266000703e-09,2.8123146605030262e-11,4.772138955864543e-15,6.202788589575086e-13,2.8541817774813116e-10,2.8596647890972203e-11
0.02,4.997469982538027e-08,1.299734961115473e-07,2.5300174619723575e-11,2.1999308943847376e-07,1.1877068486592677e-12,1.2999427714295978e-07,1.6008276358799414e-14,5.706851893496281e-12,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2940172557620167e-09,5.565863577925853e-11,1.1877068486592676e-14,1.5436307669648663e-12,2.848370560013097e-10,2.8593270954698746e-11
0.03,4.9962470541721316e-08,1.2996028519758675e-07,3.752945827868498e-11,2.1998926246933047e-07,2.1468150529601267e-12,1.2999140927995886e-07,3.8531037900142973e-14,8.552194400806301e-12,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2911214924998887e-09,8.256077847601418e-11,2.1468150529601268e-14,2.7899045212191612e-12,2.8425670366830907e-10,2.8589867290920955e-11
0.04,4.99505295807643e-08,1.2994710248581097e-07,4.947041923568831e-11,2.199851811293003e-07,3.350321722747647e-12,1.2998853144563378e-07,7.677402005502044e-14,1.1391785327276535e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2882912334832847e-09,1.0882759136105316e-10,3.350321722747647e-14,4.3534985257026244e-12,2.836771492825397e-10,2.858643687756888e-11
0.05,4.9938874808517195e-08,1.299339477865872e-07,6.11251914827974e-11,2.1998084736618856e-07,4.795182291376659e-12,1.2998564254279622e-07,1.3183735147967714e-13,1.4225621985825562e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2855259920815979e-09,1.3446371417806304e-10,4.795182291376659e-14,6.230411765514735e-12,2.8309839352286286e-10,2.858297993572755e-11
0.06,4.99274729849063e-08,1.2992081813490907e-07,7.25270150936935e-11,2.1997629148955842e-07,6.434900757253134e-12,1.2998272638385796e-07,2.199462700502994e-13,1.7053671924731368e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2828182245027807e-09,1.5954223813117925e-10,6.434900757253135e-14,8.35986051897214e-12,2.8252044669128423e-10,2.857949976060667e-11
0.07,4.9916338615681525e-08,1.2990771481898099e-07,8.36613843184673e-11,2.1997150025326223e-07,8.290139658708166e-12,1.2997979038573786e-07,3.336539957954102e-13,1.987596280712054e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2801712194750352e-09,1.8403120221797997e-10,8.290139658708166e-14,1.076883307115789e-11,2.8194330237612897e-10,2.8575994923204195e-11
0.08,4.9905476382982535e-08,1.2989463825460712e-07,9.452361701745727e-11,2.1996646938173253e-07,1.0367568412409842e-11,1.2997683694245556e-07,4.705568705743938e-13,2.2692503562046943e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.2775860369347795e-09,2.0792026308521126e-10,1.0367568412409842e-13,1.3466026352883981e-11,2.8136695852396153e-10,2.857246496848326e-11
0.09,4.989488628680933e-08,1.2988158844178754e-07,1.051137131906634e-10,2.1996119887496926e-07,1.266718701835816e-11,1.2997386605401104e-07,6.306548943872503e-13,2.5503294189510575e-11,0.01,1000.0,10000.0,0.2,10000000.0,200000.0,0.2,10000000.0,0.02,1.0,0.0,1.0,1.0,1.275062674572499e-09,2.312093837161799e-10,1.266718701835816e-13,1.6451419590164167e-11,2.8079141515864726e-10,2.856890990544094e-11
