Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,compartment_1,compartment_2,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10
0.0,300.0,0.0,1199.99994221325,0.0,0.0,1199.99994221325,0.0,0.0,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,299.85000938178,0.1499906182200324,1199.999935016439,7.1968070922777025e-06,3.593532622049801e-12,1199.99994221325,8.192404067664349e-17,5.727705577168312e-34,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.99812441397148,9.502737545277525e-07,0.00143933419724749,1.3077746538820851e-09,1.2244786106454155e-16,5.129281632764433e-11,3.4484119456806945e-14,3.5666616581653986e-31,1.0841184405139697e-38,3.24368864009367e-22
0.02,299.7000375347325,0.2999624652676528,1199.999913427181,2.8786015124665136e-05,5.3438263607307874e-11,1199.99994221325,2.1816876415268803e-15,3.889451163143693e-31,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.996247655277722,1.9006184381830383e-06,0.0028784882561821937,1.0461101822633137e-08,1.820963475931215e-15,2.0517172909504133e-10,5.128022087490058e-13,1.4124525477539692e-28,7.361806067958154e-36,8.638142630937231e-21
0.03,299.5500844706156,0.4499155293845405,1199.9998774472815,6.476570028286309e-05,2.676799149167235e-10,1199.99994221325,1.594319750734367e-14,1.849713140156183e-29,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.994369723010065,2.8510339893891048e-06,0.004317462056861669,3.5302464616957904e-08,9.121871961689875e-15,4.6163669636641845e-10,2.5686996983238433e-12,5.170352685694748e-27,3.5010671305570456e-34,6.312526756978899e-20
0.04,299.40015020120285,0.5998497987972821,1199.9998270785497,0.00011513385708616178,8.426024529476267e-10,1199.99994221325,6.619955827964678e-14,3.324927401618667e-28,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.992490616259222,3.8015203464132935e-06,0.0057562554792017035,8.367092388842914e-08,2.871509112538288e-14,8.206870983504479e-10,8.085749232873343e-12,6.757822298576785e-26,6.293297067918054e-33,2.621095871848025e-19
0.05,299.2502347382398,0.7497652617603189,1199.9997623227903,0.00017988840623681443,2.0527917015318806e-09,1199.9999422132498,2.0031056459943852e-13,2.8772388638137246e-27,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.990610334114745,4.752077447639268e-06,0.0071948684033884885,1.6340205039797707e-07,6.996029954222511e-14,1.282321793220509e-09,1.9698920728090816e-11,4.9817014303643075e-25,5.445929250892869e-32,7.931068148510543e-19
0.06,299.1003380934843,0.8996619065158604,1199.9996831818098,0.0002590271918507037,4.247732780673056e-09,1199.9999422132496,4.943406760602394e-13,1.6507256921747647e-26,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.988728875665537,5.702705231312899e-06,0.008633300709493993,2.8232785398567637e-07,1.4477156392301606e-13,1.846539097251694e-09,4.0761929843222235e-11,2.5439729669791982e-24,3.1244314615359367e-31,1.9572855418110587e-18
0.07,298.9504602787049,1.0495397212952633,1199.9995896574162,0.0003525479750666724,7.858429059426498e-09,1199.999942213249,1.0626671470230557e-12,7.477835111230606e-26,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.9868462399998,6.653403635550882e-06,0.01007155227748924,4.4827670514156377e-07,2.678435052063008e-13,2.5133367391357227e-09,7.54107545219749e-11,1.0117237571745695e-23,1.4153765405302461e-30,4.207509566495466e-18
0.08,298.80060130567955,1.1993986943206871,1199.999481751418,0.00046044843582342343,1.339587605104576e-08,1199.999942213248,2.0653283705060747e-12,2.7865277707235396e-25,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.984962426205055,7.604172598351153e-06,0.011509622987260246,6.69073261507138e-07,4.565999000653823e-13,3.282711872513313e-09,1.2854899024385128e-10,3.351885602862652e-23,5.274235329820485e-30,8.177432878847944e-18
0.09,298.6507611861946,1.3492388138055817,1199.9993594656257,0.0005827261755762113,2.144841320315166e-08,1199.9999422132462,3.715033851111309e-12,8.913050414621009e-25,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,0.06,0.06,24.3,108.6,1.0,1.0,14.98307743336811,8.55501205759588e-06,0.012947512718612744,9.525383978745273e-07,7.311040202173663e-13,4.154661095210255e-09,2.05822437374881e-10,9.653546657217346e-23,1.6870288636914995e-29,1.4709254925733153e-17
