Time,s2,s4,s7,s15,s19,s21,s22,s23,s25,s27,s26,s28,s32,s29,s24,s35,s37,s38,s39,s40,s1,s18,s41,s42,s48,s53,s60,s63,s64,s65,s67,s75,s76,s77,s81,s82,kcatp_r8,kM_r8_s15,kcatn_r8,kM_r8_s19,kM_r8_s63,kcatp_r9,kM_r9_s7,kcatn_r9,kM_r9_s22,kass_r10,kdiss_r10,kI_r10_s25,kcatp_r11,kM_r11_s32,kcatn_r11,kM_r11_s26,kM_r11_s28,kass_r13,kdiss_r13,kcatp_r16,kcatn_r16,kM_r16_s39,ki_r16_s39,kass_r17,kdiss_r17,kcatp_r18,kcatn_r18,kM_r18_s4,ki_r18_s4,kass_r21,kdiss_r21,kI_r21_s2,kcatp_r25,kM_r25_s53,kcatn_r25,kM_r25_s60,kM_r25_s15,kcatp_r26,kM_r26_s25,kcatn_r26,kM_r26_s64,kcatp_r28,kcatn_r28,kM_r28_s41,ki_r28_s41,kcatp_r29,kM_r29_s67,kcatn_r29,kM_r29_s18,kM_r29_s15,kass_r30,kass_r31,kdiss_r31,kass_re16,kdiss_re16,kI_re16_s81,default,c1,c5,r30,r31,r8,r9,r10,r11,r13,r16,r17,r18,r21,r25,r26,r28,r29,re16
0.0,5.0,5.0,5.0,5.0,0.0,0.5,0.0,0.5,0.64,0.5,5.0,5.0,0.0,0.5,0.0,0.0,0.0,0.6,0.5,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,5.0,5.0,0.0,0.0,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,0.0,0.0,0.0,0.625,0.0,-0.0,0.0,0.0,0.0,3.4246575342465744,0.0,0.0,0.045128205128205125,0.0,0.0,0.1
0.01,5.0,4.9658709336953235,4.993133037062905,4.999998363015144,2.069238161664223e-06,0.5,0.006183462322236519,0.5,0.6395492151180255,0.49999999998692535,4.999999999980192,4.999999999993268,6.705602692340002e-12,0.49999999998692535,8.384493727409896e-09,1.3073275437271266e-11,4.184745428916726e-12,0.6,0.4999999999958027,1.2547074185610105e-14,4.9658709336953235,3.5765669768664093e-07,0.03315588754088545,5.0,4.999710321851068,0.0002896035523239179,7.459660890407372e-08,2.060836396020294e-06,0.00045078488197437334,0.33,0.0006831429581608398,2.7551687938344085e-14,4.999010130979234,4.999010130979234,0.0,0.0009898690207666553,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,1.3075925250063003e-11,6.639267731732315e-13,0.0004124452372502946,0.6118190877214763,2.5138549725124387e-06,-2.6873377331393634e-09,5.214162028461821e-09,1.6752248332504376e-09,6.258297532096673e-12,3.4012666239082723,0.05728161794399111,2.2241780444878255e-05,0.04502880815145159,0.13407856640061894,0.00010585526301579642,0.09798067111699876
0.02,5.0,4.931972564385632,4.985128250211556,4.9999951140389065,8.221139541602851e-06,0.5,0.012238784094239934,0.5,0.6390994231001117,0.499999999793299,4.9999999996864455,4.999999999893149,1.060215343814225e-10,0.499999999793299,6.640943363022992e-08,2.0666120603840842e-10,6.617261573983784e-11,0.6,0.49999999993343075,3.965982919380006e-13,4.931972564385632,2.7492105451564244e-06,0.0642613624638094,5.0,4.998866892543644,0.0011325214884526102,5.859679031079936e-07,8.154456837732094e-06,0.0009005768998882228,0.33,0.0026302164836591326,8.70060540529103e-13,4.998040250631495,4.998040250631495,0.0,0.0019597493685059877,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,2.0674199204377387e-10,9.626245251054257e-12,0.0008165608046053977,0.5993592701781039,9.949518224027722e-06,-2.128507488087791e-08,4.109257356989677e-08,1.32554167977005e-08,9.866402617184977e-11,3.3785069732067985,0.1108043570082569,8.683148667497049e-05,0.04492963223249603,0.2535603403074877,0.00040149765869075917,0.09600212665071818
0.03,5.0,4.898298899320384,4.976114432383019,4.999992490496209,1.837324684528745e-05,0.5,0.01817281614783572,0.5,0.6386506217381868,0.49999999896602804,4.999999998429385,4.999999999463359,5.303990979128466e-10,0.49999999896602804,2.2190967786098167e-07,1.0336944583506087e-09,3.310901805655299e-10,0.6,0.49999999966593484,2.9749526515188117e-12,4.898298899320384,8.921455781191492e-06,0.09349409284220342,5.0,4.9975057436317325,0.002492314080996021,1.9422872723994896e-06,1.8149969130224742e-05,0.0013493782618133874,0.33,0.005703830013363609,6.520303532560003e-12,4.997089955246763,4.997089955246763,0.0,0.0029100447532378945,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,1.0342782409300507e-09,4.3812588144163476e-11,0.0012125140418421056,0.5875502997881629,2.2150981229402235e-05,-7.11248967401721e-08,1.3662615912922453e-07,4.4249489651014967e-08,4.921728418710167e-10,3.356316057293369,0.1608732525785379,0.0001907468142084314,0.044830676870307694,0.36044366119641463,0.0008574243793554972,0.0940635425768366
0.04,5.0,4.8648445302802035,4.966202886325463,4.999992424256966,3.2444760008807525e-05,0.5,0.023991756807292024,0.5,0.6382028088291829,0.49999999677096435,4.9999999950883485,4.999999998317385,1.6565672294874992e-09,0.49999999677096435,5.20804669636494e-07,3.227968297627042e-09,1.0342325197694006e-09,0.6,0.4999999989533839,1.2383592412806575e-11,4.8648445302802035,2.0346387599007633e-05,0.12101015050377045,5.0,4.995660037651221,0.0043354397194038516,4.522629376071973e-06,3.191967968728744e-05,0.001797191170817291,0.33,0.009785010479647232,2.7115584149566478e-11,4.996158849271675,4.996158849271675,0.0,0.0038411507283261028,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,3.2303060975006235e-09,1.2330708807035433e-10,0.0016004690620289152,0.5763316085121214,3.896596378900152e-05,-1.669245735270109e-07,3.1904697740356115e-07,1.0374718667019527e-07,1.532773391034891e-09,3.334639245900576,0.20775812306622993,0.00033118628833886697,0.04473194156503287,0.456373242985294,0.0014480684149568916,0.09216411153197045
0.05,5.0,4.831604561574525,4.955490474656987,4.999996580027382,5.035650413942083e-05,0.5,0.029701239919759946,0.5,0.6377559821750254,0.49999999221013763,4.999999988134663,4.999999995924528,3.996759516072073e-09,0.49999999221013763,1.0071566831203004e-06,7.786910547069009e-09,2.4956804823936037e-09,0.6,0.49999999746698764,3.733186061140872e-11,4.831604561574525,3.825746808483724e-05,0.14694754394533222,5.0,4.993360390943112,0.006630929993451118,8.67906343648945e-06,4.933902458146682e-05,0.0022440178249746945,0.33,0.014770027955169938,8.166439533737097e-11,4.995246545144603,4.995246545144603,0.0,0.004753454855397828,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,7.793681056340543e-09,2.6495128941405354e-10,0.0019805867936053155,0.5656506177285949,6.024583556401743e-05,-3.228066288575594e-07,6.138990847482383e-07,2.0043286154833914e-07,3.6875229326732928e-09,3.313428464769855,0.25169923228484187,0.0005055468448548929,0.04463342581799209,0.5427162948573921,0.002151200183446344,0.09030304247632072
0.06,5.0,4.798574549975198,4.944062023012216,5.000006388135083,7.203089789107693e-05,0.5,0.03530640780277748,0.5,0.6373101395826208,0.4999999840382912,4.9999999756540525,4.9999999916157645,8.19029336748815e-09,0.4999999840382912,1.72322745765651e-06,1.595510792495275e-08,5.115151077457841e-09,0.6,0.4999999947930836,9.176536464076447e-11,4.798574549975198,6.368049328613502e-05,0.1714290266862538,5.0,4.9906351458464595,0.00935011561385183,1.4738539688186568e-05,7.028650180808095e-05,0.0026898604173794223,0.33,0.020567888691722148,2.0054367825020205e-10,4.99435266313408,4.99435266313408,0.0,0.005647336865920227,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,1.597107206660189e-08,4.764435793719971e-10,0.002353025025091637,0.555461401053627,8.584553893828292e-05,-5.523164916182472e-07,1.0451068711770771e-06,3.4259883715647634e-07,7.535078569225613e-09,3.2926411384286824,0.2929117880716674,0.000711404822626474,0.04453512913167709,0.6206195830134982,0.002947443086098242,0.08847956036317746
0.07,5.0,4.765750454120866,4.931992235985135,5.000023072745941,9.739192229716068e-05,0.5,0.04081197220745485,0.5,0.6368652788638441,0.49999997077874714,4.999999955368171,4.999999984589425,1.4995488986151597e-08,0.49999997077874714,2.709533265099874e-06,2.9208559964554727e-08,9.367071660301318e-09,0.6,0.49999999043699184,1.959365878317605e-10,4.765750454120866,9.746006849479381e-05,0.19456435654208626,5.0,4.987510602470364,0.012466392929892014,2.3004599743417142e-05,9.464360477088994e-05,0.003134721136156059,0.33,0.02709833173891712,4.2777861357700986e-10,4.9934768311804945,4.9934768311804945,0.0,0.006523168819506585,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,2.9241203522995612e-08,7.509135708964903e-10,0.0027179384518005415,0.545723615113436,0.00011562351321942341,-8.684401455532069e-07,1.6350409577019993e-06,5.381583559036774e-07,1.3756702608704335e-08,3.2722393451831255,0.3315895609107417,0.0009464996688800316,0.044437051009747854,0.6910528185802091,0.0038198764970826782,0.0866929058151324
0.08,5.0,4.733128591499949,4.919347243089175,5.000047676323576,0.0001263650900785377,0.5,0.04622226570085136,0.5,0.6364213978355285,0.4999999507386244,4.9999999246553335,4.99999997391671,2.5281916612060006e-08,0.4999999507386244,4.004898451678152e-06,4.923963171849088e-08,1.5795869195497427e-08,0.6,0.49999998382674293,3.7738789611357945e-10,4.733128591499949,0.00014028247795554405,0.21645213519395298,5.0,4.984011217903877,0.015955023160423226,3.375893569851504e-05,0.00012229475699420444,0.00357860216447162,0.33,0.03429020873202041,8.231162016002271e-10,4.992618684740982,4.992618684740982,0.0,0.007381315259018217,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,4.929973739351701e-08,1.0619473413165444e-09,0.0030754787240469543,0.5364016362864129,0.00014944162018863493,-1.2836212898397187e-06,2.404581737926411e-06,7.946581344233622e-07,2.312772194907577e-08,3.2521891333466377,0.3679078315795909,0.0012087198214312683,0.04433919095702976,0.7548420849409903,0.004753706423296952,0.08494233480686268
0.09,5.0,4.700705601632626,4.906185855935626,5.000081080934673,0.00015887741543932875,0.5,0.05154128523107035,0.5,0.635978494319453,0.49999992202343324,4.999999880570457,4.999999958547023,4.002296110125611e-08,0.49999992202343324,5.646507494337819e-06,7.794267814977615e-08,2.5011466394218465e-08,0.6,0.49999997431668236,6.7185130773326e-10,4.700705601632626,0.00019269553313660837,0.23718131814739382,5.0,4.980159778613324,0.01979295856969932,4.726281697540454e-05,0.00015312724806052562,0.004021505680547187,0.33,0.04208016330016887,1.4639031350528495e-09,4.9917778666374755,4.9917778666374755,0.0,0.00822213336252622,0.5,1.0,1.5,2.0,1.5,1.5,1.0,0.04,0.05,2.0,0.01,1.0,0.5,1.0,0.5,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.5,1.25,1.5,0.5,1.7,1.0,1.61,1.71,1.48,1.64,1.28,1.86,1.61,1.78,0.15,1.87,1.95,0.055,2.0,0.004,2.0,0.00594,1.0,1.0,1.0,7.804477414744941e-08,1.3590410281319893e-09,0.0034257944964473258,0.5274638575873264,0.00018716507100142687,-1.8097780234487337e-06,3.3731806426285493e-06,1.1192905347205049e-06,3.650942262972781e-08,3.2324599637489766,0.40202581233684526,0.0014960903817846961,0.044241548479510624,0.8126958832393741,0.005735990030058737,0.0832271183543547
