data_set_T_with_pico,data_set_EXC2_with_pico,data_set_FV1_with_pico,data_set_FV2_with_pico,data_set_FV3_with_pico,data_set_FV4_with_pico,data_set_H1_with_pico,data_set_H2_with_pico,data_set_H3_with_pico,data_set_H4_with_pico,data_set_INH1_with_pico,data_set_INH2_with_pico,data_set_INH3_with_pico,data_set_INH4_with_pico,data_set_M2_with_pico,data_set_M3_with_pico,data_set_M4_with_pico,data_set_V1_with_pico,data_set_V2_with_pico,data_set_V3_with_pico,data_set_V4_with_pico
10000.0,0.02813823,0.04689705,0.010746114,0.26525006,0.01955517,0.3223803,0.23205706,0.44892704,0.43804559,0.033449586,0.077484071,0.007425427,0.12258637,0.2323101,0.19886188,0.032878269,-56.094147,-48.089626,-34.075428,-45.659065
10015.0,0.029073939,0.048456565,0.011515887,0.25547847,0.021833699,0.32409811,0.23305395,0.44736969,0.43797892,0.032262314,0.0755293,0.0080012167,0.11842008,0.23064083,0.20050941,0.032756217,-55.81934,-47.80978,-34.278416,-45.2089
10030.0,0.030022113,0.050036855,0.012290369,0.2462112,0.024302484,0.32576725,0.23401551,0.44585061,0.43786085,0.031140938,0.073767774,0.008589345,0.11448216,0.22898865,0.20200792,0.032649271,-55.549309,-47.546291,-34.475689,-44.770298
10045.0,0.030975113,0.051625188,0.013057383,0.2374844,0.026945671,0.32738939,0.23494411,0.44436827,0.437693,0.030089736,0.072204493,0.0091817137,0.11078519,0.22735342,0.20336616,0.032558415,-55.285919,-47.301033,-34.666084,-44.34647
10060.0,0.031923424,0.053205706,0.013804586,0.22934017,0.029737471,0.32896635,0.23584229,0.44292107,0.43747735,0.029113583,0.070843086,0.009769625,0.10734445,0.22573495,0.20459335,0.032484502,-55.03133,-47.075417,-34.848164,-43.940636
10075.0,0.032856226,0.054760374,0.014519235,0.22180909,0.032637529,0.33050027,0.23671265,0.44150722,0.43721628,0.028215699,0.069679715,0.010343418,0.10416986,0.22413296,0.2056991,0.032428175,-54.787773,-46.870621,-35.020618,-43.556442
10090.0,0.033762906,0.056271508,0.015191586,0.21491027,0.035600152,0.33199355,0.23755781,0.44012472,0.43691257,0.027397785,0.06870582,0.010894959,0.10126709,0.22254707,0.20669335,0.032389812,-54.557201,-46.686821,-35.182308,-43.196625
10105.0,0.034634363,0.057723936,0.015815301,0.20864107,0.038577754,0.33344871,0.2383803,0.43877161,0.43656918,0.026658799,0.06790641,0.011418069,0.098633066,0.2209769,0.20758601,0.032369517,-54.341011,-46.523342,-35.332546,-42.862953
10120.0,0.035464112,0.059106853,0.016387995,0.20297703,0.041527301,0.33486834,0.23918249,0.43744591,0.43618929,0.025995038,0.067261986,0.011909163,0.096256062,0.21942206,0.20838672,0.032367103,-54.139862,-46.378731,-35.471165,-42.555962
10135.0,0.036248706,0.060414508,0.016910747,0.19787586,0.044414543,0.33625495,0.23996651,0.4361456,0.43577605,0.0254007,0.066750847,0.012367175,0.094117358,0.2178821,0.20910455,0.032382172,-53.953674,-46.251003,-35.598495,-42.275028
10150.0,0.036987484,0.061645806,0.017387087,0.19328426,0.047215492,0.33761102,0.24073423,0.43486893,0.43533251,0.024868766,0.066351399,0.012793026,0.092194043,0.21635662,0.20974779,0.032414135,-53.78178,-46.137951,-35.715237,-42.018665
10165.0,0.037681893,0.062803157,0.017821891,0.18914489,0.049915619,0.33893877,0.24148726,0.43361416,0.43486148,0.024391845,0.066043809,0.013188915,0.090461768,0.21484527,0.2103239,0.032462306,-53.623104,-46.03738,-35.822304,-41.784866
10180.0,0.03833472,0.063891202,0.018220488,0.18540165,0.052507889,0.34024021,0.24222694,0.43237984,0.4343656,0.023962824,0.065810814,0.013557687,0.088896886,0.2133477,0.21083944,0.032525934,-53.476402,-45.947281,-35.920681,-41.571423
10195.0,0.038949411,0.064915687,0.018588075,0.1820029,0.054990511,0.34151715,0.2429544,0.43116462,0.43384719,0.02357522,0.065637939,0.013902371,0.087477729,0.21186361,0.21130015,0.032604259,-53.340378,-45.865887,-36.011345,-41.376137
10210.0,0.039529618,0.065882698,0.018929405,0.17890288,0.057365097,0.34277117,0.24367057,0.42996734,0.43330833,0.023223335,0.065513305,0.014225898,0.086185113,0.21039273,0.21171108,0.032696512,-53.21381,-45.79171,-36.095192,-41.196972
10225.0,0.040078901,0.066798165,0.019248666,0.17606187,0.059635229,0.34400368,0.24437623,0.4287869,0.43275091,0.022902261,0.065427274,0.014530961,0.085002437,0.2089348,0.21207659,0.032801956,-53.095566,-45.723507,-36.173038,-41.032085
10240.0,0.040600572,0.067667618,0.019549439,0.17344581,0.061805476,0.34521592,0.24507202,0.42762247,0.43217659,0.022607807,0.065372013,0.014819937,0.083915442,0.20748962,0.21240048,0.03291988,-52.984653,-45.660263,-36.245602,-40.87986
10255.0,0.041097637,0.068496063,0.019834643,0.17102528,0.063880451,0.34640896,0.24575849,0.42647314,0.43158683,0.022336366,0.065340959,0.015094808,0.082911767,0.20605698,0.21268612,0.033049617,-52.880192,-45.601166,-36.313515,-40.738918
10270.0,0.041572727,0.069287874,0.020106163,0.1687734,0.065862946,0.34758377,0.24643607,0.42533827,0.43098298,0.02208462,0.065327704,0.015356844,0.081979878,0.20463672,0.21293645,0.033190522,-52.781441,-45.545673,-36.37738,-40.608189
10285.0,0.042028688,0.070047818,0.020370256,0.16668265,0.067772001,0.34874117,0.24710517,0.42421719,0.43036622,0.02185191,0.065335914,0.015610754,0.081118263,0.20322868,0.21315405,0.033342,-52.687641,-45.492397,-36.43729,-40.485714
10300.0,0.042467058,0.07077843,0.020623354,0.16471744,0.069594055,0.34988192,0.24776609,0.42310932,0.4297376,0.02163359,0.065351926,0.015853716,0.080309853,0.2018327,0.21334122,0.033503484,-52.598343,-45.441967,-36.494156,-40.371769
10315.0,0.042890113,0.071483523,0.020870645,0.1628743,0.071346194,0.35100672,0.24841911,0.42201415,0.4290981,0.021429481,0.065379918,0.016089696,0.079554632,0.20044863,0.21350004,0.033674441,-52.51297,-45.39328,-36.547981,-40.264767
10330.0,0.043299217,0.072165363,0.021110673,0.16113143,0.073023267,0.35211611,0.24906445,0.42093119,0.42844859,0.021236777,0.065412469,0.016317567,0.078842342,0.19907638,0.21363232,0.033854373,-52.431149,-45.346561,-36.599335,-40.1646
10345.0,0.043696158,0.072826929,0.021347404,0.15948641,0.074639179,0.35321069,0.24970232,0.41986006,0.42778987,0.021055389,0.065453082,0.016540401,0.078173108,0.1977158,0.21373969,0.034042802,-52.352436,-45.300987,-36.648216,-40.070072
10360.0,0.044082165,0.073470272,0.021581065,0.15792714,0.07619524,0.3542909,0.25033289,0.41880035,0.42712262,0.020883821,0.065498896,0.016758401,0.07754153,0.19636679,0.21382369,0.034239296,-52.276524,-45.256485,-36.694931,-39.980808
10375.0,0.044458132,0.074096888,0.0218099,0.15643743,0.077686086,0.3553572,0.2509563,0.41775173,0.42644757,0.02071997,0.065543927,0.016970243,0.076939806,0.19502924,0.21388562,0.034443427,-52.203167,-45.21336,-36.739914,-39.896839
10390.0,0.044825498,0.074709162,0.022038195,0.15502056,0.079127468,0.35640997,0.25157267,0.41671386,0.42576525,0.020564482,0.065593794,0.01717929,0.076370709,0.19370306,0.21392673,0.034654811,-52.132042,-45.170773,-36.78302,-39.817047
10405.0,0.045184951,0.075308256,0.02226422,0.15366313,0.080514379,0.35744959,0.25218213,0.41568646,0.42507628,0.020415606,0.065643355,0.017384252,0.075827673,0.19238813,0.21394812,0.034873068,-52.062965,-45.129036,-36.824619,-39.741516
10420.0,0.045537658,0.075896092,0.022491515,0.15236808,0.081860177,0.35847637,0.25278476,0.41466928,0.42438111,0.020273913,0.065697439,0.017587917,0.075313091,0.19108438,0.21395081,0.035097849,-51.995674,-45.087475,-36.86459,-39.66935
10435.0,0.045883983,0.076473303,0.022716705,0.15111934,0.083154261,0.35949063,0.25338066,0.41366202,0.42368025,0.020137232,0.065748498,0.017787736,0.074818715,0.18979174,0.21393573,0.035328828,-51.930065,-45.046703,-36.903397,-39.600967
10450.0,0.046224803,0.077041335,0.022941852,0.1499172,0.084404938,0.36049265,0.25396988,0.41266444,0.42297414,0.020005723,0.065799125,0.017985359,0.074345298,0.18851009,0.21390375,0.035565689,-51.86594,-45.006332,-36.941002,-39.535793
10465.0,0.04656082,0.077601366,0.023167999,0.14875956,0.085616998,0.36148262,0.25455251,0.41167641,0.42226315,0.0198792,0.065850183,0.01818165,0.073892206,0.18723938,0.21385564,0.035808135,-51.803139,-44.966171,-36.977451,-39.473461
10480.0,0.046892211,0.078153685,0.023391414,0.14763178,0.086778656,0.36246085,0.25512862,0.41069767,0.42154768,0.019755652,0.065894179,0.018373782,0.073451728,0.1859795,0.21379216,0.036055889,-51.741611,-44.926868,-37.013191,-39.414471
10495.0,0.047220156,0.078700259,0.023618735,0.14654809,0.087914087,0.36342752,0.25569823,0.40972802,0.42082807,0.019637223,0.065942213,0.018566946,0.073032267,0.1847304,0.21371394,0.03630868,-51.68111,-44.887253,-37.047741,-39.357498
10510.0,0.047544919,0.079241537,0.023847912,0.14549926,0.089017309,0.3643828,0.25626141,0.40876734,0.42010468,0.019522667,0.065989994,0.018759612,0.072629042,0.18349198,0.21362163,0.036566261,-51.621578,-44.847687,-37.081387,-39.302773
