Time,c,cer,gca,gkca,gk,gir,vca,vk,vir,cm,taun,alpha,fcyt,kpmca,kd,vn,vm,sn,sm,kserca,dact,dinact,fer,pleak,dip3,vcytver,ip3,sa,r,taua,gkatp,alphaIRn,betaIRn,nIRinf,tauIRn,alphaIRr,betaIRr,rIRinf,tauIRr,ica,ik,ikca,ikatp,iir,minf,ninf,ainf,w,jmem,jserca,jleak,jip3,oinf,jer,V,n,a,nIR,rIR,cell,reaction_0000005,reaction_0000006
0.0,0.1,100.0,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010915591485846812,3.0202755274779672e-05,0.9730756097431495,891.4547700001804,0.033376080985809645,0.14288611902336498,0.1893547282631919,5.673366155352361,-3788.9715232832286,210.0,55.32786885245904,3450.0,0.16919999999999996,0.03444519566621117,0.0001507103580597574,0.401312339887548,0.004098360655737707,-0.0029496281452254733,0.04000000000000001,0.04995,0.0,0.0,0.009949999999999994,-60.0,0.01,0.46,0.008,0.282,1.0,7.00037185477452e-05,-0.0004974999999999997
0.01,0.10000070002448293,99.9999950250707,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.001091542690367549,3.020304862896616e-05,0.9730749602347631,891.4676162662087,0.03337589594979334,0.1428861660365413,0.18935382676041157,5.673370597908519,-3789.0090462138774,209.87270985080974,55.33030930112998,3450.0318987529977,0.16933250431924626,0.03444558023342402,0.00015071453982108083,0.40131402177275294,0.004098503517457113,-0.0029495992969341377,0.04000028000979317,0.04994999716252311,0.0,0.0,0.009949717152729937,-59.99986124597896,0.009993846118568635,0.4599999980437726,0.008010825708193949,0.2818368445081776,1.0,7.0001178557958e-05,-0.0004974858576364969
0.02,0.10000140002358172,99.99999005028285,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010915262032337907,3.0203342505805044e-05,0.9730743095601615,891.4804854682371,0.03337571058693839,0.1428862131327245,0.18935292366388237,5.673375048319894,-3789.0466359812085,209.7455015494275,55.33275067591302,3450.063854053675,0.16946491486180876,0.03444596548620448,0.00015071872910840718,0.4013157035992934,0.004098646377955193,-0.0029495701428009086,0.040000560009432695,0.04994999432512963,0.0,0.0,0.009949434315696934,-59.9997222460991,0.009987696084726643,0.45999999608760145,0.008021651131521885,0.281673974882943,1.0,6.999864172896026e-05,-0.0004974717157848467
0.03,0.10000209999732804,99.99998507563639,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010915096872009028,3.0203636905022807e-05,0.9730736577199018,891.4933775945484,0.03337552489743228,0.1428862603118667,0.1893520189745105,5.673379506582028,-3789.0842925501597,209.61837503945395,55.33519297648126,3450.0958658706263,0.16959723202553623,0.03444635142419623,0.00015072292591824138,0.4013173853672451,0.004098789237238053,-0.002949540682989891,0.04000083999893122,0.049949991487819534,0.0,0.0,0.009949151488888315,-59.99958300049695,0.009981549896074717,0.4599999941314864,0.008032476269703707,0.2815113906178241,1.0,6.999610805898424e-05,-0.0004974575744444157
0.04,0.10000279994575342,99.99998010113134,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010914931422863732,3.0203931826346213e-05,0.9730730047145412,891.5062926334333,0.033375338881462435,0.14288630757392004,0.18935111269320187,5.6733839726904645,-3789.122015885688,209.49133026453364,55.33763620250795,3450.1279341724676,0.16972945620716043,0.03444673804704316,0.00015072713024709333,0.4013190670766836,0.0040989320953117876,-0.0029495109176650887,0.04000111997830137,0.049949988650592796,0.0,0.0,0.009948868672291424,-59.99944350930896,0.009975407550215058,0.4599999921754275,0.008043301122459502,0.2813490912072534,1.0,6.999357754626336e-05,-0.0004974434336145712
0.05,0.10000349986888947,99.99997512676771,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010914765685076742,3.0204227269502274e-05,0.9730723505446354,891.5192305731973,0.03337515253921617,0.14288635491883686,0.18935020482086162,5.673388446640748,-3789.1598059527973,209.36436716836124,55.34008035366679,3450.160058927848,0.16986158780239405,0.034447125354389624,0.00015073134209147676,0.4013207487276846,0.004099074952182492,-0.0029494808469903086,0.04000139994755579,0.04994998581344941,0.0,0.0,0.009948585865893617,-59.999303772671446,0.009969269044751653,0.45999999021942467,0.00805412568950957,0.2811870761467216,1.0,6.999105018903308e-05,-0.0004974292932946808
0.06,0.10000419976676769,99.99997015254547,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010914599658822604,3.0204523234218377e-05,0.9730716952107399,891.5321914021613,0.033374965870880395,0.1428864023465694,0.18934929535839315,5.6733929284284335,-3789.197662716529,209.23748569469564,55.342525429631806,3450.1922401054476,0.16999362720616956,0.034447513345880386,0.00015073556144791088,0.40132243032032333,0.004099217807856251,-0.0029494504711291593,0.04000167990670708,0.04994998297638935,0.0,0.0,0.009948303069682266,-59.999163790720566,0.009963134377290937,0.459999988263478,0.008064949970574525,0.28102534493316217,1.0,6.998852598553106e-05,-0.0004974151534841133
0.07,0.10000489963941962,99.99996517846463,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010914433344275895,3.0204819720221887e-05,0.9730710387134098,891.545175108646,0.03337477887664225,0.14288644985706997,0.1893483843067009,5.673397418049073,-3789.2355861419283,209.11068578730362,55.344971430076974,3450.2244776739494,0.17012557481172486,0.034447902021160215,0.00015073978831291508,0.4013241118546753,0.004099360662339153,-0.002949419790245246,0.04000195985576785,0.04994998013941261,0.0,0.0,0.009948020283644762,-59.99902356359249,0.009957003545439215,0.4599999863075875,0.008075773965374962,0.2808638970634462,1.0,6.998600493399517e-05,-0.0004974010141822381
0.08,0.10000559948687679,99.9999602045252,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.00109142667416111,3.0205116727240368e-05,0.9730703810531998,891.5581816809811,0.0333745915566887,0.14288649745029086,0.1893474716666884,5.67340191549822,-3789.273576194061,208.9839673899923,55.34741835467655,3450.2567716020526,0.17025743101113106,0.03444829137987415,0.00015074402268301258,0.4013257933308161,0.004099503515637286,-0.0029493888045020837,0.04000223979475072,0.04994997730251916,0.0,0.0,0.009947737507768444,-59.99888309142329,0.009950876546804143,0.45999998435175304,0.008086597673631643,0.2807027320352445,1.0,6.99834870326636e-05,-0.0004973868753884222
0.09,0.10000629930917068,99.99995523072714,1000.0,900.0,1400.0,5.0,50.0,-75.0,-75.0,5300.0,16.0,4.5e-06,0.01,0.2,0.3,-16.0,-20.0,5.0,12.0,0.4,0.35,0.4,0.01,0.0005,0.5,5.0,0.0,0.1,0.14,300000.0,500.0,0.0010914099851002594,3.0205414255001666e-05,0.9730697222306642,891.5712111075069,0.033374403911206454,0.14288654512618443,0.18934655743925796,5.6734064207714345,-3789.3116328380324,208.85733044661384,55.34986620310502,3450.2891218584855,0.17038919619538037,0.03444868142166758,0.00015074826455472996,0.401327474748821,0.0040996463677567315,-0.0029493575140629932,0.04000251972366828,0.049949974465708986,0.0,0.0,0.009947454742040708,-59.998742374348936,0.00994475337899494,0.4599999823959747,0.00809742109506552,0.28054184934716603,1.0,6.998097227977715e-05,-0.0004973727371020354
