Time,miR,miR_gene,miR_gene_TF1,Signal,TF1,TF1_mRNA,Sink,kbinTF1miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
976.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2928.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3416.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3904.0,370.4655317680208,1.4042464692602388,0.595753530739763,1.0,424.1431399559632,26.99088583685477,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.978007533720563,2.978767653698815,2.978767653698815,2.9637242541441666,10.0,0.002699088583685477,9.999192874440343,1.3495442918427385,2.120715699779816
4392.0,307.44782397168666,1.5136883588527001,0.48631164114730197,1.0,321.2787831109215,32.50526650615782,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4315797697068167,2.43155820573651,2.43155820573651,2.4595825917734935,10.0,0.003250526650615782,9.99367345493797,1.625263325307891,1.6063939155546074
4880.0,306.9106133238757,1.5086127732450887,0.491387226754913,1.0,325.7212497419264,32.5727490417613,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4569361893901185,2.456936133774565,2.456936133774565,2.4552849065910056,10.0,0.00325727490417613,9.996922386051645,1.628637452088065,1.628606248709632
5368.0,307.03641319262977,1.5087560148839516,0.4912439851160501,1.0,325.59537268019733,32.55879601087987,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456219884748148,2.4562199255802506,2.4562199255802506,2.456291305541038,10.0,0.003255879601087987,9.996735945051057,1.6279398005439933,1.6279768634009866
5856.0,307.02780094661955,1.5087545778635354,0.49124542213646616,1.0,325.5966413384833,32.55973288167056,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227115782142,2.456227110682331,2.456227110682331,2.4562224075729566,10.0,0.0032559732881670563,9.996743186068652,1.6279866440835282,1.6279832066924167
6344.0,307.0284612784865,1.508754457673917,0.49124554232608425,1.0,325.5967440941979,32.559665715360325,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562276952811732,2.4562277116304214,2.4562277116304214,2.456227690227892,10.0,0.003255966571536033,9.996744064328972,1.6279832857680163,1.6279837204709895
6832.0,307.02845230108426,1.5087544864867883,0.491245513513213,1.0,325.596719191837,32.55966653579759,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227554330315,2.456227567566065,2.456227567566065,2.456227618408674,10.0,0.0032559666535797592,9.99674402392534,1.6279833267898796,1.627983595959185
7320.0,307.02843330799953,1.5087545474439585,0.4912454525560427,1.0,325.59666742400873,32.5596685504489,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227263042857,2.4562272627802133,2.4562272627802133,2.4562274664639965,10.0,0.00325596685504489,9.996744024072068,1.627983427522445,1.6279833371200436
7808.0,307.0283727980586,1.5087544934117858,0.4912455065882156,1.0,325.59671496396595,32.55967527783528,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562275337100004,2.456227532941078,2.456227532941078,2.456226982384469,10.0,0.0032559675277835285,9.996744119386944,1.6279837638917642,1.6279835748198297
8296.0,307.0284455763174,1.5087545063098424,0.4912454936901591,1.0,325.5967035198587,32.55966726205015,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227468376083,2.456227468450795,2.456227468450795,2.456227564610539,10.0,0.003255966726205015,9.996744027949365,1.6279833631025076,1.6279835175992936
8784.0,307.0284451258786,1.508754536310267,0.4912454636897346,1.0,325.59667717042254,32.5596672460464,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562273184421226,2.456227318448673,2.456227318448673,2.456227561007029,10.0,0.0032559667246046405,9.996744008369625,1.62798336230232,1.6279833858521127
