data_generator_TSEC,data_generator_V
0.0,-60.0
0.079999998,-54.554443
0.16,-46.365067
0.23999999,-61.261208
0.31999999,-60.519173
0.40000001,-58.069855
0.47999999,-48.152771
0.56,-60.170544
0.63999999,-63.278522
0.72000003,-62.086224
0.80000001,-60.05006
0.88,-56.089443
0.95999998,-13.785648
1.04,-62.734596
1.12,-62.698334
1.2,-61.156719
1.28,-58.590534
1.36,-50.626575
1.4400001,-58.127682
1.52,-63.135342
1.6,-62.131252
1.6799999,-60.229687
1.76,-56.671017
1.84,-7.9509206
1.92,-62.510838
2.0,-62.883213
2.0799999,-61.459446
2.1600001,-59.14645
2.24,-53.378201
2.3199999,-51.389816
2.4000001,-63.1632
2.48,-62.439148
2.5599999,-60.719494
2.6400001,-57.786602
2.72,-44.010124
2.8,-61.187443
2.8800001,-63.108181
2.96,-61.907955
3.04,-59.892876
3.1199999,-55.864319
3.2,-18.555193
3.28,-62.894444
3.3599999,-62.816063
3.4400001,-61.322926
3.52,-58.933407
3.5999999,-52.563385
3.6800001,-54.493496
3.76,-63.22636
3.8399999,-62.419239
3.9200001,-60.68927
4.0,-57.753754
4.0799999,-43.807674
4.1599998,-61.254776
4.2399998,-63.155144
4.3200002,-61.968414
4.4000001,-59.996914
4.48,-56.179871
4.5599999,-9.8592224
4.6399999,-62.820362
4.7199998,-62.919437
4.8000002,-61.484417
4.8800001,-59.223492
4.96,-53.805466
5.04,-48.854809
5.1199999,-63.234226
5.1999998,-62.605553
5.2800002,-60.974308
5.3600001,-58.331238
5.4400001,-49.355133
5.52,-59.339413
5.5999999,-63.269226
5.6799998,-62.252632
5.7600002,-60.437893
5.8400002,-57.257591
5.9200001,-34.749962
6.0,-62.07098
6.0799999,-63.143024
6.1599998,-61.880043
6.2399998,-59.87035
6.3200002,-55.892384
6.4000001,-16.977209
6.48,-62.968075
6.5599999,-62.939449
6.6399999,-61.497894
6.7199998,-59.263641
6.8000002,-54.021133
6.8800001,-47.221436
6.96,-63.274918
7.04,-62.698288
7.1199999,-61.111485
7.1999998,-58.606537
7.2800002,-51.150822
7.3600001,-57.505173
7.4400001,-63.341476
7.52,-62.441128
7.5999999,-60.723892
7.6799998,-57.884674
7.7600002,-45.780754
7.8400002,-60.93272
7.9200001,-63.294495
8.0,-62.180431
8.0799999,-60.337067
8.1599998,-57.079601
8.2399998,-29.665157
8.3199997,-62.30146
8.3999996,-63.19091
8.4799995,-61.924057
8.5600004,-59.952942
8.6400003,-56.168209
8.7200003,-9.2633104
8.8000002,-62.921188
8.8800001,-63.060387
8.96,-61.677364
9.04,-59.573936
9.1199999,-55.121719
9.1999998,-33.8218
9.2799997,-63.218102
9.3599997,-62.920033
9.4399996,-61.444332
9.5200005,-59.203362
9.6000004,-53.904465
9.6800003,-47.975197
9.7600002,-63.358326
9.8400002,-62.780521
9.9200001,-61.228245
10.0,-58.845745
10.08,-52.474262
10.16,-54.732738
10.24,-63.416927
10.32,-62.648827
10.4,-61.032005
10.48,-58.50705
10.56,-50.784615
10.64,-58.042736
10.72,-63.432388
10.8,-62.529774
10.88,-60.858376
10.96,-58.194767
11.04,-48.795292
