Time,VIIa_TF,X,VIIa_TF_X,VIIa_TF_Xa,Xa,TFPI,Xa_TFPI,Xa_TFPI_VIIa_TF,VIIa_TF_Xa_TFPI,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_9,reaction_8
0.0,1.0,170.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,1.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4662419628000448,168.281460097591,0.33062445931445,0.18084379169408185,1.1841300196181477,2.3770583682176785,0.000651845590898142,3.9736231983817796e-07,0.022289388829102693,1.0,137.71855762166473,138.862272912069,136.4892640816569,0.15198325638650043,0.00013372381780687808,2.57881170254321,0.0,0.004310321920944127
0.02,0.4540629302022496,166.9278287037728,0.3193824071579997,0.17867094310359014,2.5233240265673422,2.3492060806016415,0.002910199862195876,3.7344761307697247e-06,0.047879985060029016,1.0,133.0542416560115,134.14061100635988,131.84788668299987,0.3200434359159278,0.0005814221058372507,2.5174515960935024,0.0,0.01858933274597996
0.03,0.4420936576446129,165.6202482613113,0.30851045779703773,0.1763541212848413,3.8152372329511315,2.320350073344119,0.006608163382369454,1.2879132181005063e-05,0.0730288841413263,1.0,128.54525416554074,129.57439227475584,127.35921247384141,0.47791288037073465,0.0012854279328109598,2.4537592118640883,0.0,0.04077375020584843
0.04,0.43030945923496916,164.35727609399757,0.2979755847169763,0.17390080795112084,5.0614599289489455,2.2906124156144396,0.011573436288623612,3.0114914565927466e-05,0.0977840331823669,1.0,124.18125275463132,125.14974558113006,123.01365169753564,0.6258360508110409,0.002191270008773118,2.3880804180056705,0.0,0.06897202890574586
0.05,0.4186928592197038,163.13756980176123,0.2877547127823804,0.17131615281646193,6.263468966208584,2.2601096335685256,0.017654091250017222,5.722109831674901e-05,0.1221790540831363,1.0,119.9515488898341,120.85697936859977,118.8010890181969,0.7640777518796174,0.0032523224546539167,2.320716143116637,0.0,0.10160095914165282
0.06,0.4072320972547011,161.9598685935748,0.27782964919559083,0.16860660284150636,7.422647621037564,2.228952466649331,0.024715882642464403,9.554491670940862e-05,0.14623610579149152,1.0,115.84745491168138,116.68845266214815,114.71338239847115,0.8929210334420961,0.004428644318556411,2.2519718976658085,0.0,0.13733610008230557
0.07,0.3959201003768126,160.82297669948125,0.2681857327796539,0.1657798138072509,8.540303431486642,2.197245677554625,0.03263996940908894,0.00014606362844915165,0.16996828940783268,1.0,111.8622311484485,112.63800776745464,110.74406767237005,1.0126650198031217,0.005686040784486738,2.1821545100945987,0.0,0.17507148227764008
0.08,0.38475334696458235,159.72574995136128,0.258811334026181,0.16284424145867737,9.617682406606043,2.165087933451999,0.04132098899743884,0.0002094380255342219,0.19338163952502418,1.0,107.99035725091179,108.70076029099602,106.88788844326132,1.1236224990411328,0.006995291079326562,2.111564980495456,0.0,0.21388680571416588
0.09,0.37373100813343557,158.66708585258553,0.2496972148055455,0.15980894786946317,10.655979716078235,2.132571731338622,0.05066543946981869,0.0002860588215402298,0.21647677037001475,1.0,104.22719436613582,104.87283021832911,103.14053964978984,1.2261173112708184,0.008331508139054714,2.0404947324409077,0.0,0.2530203824502536
0.1,0.3628544606910868,157.64591545861876,0.2408357236299055,0.15668350126722147,11.65634875787847,2.09978344139417,0.06059024419404031,0.00037608691568544086,0.23925022749609995,1.0,100.56911097442162,101.1510039245603,99.49850526492448,1.32048183299719,0.009673593767274691,1.9692235244535226,0.0,0.29184590610768757
0.11,0.35212659985428063,156.6611977942894,0.2322205151559214,0.15347776701963023,12.619907288508221,2.066803364973024,0.07102151705680472,0.00047949014499516177,0.261695627825172,1.0,97.01307787195077,97.53261636548699,95.95885538522201,1.4070543795338286,0.011003768739790394,1.898016279391802,0.0,0.329853065561725
0.12,0.3415514037872995,155.7119153853727,0.22384624023844424,0.1502017357424572,13.547742446203948,2.0337058075573897,0.08189357221080851,0.0005960725070960122,0.28380454772470226,1.0,93.55651144781413,94.01542090014658,92.51908426844335,1.486176743131167,0.012307180401893618,1.8271207627533195,0.0,0.36663136478170044
