Time,mwd805cc43_4a96_472f_a894_c119a6aa895f,mw447078ee_8bc8_4358_abcd_ade10dba93b0,mw40a96ef6_32da_46d1_9712_4f53f60bad43,mwe1a0a651_d2d5_4f75_8d45_9336c60eb9a6,mw168e0d8a_b9f7_4d4c_b437_a81206c5d381,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_14,parameter_15,parameter_22,parameter_23,parameter_24,parameter_25,parameter_26,mw0dac359a_a4cd_40bf_97a0_45006cef2a7c,mw44539b83_caa2_4da5_bae0_a8dcf7439431,mw97ca2b6b_8c30_48ef_80cb_5ce4ebaa420f,mw18c30692_65ff_4c7a_b820_079f8ddd9b33,mwf3ceaa7c_ebe4_4e1b_842a_b4446b0aa527
0.0,0.03173076923076923,0.0001514280725624685,7.5e-06,7.5e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010344523790367282,1.5000000000000094e-05,0.00015,0.03189726923076923,0.052,1.0,6.61764705882353e-07,6.680681777468238e-07,0.0
0.01,0.03173076801867424,0.0001514280725597103,7.500062757659909e-06,7.500062757659909e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010344677986649932,1.5000000000000094e-05,0.00015,0.03189726801867424,0.052,1.0,6.617751293332645e-07,6.680781332411377e-07,2.1965180968328346e-11
0.02,0.031730766806670606,0.00015142807255694862,7.500125287608287e-06,7.500125287608287e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034483162442157,1.5000000000000094e-05,0.00015,0.031897266806670606,0.052,1.0,6.617855150297891e-07,6.680880526757472e-07,4.3850662900473717e-11
0.03,0.03173076559472667,0.0001514280725541904,7.500187668743402e-06,7.500187668743402e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010344984897528546,1.5000000000000094e-05,0.00015,0.03189726559472667,0.052,1.0,6.617958760756644e-07,6.680979485661509e-07,6.568406019078385e-11
0.04,0.03173076438285542,0.0001514280725514322,7.500249868679633e-06,7.500249868679633e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010345137726390289,1.5000000000000094e-05,0.00015,0.03189726438285542,0.052,1.0,6.61806207091355e-07,6.68107815774306e-07,8.745403787162246e-11
0.05,0.03173076317110038,0.000151428072548674,7.500311778965332e-06,7.500311778965332e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010345289844523816,1.5000000000000094e-05,0.00015,0.03189726317110038,0.052,1.0,6.61816490062984e-07,6.681176370950446e-07,1.0912263786637685e-10
0.06,0.03173076195942401,0.00015142807254591578,7.500373493146177e-06,7.500373493146177e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034544148176647,1.5000000000000094e-05,0.00015,0.03189726195942401,0.052,1.0,6.618267405272303e-07,6.68127427367552e-07,1.3072260116192793e-10
0.07,0.031730760747826305,0.0001514280725431541,7.500435011222166e-06,7.500435011222166e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010345592638109179,1.5000000000000094e-05,0.00015,0.031897260747826305,0.052,1.0,6.618369584834786e-07,6.681371865912276e-07,1.522539277582757e-10
0.08,0.031730759536307274,0.00015142807254039936,7.5004963331933e-06,7.500496333193301e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034574331354289,1.5000000000000094e-05,0.00015,0.031897259536307274,0.052,1.0,6.618471439311154e-07,6.68146914765534e-07,1.7371661765542018e-10
0.09,0.03173075832486691,0.00015142807253764115,7.500557459059578e-06,7.500557459059578e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010345893508058585,1.5000000000000094e-05,0.00015,0.03189725832486691,0.052,1.0,6.61857296869529e-07,6.681566118898428e-07,1.951106708524349e-10
