value_component_environment_variable_time,value_component_x_variable_x,value_component_x_variable_r1,value_component_x_variable_r2,value_component_x_variable_c1,value_component_y_variable_y,value_component_y_variable_r3,value_component_y_variable_r4,value_component_y_variable_c2,value_component_y_variable_c3,value_component_z_variable_z,value_component_z_variable_r5,value_component_z_variable_r6,value_component_z_variable_r7,value_component_z_variable_z_,value_component_z_variable_y_,value_component_z_variable_delta,value_component_u_variable_u,value_component_u_variable_omega,value_component_u_variable_v,value_component_model_constants_variable_epsilon
0.0,5.0,0.15,0.12,0.1,0.0,0.05,0.03,0.1,0.005,1.0,0.09,0.1,0.05,1.01,1.08,0.01,1.0,0.05,0.0,0.1
0.1,4.950298936525385,0.15,0.12,0.1,5.7460400829326296e-05,0.05,0.03,0.1,0.005,0.9999950028155584,0.09,0.1,0.05,1.01,1.08,0.01,0.9999874893370532,0.05,0.004999967203648324,0.1
0.2,4.901191024925387,0.15,0.12,0.1,0.00012971970626053046,0.05,0.03,0.1,0.005,0.9999900056629828,0.09,0.1,0.05,1.01,1.08,0.01,0.9999499861325323,0.05,0.009999795762850691,0.1
0.30000000000000004,4.852670889701321,0.15,0.12,0.1,0.00021663825400568553,0.05,0.03,0.1,0.005,0.9999850085433373,0.09,0.1,0.05,1.01,1.08,0.01,0.999887487738976,0.05,0.014999386259889369,0.1
0.4,4.804730888265373,0.15,0.12,0.1,0.0003180175232873588,0.05,0.03,0.1,0.005,0.9999800114581229,0.09,0.1,0.05,1.01,1.08,0.01,0.9997999928356159,0.05,0.019998596817671972,0.1
0.5,4.757364770587519,0.15,0.12,0.1,0.00043369521448036934,0.05,0.03,0.1,0.005,0.9999750144085536,0.09,0.1,0.05,1.01,1.08,0.01,0.9996875031857646,0.05,0.024997310915055745,0.1
0.6000000000000001,4.710566109401512,0.15,0.12,0.1,0.0005635044034808401,0.05,0.03,0.1,0.005,0.999970017395882,0.09,0.1,0.05,1.01,1.08,0.01,0.999550021407588,0.05,0.029995407589228435,0.1
0.7000000000000001,4.664328216524328,0.15,0.12,0.1,0.0007072713787280265,0.05,0.03,0.1,0.005,0.9999650204214121,0.09,0.1,0.05,1.01,1.08,0.01,0.9993875508892593,0.05,0.03499275965858847,0.1
0.8,4.618644458166454,0.15,0.12,0.1,0.0008648238454827648,0.05,0.03,0.1,0.005,0.999960023486435,0.09,0.1,0.05,1.01,1.08,0.01,0.999200095790791,0.05,0.03998923931549422,0.1
0.9,4.573508399948003,0.15,0.12,0.1,0.001035994659558361,0.05,0.03,0.1,0.005,0.999955026592207,0.09,0.1,0.05,1.01,1.08,0.01,0.9989876611082308,0.05,0.044984720562634854,0.1
1.0,4.528913574624102,0.15,0.12,0.1,0.001220615825290703,0.05,0.03,0.1,0.005,0.9999500297399908,0.09,0.1,0.05,1.01,1.08,0.01,0.9987502518013376,0.05,0.04997907690039144,0.1
