Time,V,C,N,CER,A,nIR,rIR
0.0,-60.0,0.1,0.0099999998,100.0,0.46000001,0.0080000004,0.28200001
2.0,-59.966228,0.10017708,0.0088631185,99.999008,0.45999962,0.010156851,0.25554708
4.0,-59.924892,0.10035323,0.007842782,99.998024,0.45999923,0.012301348,0.23575975
6.0,-59.876045,0.10052858,0.0069353338,99.997047,0.45999885,0.014429996,0.22103594
8.0,-59.820137,0.10070328,0.0061325501,99.996078,0.45999846,0.016542241,0.21061942
10.0,-59.757648,0.10087747,0.0054249088,99.995117,0.45999807,0.018636556,0.20336364
12.0,-59.689281,0.10105141,0.004798518,99.994156,0.45999771,0.020711271,0.19807649
14.0,-59.61533,0.1012252,0.004247142,99.99321,0.45999733,0.022765711,0.19441356
16.0,-59.536198,0.10139898,0.0037625073,99.992271,0.45999697,0.024798924,0.19184677
18.0,-59.452347,0.10157296,0.0033345786,99.991333,0.45999658,0.026809813,0.18991458
20.0,-59.364006,0.10174726,0.002957714,99.990402,0.45999622,0.028797772,0.18846039
22.0,-59.271381,0.10192198,0.0026269273,99.989487,0.45999587,0.030762261,0.18733346
24.0,-59.174725,0.10209727,0.0023355337,99.988571,0.45999551,0.032702565,0.1863834
26.0,-59.074314,0.10227343,0.0020736021,99.987663,0.45999515,0.034617599,0.18548663
28.0,-58.970062,0.10245039,0.0018441261,99.986763,0.45999479,0.036507685,0.18468697
30.0,-58.862003,0.10262822,0.0016444286,99.98587,0.45999444,0.038372509,0.18396552
32.0,-58.750301,0.10280725,0.001465189,99.984985,0.45999411,0.040211003,0.18323533
34.0,-58.634865,0.10298731,0.001311494,99.984108,0.45999375,0.042023748,0.18254386
36.0,-58.515533,0.10316914,0.0011690378,99.983238,0.45999342,0.043808747,0.18181992
38.0,-58.392345,0.10335255,0.0010414911,99.982376,0.45999306,0.045566514,0.1810818
40.0,-58.265343,0.10353737,0.00093220145,99.981522,0.45999274,0.047297515,0.18034613
42.0,-58.134521,0.10372358,0.0008411688,99.980667,0.45999241,0.04900175,0.17961292
44.0,-57.999352,0.10391182,0.00076096365,99.979828,0.45999208,0.050677832,0.17886066
46.0,-57.859436,0.10410254,0.00068609411,99.978996,0.45999175,0.052324742,0.17807345
48.0,-57.715237,0.10429519,0.0006229718,99.978172,0.45999143,0.053943675,0.17726985
50.0,-57.566757,0.1044898,0.00057159673,99.977356,0.4599911,0.055534627,0.17644987
52.0,-57.412796,0.10468712,0.00052861671,99.97654,0.4599908,0.057096057,0.17560582
54.0,-57.248184,0.1048905,0.00047952562,99.975746,0.45999047,0.058621254,0.17470448
56.0,-57.077614,0.10509691,0.00043747705,99.974953,0.45999017,0.060116302,0.17377597
58.0,-56.901081,0.10530635,0.00040247102,99.974167,0.45998985,0.061581202,0.1728203
60.0,-56.718586,0.10551882,0.00037450751,99.973396,0.45998955,0.063015945,0.17183748
62.0,-56.530132,0.10573431,0.00035358654,99.972626,0.45998925,0.064420544,0.17082748
64.0,-56.335712,0.10595284,0.00033970812,99.97187,0.45998895,0.065794982,0.16979033
66.0,-56.135338,0.10617439,0.00033287224,99.971123,0.45998865,0.067139275,0.16872601
68.0,-55.921047,0.1064036,0.0003260196,99.970383,0.45998839,0.068442069,0.16760221
70.0,-55.690907,0.1066416,0.00031742774,99.96965,0.45998809,0.069700614,0.16641103
72.0,-55.45113,0.10688476,0.0003126158,99.968933,0.45998782,0.070923761,0.16517776
74.0,-55.201717,0.1071331,0.00031158386,99.968224,0.45998755,0.072111517,0.16390239
76.0,-54.942669,0.1073866,0.00031433188,99.967529,0.45998725,0.073263876,0.16258492
78.0,-54.673985,0.10764527,0.00032085986,99.966835,0.45998698,0.074380852,0.16122535
80.0,-54.395664,0.1079091,0.0003311678,99.966156,0.45998675,0.075462423,0.15982369
82.0,-54.107708,0.1081781,0.00034525571,99.965485,0.45998648,0.076508611,0.15837991
84.0,-53.789265,0.10846072,0.00036174268,99.964828,0.45998621,0.077522822,0.15685485
86.0,-53.448383,0.10875369,0.00038116178,99.964188,0.45998597,0.078503743,0.15526366
88.0,-53.087364,0.10905608,0.00040366547,99.963547,0.4599857,0.079450995,0.15361062
90.0,-52.702389,0.10936972,0.00042946776,99.962929,0.45998546,0.0803608,0.15187916
92.0,-52.278042,0.10970197,0.0004594331,99.962318,0.45998523,0.08121796,0.15000221
94.0,-51.824505,0.11004797,0.00049299054,99.961723,0.45998502,0.082032517,0.14802405
96.0,-51.341778,0.11040771,0.00053014007,99.961143,0.45998478,0.082804464,0.1459447
98.0,-50.800762,0.11079269,0.00057639723,99.960579,0.45998457,0.083530329,0.14370081
100.0,-50.188389,0.11120806,0.00063423871,99.96003,0.45998436,0.084208541,0.14126395
102.0,-49.522156,0.11164692,0.00070034881,99.959496,0.45998415,0.084841199,0.13867217
104.0,-48.802059,0.11210927,0.00077472749,99.958984,0.45998394,0.085428298,0.13592549
106.0,-47.983204,0.11261183,0.00087020698,99.958488,0.45998377,0.085968539,0.13295357
108.0,-47.067146,0.11315408,0.00098667457,99.958008,0.45998359,0.086460903,0.12975536
110.0,-46.005875,0.11375445,0.0011427605,99.957558,0.45998341,0.086888202,0.12620419
112.0,-44.788673,0.1144161,0.0013468807,99.95713,0.45998326,0.087257661,0.12231516
114.0,-43.318703,0.11517268,0.0016517728,99.956734,0.45998311,0.087576158,0.11799479
116.0,-41.544983,0.11604203,0.0021197565,99.956367,0.45998296,0.087836295,0.11316628
118.0,-39.343922,0.11706728,0.0028680109,99.956047,0.45998284,0.088030986,0.1076705
120.0,-36.658825,0.11826663,0.0040261117,99.955765,0.45998272,0.088173404,0.10155626
122.0,-33.182556,0.11974611,0.0063614696,99.955528,0.45998266,0.088254906,0.094583072
124.0,-28.57914,0.12163205,0.012039371,99.955368,0.4599826,0.08827813,0.086622231
126.0,-22.554554,0.12407567,0.027797597,99.955292,0.45998257,0.088255025,0.077694438
128.0,-15.543966,0.12714699,0.069518797,99.95533,0.4599826,0.088207074,0.068250999
130.0,-9.4153481,0.13066262,0.14044881,99.95549,0.45998269,0.088075258,0.058708571
132.0,-6.1393023,0.13431403,0.22287591,99.955803,0.45998284,0.087875798,0.050249584
134.0,-6.0136819,0.13794786,0.30015841,99.956253,0.45998305,0.087647982,0.043579984
136.0,-8.3176651,0.14152482,0.36537263,99.956856,0.45998329,0.087435573,0.038968217
138.0,-12.112072,0.14497517,0.41169134,99.957596,0.45998362,0.087267585,0.036485527
140.0,-16.609423,0.14817016,0.43167713,99.958466,0.459984,0.087152928,0.036092926
142.0,-21.202671,0.15097539,0.4239749,99.959457,0.45998442,0.087087445,0.037645526
144.0,-25.556709,0.15330766,0.39660409,99.960556,0.4599849,0.087067969,0.040940173
146.0,-29.570621,0.15515366,0.36050844,99.961739,0.45998541,0.087083362,0.0456663
148.0,-33.218765,0.15655249,0.3230848,99.962982,0.45998594,0.087135278,0.051580008
150.0,-36.507175,0.15757115,0.28754026,99.964279,0.45998648,0.087233715,0.058467772
152.0,-39.450138,0.15827897,0.25500658,99.965607,0.45998704,0.087389298,0.066103801
154.0,-42.069252,0.15873882,0.22578147,99.966957,0.45998761,0.087612979,0.07426171
156.0,-44.388641,0.15900381,0.19977765,99.968323,0.45998821,0.087915383,0.082725152
158.0,-46.43243,0.15911564,0.17703924,99.969688,0.45998877,0.088305108,0.091308959
160.0,-48.229416,0.15910828,0.15698162,99.971062,0.45998937,0.088791132,0.099827811
162.0,-49.813248,0.15900831,0.13935132,99.972435,0.45998996,0.089379691,0.10814893
164.0,-51.222179,0.15883459,0.12399826,99.973801,0.45999053,0.090075031,0.11617903
166.0,-52.489136,0.15860049,0.11002564,99.975159,0.4599911,0.090883382,0.12381907
168.0,-53.604748,0.15832609,0.097866431,99.976501,0.45999169,0.091811292,0.1310925
170.0,-54.593155,0.15801455,0.086801402,99.977837,0.45999226,0.092863455,0.13798295
172.0,-55.467743,0.15767276,0.076893978,99.979156,0.45999283,0.094024435,0.14436197
174.0,-56.235798,0.15730052,0.068001963,99.980461,0.45999336,0.095285356,0.15019314
176.0,-56.905937,0.15690182,0.060019501,99.981758,0.45999393,0.096640497,0.15548696
178.0,-57.489086,0.1564863,0.05289745,99.983032,0.45999447,0.098087415,0.16029978
180.0,-57.990025,0.15605342,0.046633814,99.984291,0.459995,0.099614523,0.16464975
182.0,-58.424999,0.1556098,0.041064184,99.985535,0.45999554,0.10121818,0.16854072
184.0,-58.801659,0.15515804,0.036191862,99.986755,0.45999604,0.10288962,0.17202903
186.0,-59.122501,0.15469979,0.031892058,99.987961,0.45999658,0.10462786,0.17514114
188.0,-59.396797,0.15423858,0.028110716,99.989151,0.45999709,0.10642627,0.17791577
190.0,-59.634544,0.15377809,0.024803836,99.990318,0.45999756,0.10827764,0.18039593
192.0,-59.844681,0.15332173,0.021915341,99.99147,0.45999807,0.11017563,0.18262155
194.0,-60.023392,0.15285845,0.019392541,99.992607,0.45999855,0.11210951,0.18453816
196.0,-60.183475,0.15239604,0.01717834,99.993721,0.45999902,0.11407428,0.18621418
198.0,-60.332047,0.15193582,0.015217148,99.994812,0.4599995,0.11606297,0.1876761
200.0,-60.47224,0.15147918,0.013470308,99.995888,0.45999995,0.11807299,0.18895797
202.0,-60.58469,0.15102765,0.011995088,99.996948,0.46000043,0.12012661,0.19013782
204.0,-60.684631,0.15058249,0.010701166,99.997993,0.46000087,0.12220784,0.19122601
206.0,-60.774712,0.15014505,0.0095519759,99.999016,0.46000129,0.12431467,0.19225755
208.0,-60.856529,0.1497132,0.0085303821,100.00002,0.46000174,0.12643965,0.19320722
210.0,-60.93018,0.14927976,0.0076473192,100.00101,0.46000215,0.12856764,0.19396281
212.0,-60.999073,0.14884868,0.0068517681,100.00198,0.46000257,0.13070056,0.19460414
214.0,-61.065311,0.14841948,0.0061173118,100.00293,0.46000299,0.13283359,0.19513476
216.0,-61.126331,0.14799365,0.0054599391,100.00387,0.46000341,0.13497306,0.19560193
218.0,-61.179371,0.14757271,0.0048975977,100.00478,0.46000379,0.13712585,0.19605497
