data_set_T,data_set_FF,data_set_KAPD,data_set_KAPUD,data_set_SIGHAT,data_set_SOBJ,data_set_THETA,data_set_THOBJ,data_set_XCEN,data_set_XLEN,data_set_XU,data_set_XX,data_set_XXAUX,data_set_YCEN,data_set_YY,data_set_YYAUX
0.0,0.0,0.0,0.72000003,0.0,18.0,0.0,0.54042,15.0,15.0,0.0,0.0,0.0,4.5,0.0,0.0
0.001,0.0,0.0,0.71999943,0.001,18.0,0.00071999984,0.54042,15.0,15.0,0.017999999,0.017999999,0.015,4.5,6.4799988e-06,4.5000002e-06
0.0020000001,0.0,0.0,0.71999776,0.0020000001,18.0,0.0014399985,0.54042,15.0,15.0,0.035999987,0.035999987,0.029999999,4.5,2.5919982e-05,1.8000001e-05
0.003,0.0,0.0,0.71999496,0.003,18.0,0.002159995,0.54042,15.0,15.0,0.053999957,0.053999957,0.045000002,4.5,5.8319911e-05,4.0499999e-05
0.0040000002,0.0,0.0,0.71999103,0.0040000002,18.0,0.0028799882,0.54042,15.0,15.0,0.0719999,0.0719999,0.059999999,4.5,0.00010367971,7.2000003e-05
0.0049999999,0.0,0.0,0.71998602,0.0049999999,18.0,0.0035999767,0.54042,15.0,15.0,0.089999802,0.089999802,0.075000003,4.5,0.0001619993,0.0001125
0.0060000001,0.0,0.0,0.71997982,0.0060000001,18.0,0.0043199598,0.54042,15.0,15.0,0.10799967,0.10799967,0.090000004,4.5,0.00023327855,0.000162
0.0070000002,0.0,0.0,0.71997255,0.0070000002,18.0,0.0050399359,0.54042,15.0,15.0,0.12599947,0.12599947,0.105,4.5,0.00031751732,0.00022050001
0.0080000004,0.0,0.0,0.71996415,0.0080000004,18.0,0.0057599046,0.54042,15.0,15.0,0.1439992,0.1439992,0.12,4.5,0.00041471541,0.00028800001
0.0089999996,0.0,0.0,0.71995467,0.0089999996,18.0,0.006479864,0.54042,15.0,15.0,0.16199887,0.16199887,0.13500001,4.5,0.00052487268,0.00036450001
0.0099999998,0.0,0.0,0.719944,0.0099999998,18.0,0.0071998136,0.54042,15.0,15.0,0.17999844,0.17999844,0.15000001,4.5,0.00064798881,0.00044999999
0.011,0.0,0.0,0.71993226,0.011,18.0,0.007919752,0.54042,15.0,15.0,0.19799793,0.19799793,0.16500001,4.5,0.0007840636,0.00054450001
0.012,0.0,0.0,0.71991938,0.012,18.0,0.0086396774,0.54042,15.0,15.0,0.21599731,0.21599731,0.18000001,4.5,0.0009330968,0.00064799999
0.013,0.0,0.0,0.71990538,0.013,18.0,0.0093595898,0.54042,15.0,15.0,0.23399659,0.23399659,0.19499999,4.5,0.001095088,0.00076050003
0.014,0.0,0.0,0.7198903,0.014,18.0,0.010079488,0.54042,15.0,15.0,0.25199574,0.25199574,0.20999999,4.5,0.001270037,0.00088200002
0.015,0.0,0.0,0.71987402,0.015,18.0,0.01079937,0.54042,15.0,15.0,0.26999477,0.26999477,0.22499999,4.5,0.0014579433,0.0010125
0.016000001,0.0,0.0,0.71985668,0.016000001,18.0,0.011519236,0.54042,15.0,15.0,0.28799364,0.28799364,0.23999999,4.5,0.0016588066,0.001152
