data_generator_XX,data_generator_YY
0.0,0.0
0.017999999,6.4799988e-06
0.035999987,2.5919982e-05
0.053999957,5.8319911e-05
0.0719999,0.00010367971
0.089999802,0.0001619993
0.10799967,0.00023327855
0.12599947,0.00031751732
0.1439992,0.00041471541
0.16199887,0.00052487268
0.17999844,0.00064798881
0.19799793,0.0007840636
0.21599731,0.0009330968
0.23399659,0.001095088
0.25199574,0.001270037
0.26999477,0.0014579433
0.28799364,0.0016588066
0.30599236,0.0018726265
0.32399094,0.0020994025
0.34198934,0.002339134
0.35998756,0.0025918209
0.3779856,0.0028574623
0.39598346,0.0031360576
0.41398108,0.0034276068
0.43197849,0.0037321085
0.4499757,0.0040495628
0.46797267,0.0043799686
0.48596939,0.0047233249
0.50396585,0.0050796322
0.52196211,0.0054488881
0.539958,0.0058310935
0.55795366,0.0062262462
0.57594907,0.0066343462
0.59394413,0.0070553925
0.61193889,0.0074893842
0.62993336,0.0079363203
0.64792746,0.0083961999
0.66592127,0.0088690221
0.68391472,0.009354786
0.70190781,0.0098534906
0.71990055,0.010365135
0.73789287,0.010889718
0.75588483,0.011427238
0.77387643,0.011977695
0.79186761,0.012541086
0.80985838,0.013117412
0.82784873,0.01370667
0.84583867,0.014308861
0.86382812,0.014923981
0.88181716,0.015552031
0.89980578,0.016193008
0.91779387,0.016846912
0.93578154,0.017513741
0.95376867,0.018193495
0.97175533,0.018886169
0.9897415,0.019591765
1.0077271,0.020310281
1.0257123,0.021041714
1.0436969,0.021786064
1.0616809,0.02254333
1.0796645,0.023313507
1.0976474,0.024096599
1.1156298,0.024892598
1.1336117,0.025701508
1.1515929,0.026523324
1.1695735,0.027358044
1.1875535,0.028205669
1.2055329,0.029066194
1.2235118,0.02993962
1.2414899,0.030825945
1.2594675,0.031725165
1.2774444,0.032637279
1.2954205,0.033562288
1.3133961,0.034500185
1.3313709,0.035450973
1.3493451,0.036414646
1.3673186,0.037391204
1.3852915,0.038380645
1.4032634,0.039382968
1.4212348,0.040398169
1.4392054,0.041426245
1.4571754,0.042467199
1.4751445,0.043521024
1.4931128,0.044587716
1.5110804,0.04566728
1.5290473,0.04675971
1.5470133,0.047865
1.5649785,0.048983153
1.582943,0.050114166
1.6009065,0.051258035
1.6188693,0.05241476
1.6368313,0.053584334
1.6547924,0.054766759
1.6727527,0.05596203
1.6907121,0.057170149
1.7086706,0.058391109
1.7266283,0.059624907
1.744585,0.060871542
1.7625409,0.062131014
