Time,x,y0,y1,L,v,R0,a0,a1,k,u,lambda,d,beta,gamma,phi,eta,COMpartment
0.0,1.0,0.0,0.0,0.0,1.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.01,1.0927069345165756,0.0010431117083333785,5.140602143441057e-08,0.005200418852711197,0.9900498338689065,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.02,1.1848373496532314,0.0021711104379190122,2.1117278031198963e-07,0.010793460535267429,0.9801986747247272,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.03,1.276405401927173,0.003382026015028757,4.874667324892635e-07,0.016767029285224916,0.9704455383964955,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.04,1.3674248971533045,0.004673934595072704,8.882435080932692e-07,0.02310933380725641,0.9607894506912538,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.05,1.4579092959325552,0.006044957897723971,1.4212503298990035e-06,0.029808882554977705,0.9512294472839598,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.06,1.5478717278295515,0.007493261309561079,2.0940338425140574e-06,0.03685447145264949,0.9417645735050858,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.07,1.6373250014942915,0.009017052528503792,2.9139454140850916e-06,0.04423517511748794,0.9323938842208007,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.08,1.7262816122131097,0.010614580550485557,3.888145014132096e-06,0.05194034031337272,0.9231164437631039,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.09,1.8147537486507652,0.012284134761005983,5.0236047281499255e-06,0.0599595801184011,0.9139313258607705,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.1,1.9027533026048606,0.014024043624874045,6.327113906944458e-06,0.06828276548018843,0.9048376135272334,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.11,1.9902918798716611,0.015832673228279883,7.80528491003019e-06,0.07690001580564457,0.8958343989317957,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.12,2.077380798642875,0.017708427509033037,9.464552305859736e-06,0.08580170031685144,0.8869207834136328,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.13,2.1640311064907802,0.01964974600019339,1.131118190724203e-05,0.09497842329181881,0.8780958772770716,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.14,2.2502535821988654,0.02165510353423402,1.3351271790759615e-05,0.10442102260467614,0.8693587997643779,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.15,2.336058743295062,0.023723009259912543,1.559075632844397e-05,0.11412056313924093,0.8607086789618787,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.16,2.42145685935124,0.025852004877615062,1.8035413350036456e-05,0.12406832523758186,0.8521446516296561,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.17,2.506457952356678,0.028040664579066114,2.0690864354563272e-05,0.13425580440044482,0.8436658631941516,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.18,2.5910718056797295,0.030287593891761007,2.3562579407017505e-05,0.1446747034287749,0.8352714676219245,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.19,2.675307966844933,0.03259142927761437,2.6655878729591846e-05,0.15531693009792874,0.8269606273737544,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.2,2.759175756370693,0.03495083698039373,2.997593742956915e-05,0.1661745894297081,0.8187325132930856,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.21,2.842684278411911,0.037364511607447526,3.3527791153638634e-05,0.17723997445549913,0.8105863044789565,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
