Ca,CaM_memb,pERK_cyto,pERK_nuc,pMEK_cyto,pMEK_nuc,pRaf_cyto,Time
0.7632,0.72675,0.7,0.2,0.8,0.4,0.5,0.0
0.7632,0.72675,0.7011159499143772,0.20036719182471666,0.7974473343799556,0.39497910395205116,0.49502491687995975,0.01
0.7632,0.72675,0.7021957017246951,0.2006702929649565,0.7948550968284627,0.3900299499221159,0.49009933665547045,0.02
0.7632,0.72675,0.7032391963924515,0.20091141013715572,0.7922243281039081,0.3851514241548138,0.4852227667704806,0.03
0.7632,0.72675,0.7042463838415705,0.20109259940790625,0.7895560549978725,0.3803424306898629,0.48039471957115853,0.04
0.7632,0.72675,0.7052172227496807,0.2012158671504626,0.786851290474775,0.37560189103301106,0.47561471224414453,0.05
0.7632,0.72675,0.70615168031643,0.20128317112439173,0.784111033781384,0.37092874380832164,0.4708822667610774,0.06
0.7632,0.72675,0.7070497318095856,0.20129642277007861,0.7813362707375658,0.36632194403676216,0.46619690974828737,0.07
0.7632,0.72675,0.7079113611536819,0.20125748418354295,0.7785279733633773,0.3617804640732987,0.4615581726547645,0.08
0.7632,0.72675,0.7087365605571596,0.20116816992293984,0.7756871001035666,0.35730329302458813,0.4569655916492849,0.09
0.7632,0.72675,0.7095253302722303,0.20103024813966341,0.7728145959687107,0.35288943637727666,0.45241870755519614,0.1
0.7632,0.72675,0.7102776784060484,0.20084544144943534,0.7699113926442414,0.3485379157076038,0.44791706579972534,0.11
0.7632,0.72675,0.7109936207318142,0.2006154278040859,0.7669784085995529,0.3442477683908628,0.44346021636325844,0.12
0.7632,0.72675,0.7116731801164593,0.2003418451832557,0.7640165496564263,0.34001804652613116,0.4390477135669074,0.13
0.7632,0.72675,0.7123163864556464,0.2000262912318082,0.7610267089497142,0.3358478168993094,0.4346791160740451,0.14
0.7632,0.72675,0.7129232768975531,0.19967032002014012,0.7580097665420805,0.3317361615372057,0.43035398701363786,0.15
0.7632,0.72675,0.7134938953963884,0.19927544548224457,0.7549665898416832,0.3276821768898026,0.42607189382088473,0.16
0.7632,0.72675,0.7140282925147075,0.1988431423750498,0.751898033721811,0.3236849735217311,0.4218324081827895,0.17
0.7632,0.72675,0.7145265252257257,0.19837484723775808,0.7488049406405208,0.3197436758037443,0.41763510598373316,0.18
0.7632,0.72675,0.7149886570840661,0.197871958320626,0.7456881406471207,0.31585742209968815,0.4134795673256052,0.19
0.7632,0.72675,0.7154147604489097,0.19733582977289754,0.7425484507583175,0.31202536771369477,0.4093653769632741,0.2
0.7632,0.72675,0.7158049128493713,0.19676778221572414,0.7393866761334098,0.3082466799594072,0.4052921235546357,0.21
0.7632,0.72675,0.716159197541855,0.19616910158955242,0.7362036099620354,0.3045205388668876,0.40125939975898134,0.22
0.7632,0.72675,0.7164777037350926,0.19554103893104546,0.7330000334539819,0.30084613744260297,0.3972668022681157,0.23
0.7632,0.72675,0.7167605264356037,0.194884811211735,0.7297767159455718,0.29722268141892466,0.39331393176066093,0.24
0.7632,0.72675,0.7170077662931575,0.19420160217667404,0.7265344150060482,0.29364938900362936,0.38940039285635997,0.25
