Time,y,z,x,u,lambda,beta,r,tau,gamma,nu,mu_1,mu_2,mu_3,mu_4,compartment,CD4_Production,Infectious_Transmission,CD4_Natural_Death,Mitotic_Transmission,CD4LI_Spontaneous_Activation,CD4LI_Natural_Death,CD4AI_Lysis_CTL,CD4AI_Natural_Death,CTL_Proliferation,CTL_Natural_Death
0.0,0.5,0.1,850.0,0.1,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.425,10.200000000000001,0.0055,0.00030000000000000003,0.003,0.0014500000000000001,0.015,0.018,0.003
1.0,0.48462980433668773,0.11449882920909545,849.3854992752483,0.51342682337486,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.4116375283201834,10.19262599130298,0.0053309278477035645,0.00154028047012458,0.0154028047012458,0.0016091968106951289,0.014538894130100632,0.017446672956120755,0.0034349648762728633
2.0,0.4707501884511163,0.12805072428205744,848.790962816061,0.9007729371647021,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3995685057012652,10.185491553792732,0.005178252072962279,0.0027023188114941063,0.02702318811494106,0.0017481171750253338,0.01412250565353349,0.016947006784240187,0.003841521728461723
3.0,0.4582610667267981,0.1407349876758799,848.2149069253364,1.264135084080275,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.38870386806117646,10.178578883104038,0.005040871733994779,0.003792405252240825,0.03792405252240825,0.0018703076017658141,0.013747832001803942,0.016497398402164732,0.004222049630276397
4.0,0.44706832786042583,0.15262487800429028,847.6559560610978,1.605449242878171,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.37896013087716557,10.171871472733173,0.004917751606464684,0.004816347728634513,0.04816347728634513,0.0019787787209791068,0.013412049835812774,0.016094459802975327,0.004578746340128708
5.0,0.43708349380228123,0.1637881789290139,847.112832802128,1.92650611000121,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3702590366059018,10.165353993625535,0.0048079184318250935,0.00577951833000363,0.057795183300036294,0.0020760841752043907,0.013112504814068436,0.015735005776882124,0.004913645367870417
6.0,0.42822339476564747,0.17428773391171934,846.5843483900286,2.228965627928258,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.36252722362304163,10.159012180680344,0.004710457342422122,0.006686896883784774,0.06686896883784774,0.0021643884673689614,0.012846701842969424,0.015416042211563308,0.00522863201735158
7.0,0.42041002536790845,0.18418169628300743,846.0693983382894,2.514363785025237,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3556960572184113,10.152832780059473,0.004624510279046993,0.007543091355075712,0.07543091355075711,0.002245523116592663,0.012612300761037252,0.015134760913244703,0.005525450888490223
8.0,0.41357040006899265,0.1935237523993715,845.5669585097529,2.7841186606153157,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3497014653159998,10.146803502117034,0.004549274400758919,0.008352355981845947,0.08352355981845946,0.002321035175377162,0.01240711200206978,0.014888534402483734,0.005805712571981145
9.0,0.40763637042838724,0.20236348632867718,845.076078765175,3.039540366703186,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3444837454836898,10.1409129451821,0.004484000074712259,0.009118621100109558,0.09118621100109559,0.0023922307951534396,0.012229091112851616,0.01467490933542194,0.006070904589860315
10.0,0.4025443421449475,0.2107466972649001,844.595877324858,3.281839530410674,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.33998729181606974,10.135150527898295,0.0044279877635944225,0.009845518591232023,0.09845518591232022,0.002460211827681869,0.012076330264348425,0.014491596317218108,0.006322400917947003
11.0,0.39823503915551633,0.21871566309581042,844.1255360788396,3.512134324427957,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3361603659125279,10.129506432946075,0.004380585430710679,0.010536402973283872,0.1053640297328387,0.0025259069790496587,0.011947051174665489,0.014336461409598588,0.006561469892874312
12.0,0.3946532459844116,0.2263094108435905,843.6642957842703,3.731457660347929,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.332954852852415,10.123971549411243,0.004341185705828528,0.011194372981043787,0.11194372981043786,0.002590098564001041,0.011839597379532347,0.014207516855438817,0.006789282325307715
13.0,0.3917476506835761,0.23356387459508027,843.2114532574682,3.940761378512597,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3303261058430972,10.118537439089618,0.0043092241575193365,0.011822284135537792,0.1182228413553779,0.0026534448755581065,0.011752429520507281,0.014102915424608738,0.007006916237852408
14.0,0.3894705226908601,0.24051221227276634,842.7663557382078,4.14092464130913,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.32823265307563115,10.113196268858495,0.004284175749599461,0.012422773923927391,0.12422773923927391,0.002716500093794873,0.011684115680725802,0.014020938816870962,0.00721536636818299
15.0,0.38777753855777264,0.24718496533145418,842.3283980522041,4.332758145736405,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.3266360328539954,10.10794077662645,0.004265552924135499,0.012998274437209216,0.12998274437209215,0.0027797305453168704,0.011633326156733178,0.013959991388079815,0.007415548959943625
