data_set_T,data_set_HKF,data_set_HKF2,data_set_HNA,data_set_IKF,data_set_IKS,data_set_INA,data_set_INAP,data_set_MKF,data_set_MKS,data_set_MNA,data_set_MNAP,data_set_V
0.0,0.83111697,6.3318791,0.91740799,9.476073e-07,0.18342233,-1.4916341,-13.674397,0.006114,0.109584,0.05466,0.171683,-54.561378
0.52999997,0.830742,6.3326445,0.91600138,1.0262299e-06,0.19386201,-1.5325129,-14.404425,0.0061732871,0.10996716,0.05538312,0.18282273,-53.486282
1.0599999,0.82985884,6.3334079,0.91298157,1.1394538e-06,0.20388354,-1.651041,-15.932845,0.0063052922,0.11078539,0.05694551,0.20336956,-52.930378
1.59,0.82866222,6.3341727,0.90928674,1.2825708e-06,0.21434879,-1.8074865,-17.528313,0.0064738062,0.11179376,0.058845043,0.22459784,-52.553883
2.1199999,0.82723325,6.3349395,0.90529352,1.4538647e-06,0.22537121,-1.9857785,-19.004375,0.0066637313,0.11289616,0.060871273,0.24426395,-52.253273
2.6500001,0.8256126,6.3357091,0.90117633,1.6530892e-06,0.23688865,-2.1780107,-20.334871,0.0068675173,0.11404649,0.062926657,0.26206273,-51.994293
3.1800001,0.82382643,6.3364825,0.89703053,1.8805021e-06,0.24880643,-2.3792911,-21.533974,0.0070805396,0.11521787,0.064959556,0.27817816,-51.763412
3.71,0.82189435,6.3372602,0.89291447,2.1364744e-06,0.26103345,-2.5860991,-22.622406,0.0072995629,0.11639263,0.066940457,0.29287308,-51.553795
4.2399998,0.8198325,6.3380427,0.88886523,2.4213418e-06,0.27349019,-2.7957509,-23.619011,0.0075221825,0.11755855,0.068852566,0.30638644,-51.361195
4.77,0.81765455,6.3388305,0.88490623,2.7353501e-06,0.2861093,-3.0061984,-24.539278,0.0077465689,0.11870713,0.070687287,0.31891525,-51.182598
5.3000002,0.81537235,6.339623,0.88105124,3.0786398e-06,0.29883441,-3.2159181,-25.395607,0.007971325,0.11983249,0.072441451,0.33061779,-51.015736
5.8299999,0.81299627,6.3404217,0.87730747,3.4512489e-06,0.31161886,-3.4238243,-26.197876,0.0081953872,0.12093075,0.074115522,0.3416205,-50.858841
6.3600001,0.81053531,6.3412256,0.87367743,3.8531225e-06,0.32442427,-3.6291914,-26.953981,0.0084179556,0.12199944,0.075712293,0.35202485,-50.710503
6.8899999,0.80799764,6.3420353,0.87016034,4.2841302e-06,0.33721939,-3.8315811,-27.670275,0.0086384332,0.12303723,0.077235982,0.36191264,-50.569592
7.4200001,0.80539048,6.3428512,0.86675322,4.7440817e-06,0.34997928,-4.0307789,-28.351908,0.0088563897,0.12404357,0.078691594,0.37135035,-50.435177
7.9499998,0.80272025,6.3436728,0.86345166,5.2327468e-06,0.36268434,-4.226738,-29.003103,0.0090715224,0.12501851,0.080084465,0.38039255,-50.306488
8.4799995,0.7999928,6.3445005,0.86025029,5.7498737e-06,0.37531969,-4.4195352,-29.627346,0.009283633,0.12596254,0.081419975,0.38908449,-50.18288
9.0100002,0.79721344,6.3453341,0.8571434,6.2952054e-06,0.38787434,-4.6093349,-30.227554,0.0094926041,0.12687647,0.082703367,0.39746404,-50.063801
9.54,0.79438686,6.3461738,0.85412484,6.8684994e-06,0.40034091,-4.7963586,-30.806192,0.0096983835,0.12776133,0.083939619,0.40556332,-49.948772
10.07,0.7915175,6.3470192,0.85118848,7.469539e-06,0.41271487,-4.9808655,-31.365368,0.0099009722,0.12861831,0.085133366,0.41340983,-49.837391
10.6,0.78860933,6.3478703,0.84832823,8.0981508e-06,0.42499438,-5.1631351,-31.906898,0.010100409,0.1294487,0.086288929,0.42102733,-49.729294
11.13,0.78566581,6.3487272,0.84553832,8.7542157e-06,0.43717971,-5.3434567,-32.432369,0.010296771,0.13025381,0.087410241,0.42843667,-49.624165
11.66,0.78269035,6.3495898,0.84281301,9.4376801e-06,0.44927299,-5.5221219,-32.943176,0.010490157,0.13103504,0.088500902,0.43565616,-49.521717
12.19,0.7796858,6.3504572,0.8401469,1.0148564e-05,0.46127802,-5.6994166,-33.440556,0.010680685,0.13179377,0.089564204,0.4427022,-49.4217
12.72,0.77665496,6.3513303,0.8375349,1.0886974e-05,0.47319984,-5.8756227,-33.925621,0.010868493,0.13253133,0.090603113,0.44958949,-49.323883
13.25,0.77360028,6.3522077,0.83497202,1.1653104e-05,0.48504469,-6.0510111,-34.399368,0.011053727,0.13324907,0.091620348,0.45633125,-49.228062
13.78,0.77052391,6.3530898,0.83245367,1.244725e-05,0.49681973,-6.2258434,-34.862698,0.011236546,0.13394833,0.092618369,0.46293953,-49.134045
14.31,0.76742786,6.3539762,0.82997555,1.3269811e-05,0.50853294,-6.4003735,-35.316429,0.01141711,0.13463031,0.093599439,0.46942538,-49.041656
14.84,0.76431406,6.3548665,0.82753342,1.412129e-05,0.52019292,-6.5748444,-35.761322,0.01159559,0.13529626,0.094565615,0.47579885,-48.950737
15.37,0.76118398,6.3557601,0.82512349,1.5002312e-05,0.53180891,-6.7494922,-36.198059,0.011772157,0.13594735,0.095518775,0.48206925,-48.861145
15.9,0.75803912,6.3566575,0.82274204,1.5913616e-05,0.54339051,-6.9245439,-36.627274,0.011946984,0.1365847,0.096460678,0.48824522,-48.772739
16.43,0.75488079,6.3575573,0.82038558,1.6856062e-05,0.55494779,-7.1002226,-37.049553,0.012120246,0.13720937,0.097392909,0.4943347,-48.685394
16.959999,0.75171012,6.3584595,0.81805074,1.7830644e-05,0.56649101,-7.2767439,-37.465439,0.012292117,0.13782242,0.098316982,0.50034511,-48.598991
17.49,0.74852806,6.359364,0.81573451,1.8838484e-05,0.57803077,-7.4543209,-37.875435,0.012462771,0.13842478,0.09923429,0.5062834,-48.51342
18.02,0.74533552,6.3602695,0.81343383,1.9880841e-05,0.58957797,-7.633163,-38.280003,0.012632385,0.13901743,0.10014614,0.51215601,-48.428574
18.549999,0.74213326,6.3611765,0.81114578,2.0959125e-05,0.60114366,-7.8134775,-38.679581,0.012801128,0.13960123,0.10105376,0.51796895,-48.344353
19.08,0.73892176,6.3620834,0.80886775,2.2074886e-05,0.61273903,-7.995471,-39.074574,0.012969175,0.14017706,0.10195832,0.52372795,-48.260666
19.610001,0.73570162,6.3629904,0.80659699,2.3229839e-05,0.62437546,-8.1793509,-39.465359,0.013136696,0.1407457,0.10286094,0.52943832,-48.177422
20.139999,0.73247325,6.3638964,0.80433106,2.4425855e-05,0.63606453,-8.3653231,-39.852287,0.013303861,0.14130794,0.10376269,0.53510505,-48.09454
20.67,0.72923684,6.3648009,0.80206758,2.5664987e-05,0.64781797,-8.5535984,-40.235695,0.013470838,0.14186451,0.10466458,0.54073298,-48.011932
21.200001,0.72599268,6.3657031,0.79980403,2.6949467e-05,0.65964764,-8.7443886,-40.615891,0.013637795,0.14241612,0.10556761,0.54632652,-47.929527
21.73,0.72274077,6.3666024,0.79753822,2.8281716e-05,0.67156577,-8.9379091,-40.993164,0.0138049,0.14296347,0.10647275,0.5518899,-47.847244
22.26,0.71948123,6.3674979,0.79526788,2.9664372e-05,0.68358451,-9.1343813,-41.36779,0.013972319,0.1435072,0.10738093,0.55742717,-47.765011
22.790001,0.71621394,6.3683891,0.7929908,3.1100284e-05,0.69571656,-9.3340321,-41.740025,0.014140219,0.14404792,0.10829309,0.56294215,-47.682755
23.32,0.71293873,6.3692746,0.79070479,3.2592539e-05,0.70797455,-9.5370932,-42.110115,0.014308767,0.14458627,0.10921013,0.56843853,-47.60041
23.85,0.70965534,6.3701539,0.7884078,3.4144487e-05,0.72037172,-9.7438049,-42.478287,0.014478132,0.1451228,0.11013296,0.57391977,-47.517906
