_1_task1,l_1_task1,m_2_task1,n_3_task1
0.0,0.0999999999999994,0.899999999999994,0.899999999999994
0.5,0.050205349664942514,0.6864437952621524,0.7958772624045838
1.0,0.05634399171951315,0.6112762547874911,0.7252115713441659
1.5,0.06124192600788639,0.5653268887947008,0.6739770624071971
2.0,0.06485269886007039,0.5368480710606129,0.6354576132823747
2.5,0.06736831369678957,0.5195223696078964,0.6055430215237184
3.0,0.06898667116347272,0.5096587942250017,0.5816111107778786
3.5,0.06988921319006011,0.5049839485943058,0.5619277496944529
4.0,0.07023259804554637,0.5040314814403073,0.545311035049415
4.5,0.07014787938229848,0.5058150617078054,0.5309342820703277
5.0,0.06974198453258823,0.509646089549101,0.5182074448902957
5.5,0.06910055347264477,0.5150277431954566,0.5067027420545939
6.0,0.06829132439799186,0.521591125073778,0.49610619863167255
6.5,0.06736711962178497,0.5290569616022481,0.4861864100672961
7.0,0.0663685705236592,0.5372094937358737,0.47677194755944924
7.5,0.06532664217968731,0.5458798389264323,0.467735820957944
8.0,0.06426455598730468,0.5549347369474186,0.45898446545087346
8.5,0.06319949981275828,0.5642681230103134,0.4504491949505591
9.0,0.06214400235140857,0.5737952056790765,0.44208010133605424
9.5,0.06110697488475997,0.5834483669881518,0.43384157205074775
10.0,0.06009455454359112,0.5931735822032489,0.42570886062527385
10.5,0.06096575670397866,0.5770543378544633,0.4188794397845461
11.0,0.06222961007864056,0.5659646242250029,0.41389041847455815
11.5,0.06322643255382131,0.5576482352119917,0.41021613572683124
12.0,0.0640064791689139,0.5513262382873879,0.4075157779841038
12.5,0.06461899902189998,0.5464664800775417,0.4055438143658042
13.0,0.06510262506940517,0.5426892240913253,0.4041205247327588
13.5,0.06548721675807703,0.5397190365583117,0.40311302124201015
14.0,0.0657957816975593,0.5373534209003522,0.4024221590650904
14.5,0.06604617385436577,0.5354422917076275,0.4019734891704248
15.0,0.0662520526695191,0.5338739299409608,0.40171107399217315
15.5,0.06642398017465706,0.5325639903083459,0.4015923908565538
16.0,0.06657009790509505,0.5314487324896846,0.4015851274914828
16.5,0.06669668304579468,0.5304797220337104,0.4016646427877131
17.0,0.06680855844446695,0.5296202062514855,0.4018121993092178
17.5,0.06690937108487269,0.5288425705630347,0.4020137088683252
18.0,0.06700195651739281,0.5281256496842522,0.40225838289436905
18.5,0.0670885702293665,0.527452839520797,0.40253779136063444
19.0,0.06717093208427843,0.5268112310379947,0.40284544177685455
19.5,0.06725033218429095,0.5261910918961682,0.40317648439676085
20.0,0.0673277913775215,0.5255851511054993,0.4035273145021935
20.5,0.06740411704788939,0.5249877577956614,0.40389518323461837
21.0,0.06747990964614674,0.5243943606882049,0.4042779666919788
21.5,0.06755563902004041,0.5238013984494929,0.40467406259020144
22.0,0.06763170741855395,0.5232061952291881,0.4050823001794975
22.5,0.0677084245442921,0.5226066607093363,0.40550182971922155
23.0,0.06778600691008957,0.5220010636602195,0.40593203155071117
23.5,0.06786464743222581,0.5213880150484297,0.40637246307794206
24.0,0.06794453302090867,0.5207664323339604,0.40682282470573755
24.5,0.06802579574159681,0.5201353820301508,0.40728292504761593
25.0,0.06810853638425295,0.519494095359876,0.40775267197178555
25.5,0.06819285753264559,0.5188418931534541,0.4082320240267406
26.0,0.06827884027010406,0.5181782801362259,0.4087210369369929
26.5,0.06836657972791275,0.5175027009428643,0.4092197507036059
27.0,0.06845614748975098,0.5168147797874905,0.40972830094191154
27.5,0.06854760845867047,0.5161140301956962,0.410246788081357
28.0,0.06864102616801646,0.5154000801537665,0.4107753758198014
28.5,0.0687364692000438,0.514672513816678,0.4113142194476777
29.0,0.06883400300354746,0.5139309638975237,0.41186350433153723
29.5,0.06893370016500042,0.5131750667368392,0.4124234237403002
30.0,0.06903562534240543,0.5124044552857895,0.41299418440044494
30.5,0.0691398450740148,0.5116187715657231,0.4135760060301424
31.0,0.06924642525572414,0.5108176255908321,0.4141691106830587
31.5,0.06935543175501473,0.5100006629812759,0.41477374194340544
32.0,0.06946693245692954,0.5091675197577872,0.41539015110387595
32.5,0.06958101053603785,0.5083177818220859,0.4160185809073736
33.0,0.06969773522591208,0.5074510912258823,0.4166593063843057
33.5,0.06981718389298308,0.5065670553731425,0.4173126003093437
34.0,0.0699394404493162,0.5056652360691196,0.41797872954601883
34.5,0.0700645851931406,0.5047452400664132,0.41865798806943594
35.0,0.07019270559549522,0.5038066328221905,0.41935066942774324
35.5,0.07032389464897842,0.5028489540455259,0.42005707274102316
36.0,0.0704582436396675,0.5018717589638098,0.4207775085892504
36.5,0.07059585033732219,0.5008745750636354,0.4215122968310646
37.0,0.07073681595251435,0.4998569168510221,0.4222617657314327
37.5,0.07088124364972155,0.49881829150115103,0.4230262495303407
38.0,0.07102924441665996,0.4977581811327675,0.42380610241684696
38.5,0.07118093021004644,0.4966760615514044,0.4246016803383949
39.0,0.07133641551128574,0.4955713981445472,0.42541334527227126
39.5,0.07149581886249662,0.4944436418286753,0.42624146944308233
40.0,0.07165927302104257,0.4932922134241274,0.4270864450062161
40.5,0.0718269217767743,0.4921165087733533,0.42794868065291713
41.0,0.07199889255599566,0.490915942796985,0.42882857238798516
41.5,0.07217532586671484,0.4896899021423814,0.4297265349378978
42.0,0.07235636869246628,0.48843775175078274,0.4306429958136955
42.5,0.07254219527251801,0.4871587623318828,0.4315784281728388
43.0,0.07273295463071429,0.4858522934944921,0.4325332678412257
43.5,0.07292881191369435,0.48451764947117176,0.433507978685525
44.0,0.07312993749543839,0.4831541171446819,0.43450303538308577
44.5,0.07333655552348861,0.48176090361671176,0.4355189583099887
45.0,0.07354885846976575,0.48033724609698897,0.4365562521324456
45.5,0.07376704068034562,0.47888236875769435,0.43761542991756014
46.0,0.07399131318964243,0.47739546368216895,0.4386970237796353
46.5,0.07422190124477435,0.4758756565336275,0.4398015965314696
47.0,0.07445904213419574,0.47432202144190866,0.4409297357940993
47.5,0.07470296847794393,0.47273369556440237,0.4420820086683418
48.0,0.0749539264538807,0.4711097541281821,0.4432590111770218
48.5,0.0752121786199189,0.4694492401897178,0.44446135865444336
49.0,0.0754780826699932,0.46775109162835354,0.4456897352139326
49.5,0.0757518922048546,0.4660143258311163,0.4469447686096521
50.0,0.07603391377449607,0.4642378941149116,0.4482271288767786
50.5,0.0763244654756894,0.4624207201064685,0.4495375023261335
51.0,0.07662393635824144,0.460561603352649,0.4508766263978366
51.5,0.0769326816935235,0.4586593892526183,0.45224522821534635
52.0,0.07725106439916639,0.4567129018441573,0.45364404888933096
52.5,0.07757947288646676,0.4547209148453327,0.4550738539887425
53.0,0.07791833996982307,0.4526821413266453,0.45653543768675275
53.5,0.07826815158041202,0.45059522546327413,0.4580296258621549
54.0,0.0786293606792221,0.4484588240189716,0.45955724545899146
54.5,0.07900246976931194,0.4462715108754751,0.46111915546422316
55.0,0.0793880120698545,0.4440317903243435,0.46271624062667077
55.5,0.07978653298015766,0.4417381631732392,0.46434940035966965
56.0,0.08019862540220739,0.4393890588642917,0.4660195630921622
56.5,0.0806249292527332,0.4369828486554872,0.46772768463805114
57.0,0.08106608020083679,0.4345178731692447,0.4694747356713226
57.5,0.08152279876474859,0.4319924315026308,0.47126170564436526
58.0,0.0819958840600254,0.4294047893073316,0.47308959898266023
58.5,0.08248610146235975,0.4267531451078074,0.47495945302380593
59.0,0.08299428709196432,0.42403561337066176,0.4768723150117511
59.5,0.08352132161864394,0.42125021372017973,0.47882924589600867
60.0,0.08406811851891759,0.41839498404886694,0.4808313374830487
60.5,0.08463569125835917,0.41546786713171746,0.48287969706219264
61.0,0.08522515025793283,0.4124667378099983,0.4849754515206541
61.5,0.08583757289294504,0.4093894300458344,0.48711974727049123
62.0,0.08647419712594201,0.4062337506237793,0.48931371773288374
62.5,0.08713638476330932,0.40299748322578377,0.4915584854754248
63.0,0.08782545748288074,0.3996783049379373,0.49385523318143165
63.5,0.08854290849568312,0.3962738606322247,0.4962050886064423
64.0,0.08929035409483964,0.39278174251575093,0.49860914850978466
