Time,l,m,n,A,N,I,K_l,delta_l,K_m,sigma,xi,S,F,treatment_start,treatment_end,sink,cell
0.0,0.0999999999999994,0.899999999999994,0.899999999999994,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
0.5,0.050205349664942514,0.6864437952621524,0.7958772624045838,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
1.0,0.05634399171951315,0.6112762547874911,0.7252115713441659,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
1.5,0.06124192600788639,0.5653268887947008,0.6739770624071971,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
2.0,0.06485269886007039,0.5368480710606129,0.6354576132823747,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
2.5,0.06736831369678957,0.5195223696078964,0.6055430215237184,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
3.0,0.06898667116347272,0.5096587942250017,0.5816111107778786,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
3.5,0.06988921319006011,0.5049839485943058,0.5619277496944529,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
4.0,0.07023259804554637,0.5040314814403073,0.545311035049415,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
4.5,0.07014787938229848,0.5058150617078054,0.5309342820703277,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
5.0,0.06974198453258823,0.509646089549101,0.5182074448902957,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
5.5,0.06910055347264477,0.5150277431954566,0.5067027420545939,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
6.0,0.06829132439799186,0.521591125073778,0.49610619863167255,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
6.5,0.06736711962178497,0.5290569616022481,0.4861864100672961,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
7.0,0.0663685705236592,0.5372094937358737,0.47677194755944924,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
7.5,0.06532664217968731,0.5458798389264323,0.467735820957944,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
8.0,0.06426455598730468,0.5549347369474186,0.45898446545087346,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
8.5,0.06319949981275828,0.5642681230103134,0.4504491949505591,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
9.0,0.06214400235140857,0.5737952056790765,0.44208010133605424,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
