Time,Ctelo,Utelo,Cdc13,Rad17Utelo,Rad17,Rad24,RPA,Mec1,ssDNA,RPAssDNA,RPAssDNA1,RPAssDNA2,Mec1RPAssDNA,ExoXI,ExoXA,Exo1I,Exo1A,Rad9I,Rad9A,Rad53I,Rad53A,Chk1I,Chk1A,Dun1I,Dun1A,ATP,ADP,Rad9Kin,recovery,G1,S,G2,M,G1cyclin,Scyclin,G2cyclin,Mcyclin,G1CdkI,G1CdkA,SCdkI,SCdkA,G2CdkI,G2CdkA,MCdkI,MCdkA,G1Soff,G1Son,SG2off,SG2on,G2Moff,G2Mon,MG1off,MG1on,sink,budscar,kalive,cellMembrane,nucleus,Capping,Uncapping,Rad17binding,ExoXactivation,ExoXactivity,Exo1activation,Exo1Rad24dependentActivation,Exo1Rad17independentActivity,Exo1Rad17dependentActivity,RPAbinding1,RPAbinding2,RPAbinding,Mec1binding,Rad9activation,ExoXinhibition,ExoXinhibition2,Rad53activation,Chk1Activation,Exo1inhibition,Dun1activation,Chk1cellArrest,Dun1cellArrest,SDNArepair1,G2DNArepair1,SDNArepair2,G2DNArepair2,Recovery,G1cyclinSynthesis,ScyclinSynthesis,G2cyclinSynthesis,McyclinSynthesis,G1toSGenesOn,StoG2GenesOn,G2toMGenesOn,MtoG1GenesOn,G1cyclinDegradation,ScyclinDegradation,G2cyclinDegradation,McyclinDegradation,G1toSProgession,StoG2Progession,G2toMProgession,MtoG1Progession
0.0,64.0,0.0,300.0,0.0,70.0,70.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,670.0,0.0,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.0,1000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02464,0.0,0.0,0.0,0.0335,23.450000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,63.999753785073466,0.000246214866205672,300.00024621492645,6.033778670178976e-11,69.99999999993966,70.0,4000.0,4000.0,5.724940881375036e-12,2.122188151242272e-38,5.737151143845861e-14,4.1607811164418125e-26,2.9157681638701425e-40,69.99999999999986,1.4045450098725697e-13,669.7652059725166,0.2347940274835595,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999999942,1000.0000000000601,0.0,0.0,1.0,0.0,0.0,0.0,0.0015999904475862848,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.693226024173838e-05,0.024639905207253284,1.2064528444067504e-08,4.223645069125275e-11,2.5424141165626288e-27,0.03348826029862583,23.441782209038077,1.7342934018826644e-09,4.2500855847471524e-16,2.2899763525500145e-11,3.284485112603072e-23,2.3820225911970995e-35,3.3955010419876356e-37,0.0,0.0,1.4045450098725697e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9199885371035414e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,63.999507940260926,0.0004920594978420581,300.000492059739,2.4123007460826523e-10,69.99999999975878,70.0,3999.999999999999,4000.0,4.531621048521539e-11,9.126449471605121e-35,9.10181681573144e-13,1.0614805987583523e-23,2.7451701783544852e-36,69.99999999999886,1.1204141447781217e-12,669.5304944256408,0.4695055743593321,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999999976,1000.000000000241,0.0,0.0,1.0,0.0,0.0,0.0,0.0031999616418955097,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.380904573764276e-05,0.024639810557000454,2.411091539417757e-08,1.6886105222578291e-10,8.108327632109459e-26,0.03347652472128204,23.43356730489743,6.930740314599002e-09,3.3977659419509433e-15,1.8126484194086152e-10,4.1245984661955876e-21,4.8102278239305953e-32,1.4602319154568193e-33,0.0,0.0,1.1204141447781217e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839953970274612e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,63.99926246417989,0.0007375352776174784,300.00073753582006,5.424960321471132e-10,69.99999999945753,70.0,3999.9999999999955,4000.0,1.5133648559168307e-10,1.0501877427227441e-32,4.569005756802547e-12,2.6739549689529713e-22,4.5083006721090454e-34,69.99999999999622,3.770570408183672e-12,669.2958639724217,0.704136027578366,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999999946,1000.0000000005423,0.0,0.0,1.0,0.0,0.0,0.0,0.0047999139469537275,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00011063056362196465,0.024639716048709258,3.6139228602975726e-08,3.797472225029587e-10,6.136558456112887e-25,0.033464793198621084,23.425355239034758,1.5579754817414358e-08,1.1459730031592813e-14,6.053459423667316e-10,6.914572738826657e-20,4.046669476317607e-30,1.6803003883563906e-31,0.0,0.0,3.770570408183673e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.759896736344473e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,63.99901735757976,0.0009826414562976908,300.00098264242024,9.639544503909205e-10,69.99999999903609,70.0,3999.999999999986,4000.0,3.5497771177628525e-10,2.988799508466963e-31,1.4319308505066404e-11,2.580641648412844e-21,1.5733696156389908e-32,69.99999999999108,8.912090151859227e-12,669.061316724517,0.938683275483127,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999999038,1000.0000000009638,0.0,0.0,1.0,0.0,0.0,0.0,0.006399846789731309,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00014739670123724305,0.024639621682668207,4.814943135792229e-08,6.747681152735584e-10,2.5772546892509386e-24,0.033453065836225856,23.417146085358098,2.7671673024690795e-08,2.7145437627284604e-14,1.419910847105136e-09,5.083035367347172e-19,9.16070267268172e-29,4.782079213547141e-30,0.0,0.0,8.912090151859227e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67981614767757e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,63.998772619339064,0.0012273791555253437,300.00122738066096,1.5054245108137222e-09,69.99999999849462,70.0,3999.9999999999654,4000.0,6.861158076761217e-10,4.240636327864958e-30,3.4667759482142124e-11,1.5085269017374177e-20,2.780328226149992e-31,69.99999999998262,1.735670655623926e-11,668.8268517225918,1.1731482774083366,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999998496,1000.0000000015052,0.0,0.0,1.0,0.0,0.0,0.0,0.007999760419591155,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00018410762655952115,0.02463952745844554,6.014157861944544e-08,1.0537971575693438e-09,7.838763443029142e-24,0.03344134258612959,23.408939810290715,4.319693226094367e-08,5.298258514888218e-14,2.7444632307044634e-09,2.378609779741147e-18,1.0350241535867257e-27,6.785018124583933e-29,0.0,0.0,1.735670655623926e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.599712503509386e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,63.99852824830511,0.0014717495281769642,300.00147175169496,2.1667260870390303e-09,69.99999999783333,70.0,3999.999999999929,4000.0,1.1733588526275272e-09,3.692699546067517e-29,7.129059204756972e-11,6.398174464101381e-20,2.981099337340245e-30,69.99999999997009,2.990681914503912e-11,668.5924679530989,1.4075320469011867,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999997834,1000.0000000021665,0.0,0.0,1.0,0.0,0.0,0.0,0.00959965510054341,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00022076351225147595,0.024639433375597465,7.211572687843388e-08,1.516708260926673e-09,1.9439965566574367e-23,0.03342962339765495,23.400736378358463,6.214603877762335e-08,9.149209213092734e-14,4.693435410510025e-09,8.364944728807352e-18,7.507354648108741e-27,5.908319273708027e-28,0.0,0.0,2.990681914503912e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1519586120652092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,63.9982842445377,0.0017157525146345126,300.0017157554624,2.9476791506606824e-09,69.99999999705237,70.0,3999.999999999869,4000.0,1.844099742405493e-09,2.2062549450677056e-28,1.3098380834611878e-10,2.1567430923702493e-19,2.0525971795279733e-29,69.99999999995264,4.7355590711290404e-11,668.3581663909093,1.6418336090907444,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999997053,1000.0000000029474,0.0,0.0,1.0,0.0,0.0,0.0,0.011199530564087712,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00025736434910105145,0.024639339434147013,8.407187321354267e-08,2.0633754054610813e-09,4.187672622206742e-23,0.03341790831954547,23.39253582368183,8.450940430226707e-08,1.4518796095112305e-13,7.376398969621731e-09,2.4154720723036813e-17,3.977249381074803e-26,3.530007912108329e-27,0.0,0.0,4.735559071129041e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3439436676905252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,63.998040607910404,0.0019593882415080604,300.00195939208965,3.8481036624430644e-09,69.99999999615196,70.0,3999.9999999997785,4000.0,2.7245675166730216e-09,1.047638080809794e-27,2.2161564783893925e-10,6.16169168106998e-19,1.0959334614856664e-28,69.9999999999295,7.048703788258027e-11,668.1239477051216,1.8760522948784537,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999996153,1000.0000000038478,0.0,0.0,1.0,0.0,0.0,0.0,0.01279938662352131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0002939101558311196,0.024639245634045504,9.601002382860477e-08,2.693672563707432e-09,8.137242858921604e-23,0.03340619738525608,23.384338169679257,1.1027744421117164e-07,2.1657731120569482e-13,1.0898270066691483e-08,6.038067952884216e-17,1.6787945001997652e-25,1.6762209292956705e-26,0.0,0.0,7.048703788258027e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.535926394822557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,63.99779733762124,0.0022026575109512867,300.0022026623788,4.867819812092164e-09,69.99999999513223,70.0,3999.999999999648,4000.0,3.8398699083100085e-09,4.130687744187188e-27,3.520809737892515e-10,1.552833547075114e-18,4.803895310734033e-28,69.99999999989991,1.0007612188757622e-10,667.889811455416,2.1101885445841835,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999995134,1000.0000000048676,0.0,0.0,1.0,0.0,0.0,0.0,0.014399223389212937,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0003304010524981094,0.024639151974984178,1.0793021802909011e-07,3.407473868459643e-09,1.4614575865250815e-22,0.0333944905727708,23.376143400939558,1.394406794175515e-07,3.0816052813730454e-13,1.5359479633238684e-08,1.3519451365418316e-16,5.9626788100280235e-25,6.609100390699501e-26,0.0,0.0,1.0007612188757623e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7279068067055524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
