Time,P1,Target,Kd,Ksp,P2,dsp1ksp,dsp1p2kd,h,k0,ka,ks,ku,s,univ,___r1,___r2,___r3,___r4
0.0,10.0,10.0,1e-05,0.001,40.0,9.99998989900021,9.999986565672849,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5294104259224108,1.0,1.5294104259224108,1.0
0.01,10.005294095449223,10.005294095449223,1e-05,0.001,40.0,10.005283989047806,10.005280653367102,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5299381090629973,1.0005294095449224,1.5299381090629973,1.0005294095449224
0.02,10.01058817470196,10.01058817470196,1e-05,0.001,40.0,10.010578062898945,10.010574724864078,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5304660040815716,1.001058817470196,1.5304660040815716,1.001058817470196
0.03,10.015882239892719,10.015882239892719,1e-05,0.001,40.0,10.015872122687986,10.015868782298128,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.530994111097004,1.001588223989272,1.530994111097004,1.001588223989272
0.04,10.021176293155063,10.021176293155063,1e-05,0.001,40.0,10.02116617054859,10.021162827802916,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5315224302284247,1.0021176293155063,1.5315224302284247,1.0021176293155063
0.05,10.026470336621443,10.026470336621443,1e-05,0.001,40.0,10.026460208613134,10.026456863510816,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5320509615951583,1.0026470336621445,1.5320509615951583,1.0026470336621445
0.06,10.031764372422817,10.031764372422817,1e-05,0.001,40.0,10.03175423901272,10.03175089155293,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5325797053167298,1.0031764372422818,1.5325797053167298,1.0031764372422818
0.07,10.037058402690189,10.037058402690189,1e-05,0.001,40.0,10.037048263878212,10.037044914060115,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5331086615129625,1.0037058402690189,1.5331086615129625,1.0037058402690189
0.08,10.04235242955372,10.04235242955372,1e-05,0.001,40.0,10.042342285339778,10.042338933162545,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5336378303039389,1.004235242955372,1.5336378303039389,1.004235242955372
0.09,10.047646455142576,10.047646455142576,1e-05,0.001,40.0,10.047636305526655,10.047632950989453,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.534167211809968,1.0047646455142576,1.534167211809968,1.0047646455142576
0.1,10.052940481584939,10.052940481584939,1e-05,0.001,40.0,10.052930326566916,10.052926969668913,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5346968061515693,1.005294048158494,1.5346968061515693,1.005294048158494
0.11,10.058234511008001,10.058234511008001,1e-05,0.001,40.0,10.058224350587873,10.058220991328229,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5352266134495054,1.0058234511008002,1.5352266134495054,1.0058234511008002
0.12,10.063528545537968,10.063528545537968,1e-05,0.001,40.0,10.063518379715621,10.063515018093499,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5357566338247435,1.006352854553797,1.5357566338247435,1.006352854553797
0.13,10.068822587300051,10.068822587300051,1e-05,0.001,40.0,10.068812416075497,10.068809052090062,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5362868673984948,1.0068822587300053,1.5362868673984948,1.0068822587300053
0.14,10.074116638418477,10.074116638418477,1e-05,0.001,40.0,10.074106461791613,10.074103095442018,2.0,0.1,40.0,10.0,0.1,1000.0,1.0,1.5368173142921686,1.0074116638418478,1.5368173142921686,1.0074116638418478
